rust_semantic_feature,normalized_importance,coverage_score,base_gap,dominant_source_groups
rust.move_semantics,0.837566,0.058000,0.788987,borrowck_regions;mir;stdlib_core
rust.copy_semantics,0.770952,0.058000,0.726237,traits_types;borrowck_regions;stdlib_core
rust.shared_borrow,0.854699,0.058000,0.805127,borrowck_regions;traits_types;mir
rust.mutable_borrow,0.854699,0.058000,0.805127,borrowck_regions;traits_types;mir
rust.reborrow,0.494981,0.058000,0.466272,borrowck_regions;mir
rust.borrow_checker,0.549979,0.058000,0.518080,borrowck_regions;mir
rust.nonlexical_lifetimes,0.549979,0.058000,0.518080,borrowck_regions;mir
rust.region_inference,0.569027,0.082000,0.522366,borrowck_regions;traits_types
rust.lifetime_parameters,0.710392,0.082000,0.652140,ast_hir;traits_types;borrowck_regions
rust.higher_ranked_lifetimes,0.635614,0.082000,0.583494,traits_types;borrowck_regions;ast_hir
rust.drop_semantics,0.837566,0.058000,0.788987,mir;stdlib_core;borrowck_regions
rust.drop_check,0.811964,0.058000,0.764870,borrowck_regions;traits_types;mir
rust.destructor_order,0.515934,0.058000,0.486009,mir;stdlib_core
rust.pin_unpin,0.685291,0.058000,0.645544,stdlib_core;traits_types;borrowck_regions
rust.interior_mutability,0.656414,0.058000,0.618342,stdlib_core;stdlib_alloc;borrowck_regions
rust.cell_refcell,0.348782,0.021000,0.341457,stdlib_core;stdlib_alloc
rust.smart_pointer_ownership,0.619946,0.058000,0.583990,stdlib_alloc;stdlib_core;borrowck_regions
rust.raw_pointer_deref,0.700696,0.058000,0.660056,ast_hir;mir;codegen_abi
rust.aliasing_model,0.777693,0.058000,0.732587,borrowck_regions;mir;codegen_abi
rust.pointer_provenance,0.916073,0.058000,0.862941,mir;const_eval;codegen_abi;stdlib_core
rust.unsafe_block,0.628191,0.049500,0.597096,ast_hir;mir;parser_lowering
rust.unsafe_trait_impl,0.410953,0.049500,0.390611,ast_hir;traits_types
rust.trait_definition,0.483475,0.064000,0.452532,ast_hir;traits_types
rust.trait_impl,0.483475,0.064000,0.452532,ast_hir;traits_types
rust.associated_types,0.459301,0.064000,0.429906,ast_hir;traits_types
rust.associated_consts,0.572750,0.064000,0.536094,ast_hir;traits_types;const_eval
rust.trait_object_dyn,0.717839,0.021000,0.702764,ast_hir;traits_types;codegen_abi
rust.vtable_dispatch,0.526018,0.021000,0.514971,traits_types;codegen_abi
rust.generic_bounds,0.459301,0.064000,0.429906,ast_hir;traits_types
rust.where_clauses,0.435127,0.064000,0.407279,ast_hir;traits_types
rust.blanket_impl,0.228540,0.021000,0.223741,traits_types
rust.coherence_orphan,0.274248,0.021000,0.268489,traits_types
rust.specialization,0.167596,0.021000,0.164077,traits_types
rust.impl_trait,0.435127,0.064000,0.407279,ast_hir;traits_types
rust.opaque_types,0.483673,0.064000,0.452718,traits_types;borrowck_regions
rust.method_resolution,0.485336,0.021000,0.475144,traits_types;resolve_macros
rust.autoderef_autoref,0.483673,0.021000,0.473516,traits_types;borrowck_regions
rust.deref_coercion,0.483673,0.021000,0.473516,traits_types;borrowck_regions
rust.unsize_coercion,0.495075,0.021000,0.484679,traits_types;codegen_abi
rust.operator_traits,0.444230,0.021000,0.434902,traits_types;stdlib_core
rust.pattern_destructuring,0.628191,0.057000,0.592384,ast_hir;parser_lowering;mir
rust.match_exhaustiveness,0.400783,0.021000,0.392367,ast_hir;compiler_other
rust.match_guards,0.394763,0.057000,0.372261,ast_hir;mir
rust.ref_patterns,0.354449,0.057000,0.334245,ast_hir;borrowck_regions
rust.enum_variant_semantics,0.692233,0.064000,0.647930,ast_hir;traits_types;mir
rust.if_let_while_let,0.529003,0.057000,0.498850,ast_hir;parser_lowering;mir
rust.let_else,0.495940,0.057000,0.467672,ast_hir;parser_lowering;mir
rust.loop_break_value,0.371542,0.057000,0.350364,ast_hir;mir
rust.never_type_divergence,0.472314,0.054000,0.446809,traits_types;mir
rust.result_question_operator,0.853957,0.054000,0.807843,ast_hir;parser_lowering;mir;stdlib_core
rust.option_niche_optimization,0.589180,0.021000,0.576807,traits_types;codegen_abi;stdlib_core
rust.panic_unwind_abort,1.000000,0.049500,0.950500,mir;codegen_abi;stdlib_core;stdlib_std
rust.async_await,0.628191,0.037000,0.604948,ast_hir;parser_lowering;mir
rust.future_poll,0.487271,0.037000,0.469242,stdlib_core;mir
rust.generator_coroutine,0.417984,0.037000,0.402519,ast_hir;mir
rust.await_suspension,0.494981,0.037000,0.476667,mir;borrowck_regions
rust.closure_capture_modes,0.655860,0.085000,0.600112,ast_hir;borrowck_regions;mir
rust.fn_traits,0.473846,0.085000,0.433569,traits_types;stdlib_core
rust.send_sync_auto_traits,0.770952,0.062000,0.723153,traits_types;stdlib_core;borrowck_regions
rust.atomic_ordering,0.798645,0.062000,0.749129,stdlib_core;mir;codegen_abi
rust.thread_memory_model,0.701623,0.062000,0.658122,stdlib_core;stdlib_std;codegen_abi
rust.macro_rules_hygiene,0.388232,0.035000,0.374644,resolve_macros;parser_lowering
rust.proc_macro,0.400882,0.035000,0.386851,resolve_macros;compiler_other
rust.name_resolution_hygiene,0.371967,0.035000,0.358948,resolve_macros;ast_hir
rust.const_eval,0.452221,0.035000,0.436393,const_eval;mir
rust.const_generics,0.606441,0.064000,0.567629,const_eval;traits_types;ast_hir
rust.monomorphization,0.814065,0.035000,0.785573,mir;traits_types;codegen_abi
rust.hir_lowering,0.562066,0.035000,0.542393,ast_hir;parser_lowering;mir
rust.mir_semantics,0.285673,0.035000,0.275674,mir
rust.abi_layout,0.587902,0.058000,0.553804,codegen_abi;traits_types
rust.repr_attributes,0.418947,0.058000,0.394648,ast_hir;codegen_abi
rust.ffi_extern_abi,0.443591,0.058000,0.417862,ast_hir;codegen_abi
rust.slice_fat_pointer,0.725145,0.058000,0.683087,traits_types;codegen_abi;stdlib_core
rust.dst_unsized,0.495075,0.058000,0.466361,traits_types;codegen_abi
rust.crate_module_resolution,0.351302,0.021000,0.343925,resolve_macros;ast_hir
rust.visibility_privacy,0.330637,0.021000,0.323694,ast_hir;resolve_macros
rust.attributes_cfg,0.330637,0.035000,0.319065,resolve_macros;ast_hir
rust.feature_gates,0.278032,0.035000,0.268301,parser_lowering;compiler_other
