node,kind,file,line,generic_gap_score,rust_specific_hint_score,total_gap_score,rust_specific_hints
NullReferenceConstructed,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1049,2.488003,0.576573,3.064576,rust.associated_consts;rust.autoderef_autoref;rust.cell_refcell;rust.const_eval;rust.const_generics;rust.deref_coercion;rust.raw_pointer_deref;rust.ref_patterns
NullPointerDereference,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1048,2.268982,0.354977,2.623959,rust.autoderef_autoref;rust.cell_refcell;rust.deref_coercion;rust.raw_pointer_deref;rust.ref_patterns
Deref,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1172,0.913098,0.354977,1.268075,rust.autoderef_autoref;rust.cell_refcell;rust.deref_coercion;rust.raw_pointer_deref;rust.ref_patterns
PhantomDeref,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1277,0.913098,0.354977,1.268075,rust.autoderef_autoref;rust.cell_refcell;rust.deref_coercion;rust.raw_pointer_deref;rust.ref_patterns
BoxDerefTransmute,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1526,0.913098,0.354977,1.268075,rust.autoderef_autoref;rust.cell_refcell;rust.deref_coercion;rust.raw_pointer_deref;rust.ref_patterns
FakeForPtrMetadata,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,191,1.065875,0.000000,1.065875,
Subtype,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1538,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
ForMatchGuard,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,519,0.816678,0.114171,0.930848,rust.match_exhaustiveness;rust.match_guards
Tuple,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1556,0.839753,0.000000,0.839753,
RawPtrKind,declaration,compiler/rustc_middle/src/mir/syntax.rs,180,0.723634,0.000000,0.723634,
PointerExposeProvenance,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1494,0.723634,0.000000,0.723634,
PointerWithExposedProvenance,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1497,0.723634,0.000000,0.723634,
PtrToPtr,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1512,0.723634,0.000000,0.723634,
FnPtrToPtr,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1513,0.723634,0.000000,0.723634,
PtrMetadata,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1623,0.723634,0.000000,0.723634,
ForIndex,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,608,0.654413,0.000000,0.654413,
MatchCmp,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,632,0.474436,0.114171,0.588607,rust.match_exhaustiveness;rust.match_guards
AssignOp,declaration,compiler/rustc_middle/src/mir/syntax.rs,1723,0.480684,0.000000,0.480684,
AddAssign,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1724,0.480684,0.000000,0.480684,
SubAssign,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1725,0.480684,0.000000,0.480684,
MulAssign,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1726,0.480684,0.000000,0.480684,
DivAssign,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1727,0.480684,0.000000,0.480684,
RemAssign,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1728,0.480684,0.000000,0.480684,
BitXorAssign,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1729,0.480684,0.000000,0.480684,
BitAndAssign,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1730,0.480684,0.000000,0.480684,
BitOrAssign,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1731,0.480684,0.000000,0.480684,
ShlAssign,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1732,0.480684,0.000000,0.480684,
ShrAssign,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1733,0.480684,0.000000,0.480684,
SwitchTargets,declaration,compiler/rustc_middle/src/mir/syntax.rs,977,0.474436,0.000000,0.474436,
BinOp,declaration,compiler/rustc_middle/src/mir/syntax.rs,1628,0.446284,0.000000,0.446284,
BorrowKind,declaration,compiler/rustc_middle/src/mir/syntax.rs,149,0.000000,0.367908,0.367908,rust.borrow_checker;rust.mutable_borrow;rust.reborrow;rust.shared_borrow
MutBorrowKind,declaration,compiler/rustc_middle/src/mir/syntax.rs,196,0.000000,0.367908,0.367908,rust.borrow_checker;rust.mutable_borrow;rust.reborrow;rust.shared_borrow
TwoPhaseBorrow,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,199,0.000000,0.367908,0.367908,rust.borrow_checker;rust.mutable_borrow;rust.reborrow;rust.shared_borrow
FakeBorrowKind,declaration,compiler/rustc_middle/src/mir/syntax.rs,246,0.000000,0.367908,0.367908,rust.borrow_checker;rust.mutable_borrow;rust.reborrow;rust.shared_borrow
ForGuardBinding,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,560,0.342242,0.000000,0.342242,
FloatToInt,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1509,0.338787,0.000000,0.338787,
FloatToFloat,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1510,0.338787,0.000000,0.338787,
IntToFloat,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1511,0.338787,0.000000,0.338787,
CallSource,declaration,compiler/rustc_middle/src/mir/syntax.rs,624,0.335541,0.000000,0.335541,
Return,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,726,0.288962,0.000000,0.288962,
Implicit,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1548,0.000000,0.240287,0.240287,rust.blanket_impl;rust.impl_trait;rust.trait_impl;rust.unsafe_trait_impl
Const,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,182,0.000000,0.221596,0.221596,rust.associated_consts;rust.const_eval;rust.const_generics
ConstEvalCounter,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,440,0.000000,0.221596,0.221596,rust.associated_consts;rust.const_eval;rust.const_generics
ConstOperand,declaration,compiler/rustc_middle/src/mir/syntax.rs,1338,0.000000,0.221596,0.221596,rust.associated_consts;rust.const_eval;rust.const_generics
Continue,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1013,0.185384,0.000000,0.185384,
BackwardIncompatibleDropReason,declaration,compiler/rustc_middle/src/mir/syntax.rs,972,0.000000,0.131820,0.131820,rust.pattern_destructuring;rust.ref_patterns
ClosureCapture,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,241,0.000000,0.085247,0.085247,rust.closure_capture_modes
CoroutineDrop,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,902,0.000000,0.062005,0.062005,rust.generator_coroutine
MirPhase,declaration,compiler/rustc_middle/src/mir/syntax.rs,42,0.000000,0.000000,0.000000,
Built,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,50,0.000000,0.000000,0.000000,
AnalysisPhase,declaration,compiler/rustc_middle/src/mir/syntax.rs,100,0.000000,0.000000,0.000000,
Initial,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,101,0.000000,0.000000,0.000000,
PostCleanup,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,116,0.000000,0.000000,0.000000,
RuntimePhase,declaration,compiler/rustc_middle/src/mir/syntax.rs,122,0.000000,0.000000,0.000000,
Initial,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,137,0.000000,0.000000,0.000000,
PostCleanup,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,140,0.000000,0.000000,0.000000,
Optimized,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,141,0.000000,0.000000,0.000000,
Shared,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,151,0.000000,0.000000,0.000000,
Mut,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,181,0.000000,0.000000,0.000000,
Default,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,197,0.000000,0.000000,0.000000,
Shallow,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,278,0.000000,0.000000,0.000000,
Deep,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,292,0.000000,0.000000,0.000000,
StatementKind,declaration,compiler/rustc_middle/src/mir/syntax.rs,305,0.000000,0.000000,0.000000,
CoverageKind,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,429,0.000000,0.000000,0.000000,
Nop,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,443,0.000000,0.000000,0.000000,
NonDivergingIntrinsic,declaration,compiler/rustc_middle/src/mir/syntax.rs,460,0.000000,0.000000,0.000000,
WithRetag,declaration,compiler/rustc_middle/src/mir/syntax.rs,488,0.000000,0.000000,0.000000,
Yes,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,489,0.000000,0.000000,0.000000,
No,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,490,0.000000,0.000000,0.000000,
FakeReadCause,declaration,compiler/rustc_middle/src/mir/syntax.rs,506,0.000000,0.000000,0.000000,
CopyNonOverlapping,declaration,compiler/rustc_middle/src/mir/syntax.rs,613,0.000000,0.000000,0.000000,
OverloadedOperator,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,627,0.000000,0.000000,0.000000,
Misc,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,635,0.000000,0.000000,0.000000,
Use,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,637,0.000000,0.000000,0.000000,
Normal,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,639,0.000000,0.000000,0.000000,
InlineAsmMacro,declaration,compiler/rustc_middle/src/mir/syntax.rs,645,0.000000,0.000000,0.000000,
Asm,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,647,0.000000,0.000000,0.000000,
NakedAsm,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,649,0.000000,0.000000,0.000000,
TerminatorKind,declaration,compiler/rustc_middle/src/mir/syntax.rs,683,0.000000,0.000000,0.000000,
UnwindResume,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,707,0.000000,0.000000,0.000000,
Unreachable,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,731,0.000000,0.000000,0.000000,
Edition2024,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,973,0.000000,0.000000,0.000000,
UnwindAction,declaration,compiler/rustc_middle/src/mir/syntax.rs,1008,0.000000,0.000000,0.000000,
Unreachable,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1015,0.000000,0.000000,0.000000,
UnwindTerminateReason,declaration,compiler/rustc_middle/src/mir/syntax.rs,1027,0.000000,0.000000,0.000000,
Abi,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1029,0.000000,0.000000,0.000000,
InCleanup,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1032,0.000000,0.000000,0.000000,
AssertKind,declaration,compiler/rustc_middle/src/mir/syntax.rs,1038,0.000000,0.000000,0.000000,
