rust_semantic_feature,detection_terms,authoritative_source_groups,related_generic_features,recommended_detector
rust.move_semantics,move;move out;MovePath;Operand::Move,borrowck_regions;mir;stdlib_core,,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.copy_semantics,Copy;is_copy;copy semantics,traits_types;borrowck_regions;stdlib_core,,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.shared_borrow,BorrowKind::Shared;shared borrow;&T,borrowck_regions;traits_types;mir,,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.mutable_borrow,BorrowKind::Mut;mutable borrow;&mut,borrowck_regions;traits_types;mir,,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.reborrow,reborrow;borrowed place,borrowck_regions;mir,,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.borrow_checker,borrowck;BorrowSet;borrow check,borrowck_regions;mir,,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.nonlexical_lifetimes,NLL;non lexical lifetime;location insensitive,borrowck_regions;mir,,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.region_inference,region inference;RegionVid;universal regions,borrowck_regions;traits_types,type_inference,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.lifetime_parameters,Lifetime;'a;GenericParamKind::Lifetime,ast_hir;traits_types;borrowck_regions,lifetime,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.higher_ranked_lifetimes,for<;higher ranked;late bound region,traits_types;borrowck_regions;ast_hir,,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.drop_semantics,Drop;drop glue;TerminatorKind::Drop,mir;stdlib_core;borrowck_regions,,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.drop_check,dropck;drop check,borrowck_regions;traits_types;mir,,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.destructor_order,drop order;drop elaboration,mir;stdlib_core,,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.pin_unpin,Pin;Unpin,stdlib_core;traits_types;borrowck_regions,,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
rust.interior_mutability,UnsafeCell;interior mutability,stdlib_core;stdlib_alloc;borrowck_regions,,rustc path + symbol/API pattern + AST/HIR/MIR enum/variant extraction
