file,bytes,purpose
00_README_CODEX_MATRIX_FIRST.md,5135,matrix/traceability
01_source_trust_weight_matrix.csv,883,matrix/traceability
02_weighted_file_feature_matrix.csv,3320900,matrix/traceability
03_generic_feature_trust_summary.csv,8325,matrix/traceability
04_current_sp_generic_coverage_dimension_matrix.csv,6615,matrix/traceability
05_generic_feature_gap_vector.csv,8405,matrix/traceability
06_rust_specific_feature_source_matrix.csv,7421,matrix/traceability
07_rust_specific_source_weight_vector.csv,778,matrix/traceability
08_rust_specific_semanticprogram_projection_matrix.csv,9959,matrix/traceability
09_rust_specific_sp_coverage_dimension_matrix.csv,6154,matrix/traceability
10_rust_specific_gap_vector.csv,6034,matrix/traceability
11_combined_feature_family_projection_matrix.csv,11601,matrix/traceability
12_combined_feature_coupling_matrix.csv,253434,matrix/traceability
13_gap_propagation_operator.csv,284410,matrix/traceability
14_semanticprogram_axis_gap_vector.csv,983,matrix/traceability
15_matrix_derived_clusters.csv,4227,matrix/traceability
16_codex_cluster_implementation_matrix.csv,11014,matrix/traceability
17_rustc_ast_hir_gap_matrix.csv,37635,matrix/traceability
18_rustc_mir_gap_matrix.csv,14624,matrix/traceability
19_collector_quality_matrix.csv,991,matrix/traceability
20_collector_rust_ontology_extension_matrix.csv,12231,matrix/traceability
90_original_language_matrix_rust.zip,1838888,matrix/traceability
