row,structure.declaration,structure.expression,type.value,binding.scope,control.flow,data.flow,effect,evaluation,exception,memory.lifetime,concurrency,compiletime.meta,module.dispatch,abi.layout,lowering.runtime.validation,language.contract,dialect.extension
abi.ffi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
abi.layout,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
binding.graph,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
capture.shadowing,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
compiletime.evaluation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
compiletime.semantics,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
concurrency.model,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
control.flow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
conversion.semantics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coroutine.state_machine,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
data.flow,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dialect.extension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
effect.graph,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
effects.control,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
evaluation.order,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
exception.unwind,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
initialization.order,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
language.implementation_defined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
language.undefined_behavior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
language.unspecified_behavior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
linkage.odr,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lowering.pipeline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
memory.model,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
memory.ordering,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
module.semantics,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
name.resolution,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nodes.declaration,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nodes.expression,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
object.lifetime,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
operations,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
overload.resolution,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ownership.lifetime,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pointer.provenance,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
preprocessor.semantics,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
purity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
runtime.contract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
scope.binding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
storage.duration,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
synchronization,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
template.instantiation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
types.origin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
types.structure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
validation.contract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
value.category,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
