row,structure.declaration,structure.expression,type.value,binding.scope,control.flow,data.flow,effect,evaluation,exception,memory.lifetime,concurrency,compiletime.meta,module.dispatch,abi.layout,lowering.runtime.validation,language.contract,dialect.extension
ABIContract,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
AddressOf,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
AggregateExpr,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Annotation,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ArraySliceType,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AssignStmt,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AtomicOp,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AwaitExpr,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Binding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BindingPattern,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
BindingResolution,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BoolType,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BreakStmt,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
CallExpr,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
CaptureRelation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ChannelType,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
ChannelTypeOp,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CloseOp,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
ClosureExpr,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
CompileTimeEval,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
ComprehensionExpr,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ConcurrencyOp,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ConstantDecl,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ContinueStmt,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
ConvertExpr,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DeferCleanupStmt,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
DeferStmt,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Deref,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DispatchResolution,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DispatchSemantics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Effect,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
EmbeddedField,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ExecutionModel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
FloatType,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ForEachStmt,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
ForeignDeclCall,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FunctionDecl,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
