language,facet_class,semantic_axis,value
python,UASF_0022,abi.ffi,1
python,UASF_0022,memory.model,1
python,UASF_0022,ownership.lifetime,1
python,UASF_0023,abi.ffi,1
python,UASF_0023,memory.model,1
python,UASF_0023,ownership.lifetime,1
python,UASF_0024,abi.ffi,1
python,UASF_0024,memory.model,1
python,UASF_0024,ownership.lifetime,1
python,UASF_0025,abi.ffi,1
python,UASF_0025,memory.model,1
python,UASF_0025,ownership.lifetime,1
python,UASF_0026,abi.ffi,1
python,UASF_0026,memory.model,1
python,UASF_0026,ownership.lifetime,1
python,UASF_0047,binding.graph,1
python,UASF_0047,capture.shadowing,1
python,UASF_0047,scope.binding,1
python,UASF_0048,binding.graph,1
python,UASF_0048,capture.shadowing,1
python,UASF_0048,scope.binding,1
python,UASF_0049,binding.graph,1
python,UASF_0049,capture.shadowing,1
python,UASF_0049,scope.binding,1
python,UASF_0050,binding.graph,1
python,UASF_0050,capture.shadowing,1
python,UASF_0050,scope.binding,1
python,UASF_0051,binding.graph,1
python,UASF_0051,capture.shadowing,1
python,UASF_0051,scope.binding,1
python,UASF_0118,compiletime.semantics,1
python,UASF_0118,dialect.extension,1
python,UASF_0118,lowering.pipeline,1
python,UASF_0119,compiletime.semantics,1
python,UASF_0119,dialect.extension,1
python,UASF_0119,lowering.pipeline,1
python,UASF_0120,compiletime.semantics,1
python,UASF_0120,dialect.extension,1
python,UASF_0120,lowering.pipeline,1
python,UASF_0121,compiletime.semantics,1
python,UASF_0121,dialect.extension,1
python,UASF_0121,lowering.pipeline,1
python,UASF_0122,compiletime.semantics,1
python,UASF_0122,dialect.extension,1
python,UASF_0122,lowering.pipeline,1
python,UASF_0151,concurrency.model,1
python,UASF_0151,memory.ordering,1
python,UASF_0151,synchronization,1
python,UASF_0152,concurrency.model,1
python,UASF_0152,memory.ordering,1
python,UASF_0152,synchronization,1
python,UASF_0153,concurrency.model,1
python,UASF_0153,memory.ordering,1
python,UASF_0153,synchronization,1
python,UASF_0154,concurrency.model,1
python,UASF_0154,memory.ordering,1
python,UASF_0154,synchronization,1
python,UASF_0155,concurrency.model,1
python,UASF_0155,memory.ordering,1
python,UASF_0155,synchronization,1
python,UASF_0178,control.flow,1
python,UASF_0178,effects.control,1
python,UASF_0178,evaluation.order,1
python,UASF_0179,control.flow,1
python,UASF_0179,effects.control,1
python,UASF_0179,evaluation.order,1
python,UASF_0180,control.flow,1
python,UASF_0180,effects.control,1
python,UASF_0180,evaluation.order,1
python,UASF_0181,control.flow,1
python,UASF_0181,effects.control,1
python,UASF_0181,evaluation.order,1
python,UASF_0182,control.flow,1
python,UASF_0182,effects.control,1
python,UASF_0182,evaluation.order,1
python,UASF_0183,control.flow,1
python,UASF_0183,effects.control,1
python,UASF_0183,evaluation.order,1
python,UASF_0203,conversion.semantics,1
python,UASF_0203,types.origin,1
python,UASF_0203,types.structure,1
python,UASF_0204,conversion.semantics,1
python,UASF_0204,types.origin,1
python,UASF_0204,types.structure,1
python,UASF_0205,conversion.semantics,1
python,UASF_0205,types.origin,1
python,UASF_0205,types.structure,1
python,UASF_0206,conversion.semantics,1
python,UASF_0206,types.origin,1
python,UASF_0206,types.structure,1
python,UASF_0207,conversion.semantics,1
python,UASF_0207,types.origin,1
python,UASF_0207,types.structure,1
python,UASF_0208,conversion.semantics,1
python,UASF_0208,types.origin,1
python,UASF_0208,types.structure,1
python,UASF_0217,data.flow,1
python,UASF_0217,evaluation.order,1
python,UASF_0217,nodes.expression,1
python,UASF_0217,operations,1
python,UASF_0218,data.flow,1
python,UASF_0218,evaluation.order,1
python,UASF_0218,nodes.expression,1
python,UASF_0218,operations,1
python,UASF_0219,data.flow,1
python,UASF_0219,evaluation.order,1
python,UASF_0219,nodes.expression,1
python,UASF_0219,operations,1
python,UASF_0220,data.flow,1
python,UASF_0220,evaluation.order,1
python,UASF_0220,nodes.expression,1
python,UASF_0220,operations,1
python,UASF_0221,data.flow,1
python,UASF_0221,evaluation.order,1
python,UASF_0221,nodes.expression,1
python,UASF_0221,operations,1
python,UASF_0222,data.flow,1
python,UASF_0222,evaluation.order,1
python,UASF_0222,nodes.expression,1
python,UASF_0222,operations,1
python,UASF_0223,data.flow,1
python,UASF_0223,evaluation.order,1
python,UASF_0223,nodes.expression,1
python,UASF_0223,operations,1
python,UASF_0224,data.flow,1
python,UASF_0224,evaluation.order,1
python,UASF_0224,nodes.expression,1
python,UASF_0224,operations,1
python,UASF_0225,data.flow,1
python,UASF_0225,evaluation.order,1
python,UASF_0225,nodes.expression,1
python,UASF_0225,operations,1
python,UASF_0226,data.flow,1
python,UASF_0226,evaluation.order,1
python,UASF_0226,nodes.expression,1
python,UASF_0226,operations,1
python,UASF_0254,effect.graph,1
python,UASF_0254,purity,1
python,UASF_0254,runtime.contract,1
python,UASF_0255,effect.graph,1
python,UASF_0255,purity,1
python,UASF_0255,runtime.contract,1
python,UASF_0256,effect.graph,1
python,UASF_0256,purity,1
python,UASF_0256,runtime.contract,1
python,UASF_0257,effect.graph,1
python,UASF_0257,purity,1
python,UASF_0257,runtime.contract,1
python,UASF_0258,effect.graph,1
python,UASF_0258,purity,1
python,UASF_0258,runtime.contract,1
python,UASF_0259,effect.graph,1
python,UASF_0259,purity,1
python,UASF_0259,runtime.contract,1
python,UASF_0301,nodes.declaration,1
python,UASF_0301,scope.binding,1
python,UASF_0301,types.structure,1
python,UASF_0302,nodes.declaration,1
python,UASF_0302,scope.binding,1
python,UASF_0302,types.structure,1
python,UASF_0303,nodes.declaration,1
python,UASF_0303,scope.binding,1
python,UASF_0303,types.structure,1
python,UASF_0304,nodes.declaration,1
python,UASF_0304,scope.binding,1
python,UASF_0304,types.structure,1
python,UASF_0305,nodes.declaration,1
python,UASF_0305,scope.binding,1
python,UASF_0305,types.structure,1
python,UASF_0306,nodes.declaration,1
python,UASF_0306,scope.binding,1
python,UASF_0306,types.structure,1
python,UASF_0307,nodes.declaration,1
python,UASF_0307,scope.binding,1
python,UASF_0307,types.structure,1
python,UASF_0308,nodes.declaration,1
python,UASF_0308,scope.binding,1
python,UASF_0308,types.structure,1
python,UASF_0309,nodes.declaration,1
python,UASF_0309,scope.binding,1
python,UASF_0309,types.structure,1
python,UASF_0310,nodes.declaration,1
python,UASF_0310,scope.binding,1
python,UASF_0310,types.structure,1
python,UASF_0311,nodes.declaration,1
python,UASF_0311,scope.binding,1
python,UASF_0311,types.structure,1
r,UASF_0011,abi.ffi,1
r,UASF_0011,dialect.extension,1
r,UASF_0011,nodes.declaration,1
r,UASF_0011,runtime.contract,1
r,UASF_0014,abi.ffi,1
r,UASF_0014,effect.graph,1
r,UASF_0014,memory.model,1
r,UASF_0014,ownership.lifetime,1
r,UASF_0014,runtime.contract,1
r,UASF_0022,abi.ffi,1
r,UASF_0022,memory.model,1
r,UASF_0022,ownership.lifetime,1
r,UASF_0023,abi.ffi,1
r,UASF_0023,memory.model,1
r,UASF_0023,ownership.lifetime,1
r,UASF_0024,abi.ffi,1
r,UASF_0024,memory.model,1
r,UASF_0024,ownership.lifetime,1
r,UASF_0025,abi.ffi,1
r,UASF_0025,memory.model,1
r,UASF_0025,ownership.lifetime,1
r,UASF_0026,abi.ffi,1
r,UASF_0026,memory.model,1
r,UASF_0026,ownership.lifetime,1
r,UASF_0027,abi.ffi,1
r,UASF_0027,memory.model,1
r,UASF_0027,ownership.lifetime,1
r,UASF_0027,runtime.contract,1
r,UASF_0042,binding.graph,1
r,UASF_0042,capture.shadowing,1
r,UASF_0042,data.flow,1
r,UASF_0042,effect.graph,1
r,UASF_0042,operations,1
r,UASF_0042,scope.binding,1
r,UASF_0044,binding.graph,1
r,UASF_0044,capture.shadowing,1
r,UASF_0044,data.flow,1
r,UASF_0044,runtime.contract,1
r,UASF_0044,scope.binding,1
r,UASF_0046,binding.graph,1
r,UASF_0046,capture.shadowing,1
r,UASF_0046,runtime.contract,1
r,UASF_0046,scope.binding,1
r,UASF_0046,types.structure,1
r,UASF_0047,binding.graph,1
r,UASF_0047,capture.shadowing,1
r,UASF_0047,scope.binding,1
r,UASF_0048,binding.graph,1
r,UASF_0048,capture.shadowing,1
r,UASF_0048,scope.binding,1
r,UASF_0049,binding.graph,1
r,UASF_0049,capture.shadowing,1
r,UASF_0049,scope.binding,1
r,UASF_0050,binding.graph,1
r,UASF_0050,capture.shadowing,1
r,UASF_0050,scope.binding,1
r,UASF_0051,binding.graph,1
r,UASF_0051,capture.shadowing,1
r,UASF_0051,scope.binding,1
r,UASF_0069,binding.graph,1
r,UASF_0069,data.flow,1
r,UASF_0069,effect.graph,1
r,UASF_0069,evaluation.order,1
r,UASF_0069,runtime.contract,1
r,UASF_0071,binding.graph,1
r,UASF_0071,data.flow,1
r,UASF_0071,evaluation.order,1
r,UASF_0071,nodes.declaration,1
r,UASF_0071,nodes.expression,1
r,UASF_0071,scope.binding,1
r,UASF_0072,binding.graph,1
r,UASF_0072,data.flow,1
r,UASF_0072,evaluation.order,1
r,UASF_0072,nodes.expression,1
r,UASF_0072,runtime.contract,1
r,UASF_0077,binding.graph,1
r,UASF_0077,dialect.extension,1
r,UASF_0077,nodes.declaration,1
r,UASF_0077,runtime.contract,1
r,UASF_0077,scope.binding,1
r,UASF_0081,binding.graph,1
r,UASF_0081,effect.graph,1
r,UASF_0081,operations,1
r,UASF_0081,runtime.contract,1
r,UASF_0081,scope.binding,1
r,UASF_0083,binding.graph,1
r,UASF_0083,evaluation.order,1
r,UASF_0083,operations,1
r,UASF_0083,runtime.contract,1
r,UASF_0083,scope.binding,1
r,UASF_0118,compiletime.semantics,1
r,UASF_0118,dialect.extension,1
r,UASF_0118,lowering.pipeline,1
r,UASF_0119,compiletime.semantics,1
r,UASF_0119,dialect.extension,1
r,UASF_0119,lowering.pipeline,1
r,UASF_0120,compiletime.semantics,1
r,UASF_0120,dialect.extension,1
r,UASF_0120,lowering.pipeline,1
r,UASF_0121,compiletime.semantics,1
r,UASF_0121,dialect.extension,1
r,UASF_0121,lowering.pipeline,1
r,UASF_0122,compiletime.semantics,1
r,UASF_0122,dialect.extension,1
r,UASF_0122,lowering.pipeline,1
r,UASF_0124,compiletime.semantics,1
r,UASF_0124,dialect.extension,1
r,UASF_0124,lowering.pipeline,1
r,UASF_0124,runtime.contract,1
r,UASF_0151,concurrency.model,1
r,UASF_0151,memory.ordering,1
r,UASF_0151,synchronization,1
r,UASF_0152,concurrency.model,1
r,UASF_0152,memory.ordering,1
r,UASF_0152,synchronization,1
r,UASF_0153,concurrency.model,1
r,UASF_0153,memory.ordering,1
r,UASF_0153,synchronization,1
r,UASF_0154,concurrency.model,1
r,UASF_0154,memory.ordering,1
r,UASF_0154,synchronization,1
r,UASF_0169,control.flow,1
r,UASF_0169,effect.graph,1
r,UASF_0169,effects.control,1
r,UASF_0169,evaluation.order,1
r,UASF_0171,control.flow,1
r,UASF_0171,effect.graph,1
r,UASF_0171,effects.control,1
r,UASF_0171,runtime.contract,1
r,UASF_0171,types.structure,1
r,UASF_0178,control.flow,1
r,UASF_0178,effects.control,1
r,UASF_0178,evaluation.order,1
r,UASF_0179,control.flow,1
r,UASF_0179,effects.control,1
r,UASF_0179,evaluation.order,1
r,UASF_0180,control.flow,1
r,UASF_0180,effects.control,1
r,UASF_0180,evaluation.order,1
r,UASF_0181,control.flow,1
r,UASF_0181,effects.control,1
r,UASF_0181,evaluation.order,1
r,UASF_0182,control.flow,1
r,UASF_0182,effects.control,1
r,UASF_0182,evaluation.order,1
r,UASF_0183,control.flow,1
r,UASF_0183,effects.control,1
r,UASF_0183,evaluation.order,1
r,UASF_0185,control.flow,1
r,UASF_0185,effects.control,1
r,UASF_0185,evaluation.order,1
r,UASF_0185,runtime.contract,1
r,UASF_0191,conversion.semantics,1
r,UASF_0191,data.flow,1
r,UASF_0191,effect.graph,1
r,UASF_0191,operations,1
r,UASF_0191,runtime.contract,1
r,UASF_0192,conversion.semantics,1
r,UASF_0192,data.flow,1
r,UASF_0192,evaluation.order,1
r,UASF_0192,operations,1
r,UASF_0192,runtime.contract,1
r,UASF_0197,conversion.semantics,1
r,UASF_0197,operations,1
r,UASF_0197,runtime.contract,1
r,UASF_0197,types.origin,1
r,UASF_0197,types.structure,1
r,UASF_0203,conversion.semantics,1
r,UASF_0203,types.origin,1
r,UASF_0203,types.structure,1
r,UASF_0205,conversion.semantics,1
r,UASF_0205,types.origin,1
r,UASF_0205,types.structure,1
r,UASF_0207,conversion.semantics,1
r,UASF_0207,types.origin,1
r,UASF_0207,types.structure,1
r,UASF_0208,conversion.semantics,1
r,UASF_0208,types.origin,1
r,UASF_0208,types.structure,1
r,UASF_0211,data.flow,1
r,UASF_0211,effect.graph,1
r,UASF_0211,memory.model,1
r,UASF_0211,ownership.lifetime,1
r,UASF_0211,runtime.contract,1
r,UASF_0213,data.flow,1
r,UASF_0213,effect.graph,1
r,UASF_0213,purity,1
r,UASF_0213,runtime.contract,1
r,UASF_0216,data.flow,1
r,UASF_0216,evaluation.order,1
r,UASF_0216,nodes.declaration,1
r,UASF_0216,runtime.contract,1
r,UASF_0216,scope.binding,1
r,UASF_0217,data.flow,1
r,UASF_0217,evaluation.order,1
r,UASF_0217,nodes.expression,1
r,UASF_0217,operations,1
r,UASF_0218,data.flow,1
r,UASF_0218,evaluation.order,1
r,UASF_0218,nodes.expression,1
r,UASF_0218,operations,1
r,UASF_0219,data.flow,1
r,UASF_0219,evaluation.order,1
r,UASF_0219,nodes.expression,1
r,UASF_0219,operations,1
r,UASF_0220,data.flow,1
r,UASF_0220,evaluation.order,1
r,UASF_0220,nodes.expression,1
r,UASF_0220,operations,1
r,UASF_0221,data.flow,1
r,UASF_0221,evaluation.order,1
r,UASF_0221,nodes.expression,1
r,UASF_0221,operations,1
r,UASF_0223,data.flow,1
r,UASF_0223,evaluation.order,1
r,UASF_0223,nodes.expression,1
r,UASF_0223,operations,1
r,UASF_0224,data.flow,1
r,UASF_0224,evaluation.order,1
r,UASF_0224,nodes.expression,1
r,UASF_0224,operations,1
r,UASF_0225,data.flow,1
r,UASF_0225,evaluation.order,1
r,UASF_0225,nodes.expression,1
r,UASF_0225,operations,1
r,UASF_0226,data.flow,1
r,UASF_0226,evaluation.order,1
r,UASF_0226,nodes.expression,1
r,UASF_0226,operations,1
r,UASF_0227,data.flow,1
r,UASF_0227,evaluation.order,1
r,UASF_0227,nodes.expression,1
r,UASF_0227,runtime.contract,1
r,UASF_0228,data.flow,1
r,UASF_0228,evaluation.order,1
r,UASF_0228,operations,1
r,UASF_0228,runtime.contract,1
r,UASF_0229,data.flow,1
r,UASF_0229,evaluation.order,1
r,UASF_0229,operations,1
r,UASF_0229,runtime.contract,1
r,UASF_0229,types.structure,1
r,UASF_0232,data.flow,1
r,UASF_0232,operations,1
r,UASF_0232,runtime.contract,1
r,UASF_0233,data.flow,1
r,UASF_0233,operations,1
r,UASF_0233,runtime.contract,1
r,UASF_0233,scope.binding,1
r,UASF_0234,data.flow,1
r,UASF_0234,operations,1
r,UASF_0234,runtime.contract,1
r,UASF_0234,types.structure,1
r,UASF_0237,dialect.extension,1
r,UASF_0237,effect.graph,1
r,UASF_0237,nodes.declaration,1
r,UASF_0237,operations,1
r,UASF_0237,runtime.contract,1
r,UASF_0237,scope.binding,1
r,UASF_0239,dialect.extension,1
r,UASF_0239,evaluation.order,1
r,UASF_0239,nodes.expression,1
r,UASF_0239,operations,1
r,UASF_0239,runtime.contract,1
r,UASF_0239,scope.binding,1
r,UASF_0240,dialect.extension,1
r,UASF_0240,memory.model,1
r,UASF_0240,runtime.contract,1
r,UASF_0240,types.structure,1
r,UASF_0241,dialect.extension,1
r,UASF_0241,nodes.declaration,1
r,UASF_0241,operations,1
r,UASF_0241,runtime.contract,1
r,UASF_0241,scope.binding,1
r,UASF_0241,types.structure,1
r,UASF_0243,dialect.extension,1
r,UASF_0243,nodes.expression,1
r,UASF_0243,operations,1
r,UASF_0243,runtime.contract,1
r,UASF_0243,types.structure,1
r,UASF_0251,effect.graph,1
r,UASF_0251,nodes.expression,1
r,UASF_0251,operations,1
r,UASF_0251,runtime.contract,1
r,UASF_0251,types.structure,1
r,UASF_0254,effect.graph,1
r,UASF_0254,purity,1
r,UASF_0254,runtime.contract,1
r,UASF_0255,effect.graph,1
r,UASF_0255,purity,1
r,UASF_0255,runtime.contract,1
r,UASF_0256,effect.graph,1
r,UASF_0256,purity,1
r,UASF_0256,runtime.contract,1
r,UASF_0257,effect.graph,1
r,UASF_0257,purity,1
r,UASF_0257,runtime.contract,1
r,UASF_0258,effect.graph,1
r,UASF_0258,purity,1
r,UASF_0258,runtime.contract,1
r,UASF_0259,effect.graph,1
r,UASF_0259,purity,1
r,UASF_0259,runtime.contract,1
r,UASF_0301,nodes.declaration,1
r,UASF_0301,scope.binding,1
r,UASF_0301,types.structure,1
r,UASF_0302,nodes.declaration,1
r,UASF_0302,scope.binding,1
r,UASF_0302,types.structure,1
r,UASF_0303,nodes.declaration,1
r,UASF_0303,scope.binding,1
r,UASF_0303,types.structure,1
r,UASF_0304,nodes.declaration,1
r,UASF_0304,scope.binding,1
r,UASF_0304,types.structure,1
r,UASF_0305,nodes.declaration,1
r,UASF_0305,scope.binding,1
r,UASF_0305,types.structure,1
r,UASF_0306,nodes.declaration,1
r,UASF_0306,scope.binding,1
r,UASF_0306,types.structure,1
