feature_id,semantic_document,hir,mir,lir,dialect_only
FOUND001,1,1,0,0,0
FOUND002,1,1,0,0,0
FOUND003,1,1,0,0,0
FOUND004,1,1,0,0,0
FOUND005,1,1,0,0,0
FOUND006,1,1,0,0,0
FOUND007,1,1,0,0,0
FOUND008,1,1,0,0,0
FOUND009,1,1,0,0,0
FOUND010,1,1,0,0,0
FOUND011,1,1,0,0,0
FOUND012,1,1,0,0,0
FOUND013,1,1,0,0,0
FOUND014,1,1,0,0,0
FOUND015,1,1,0,0,0
FOUND016,1,1,0,0,0
FOUND017,1,1,0,0,0
FOUND018,1,1,0,0,0
FOUND019,1,1,0,0,0
FOUND020,1,1,0,0,0
DECL001,1,1,0,0,0
DECL002,1,1,0,0,0
DECL003,1,1,0,0,0
DECL004,1,1,0,0,0
DECL005,1,1,0,0,0
DECL006,1,1,0,0,0
DECL007,1,1,0,0,0
DECL008,1,1,0,0,0
DECL009,1,1,0,0,0
DECL010,1,1,0,0,0
DECL011,1,1,0,0,0
DECL012,1,1,0,0,0
DECL013,1,1,0,0,0
DECL014,1,1,0,0,0
DECL015,1,1,0,0,0
DECL016,1,1,0,0,0
DECL017,1,1,0,0,0
DECL018,1,1,0,0,0
DECL019,1,1,0,0,0
DECL020,1,1,0,0,0
DECL021,1,1,0,0,0
DECL022,1,1,0,0,0
DECL023,1,1,0,0,0
DECL024,1,1,0,0,0
DECL025,1,1,0,0,0
EXPR001,1,1,0,0,0
EXPR002,1,1,0,0,0
EXPR003,1,1,0,0,0
EXPR004,1,1,0,0,0
EXPR005,1,1,0,0,0
EXPR006,1,1,0,0,0
EXPR007,1,1,0,0,0
EXPR008,1,1,0,0,0
EXPR009,1,1,0,0,0
EXPR010,1,1,0,0,0
EXPR011,1,1,0,0,0
EXPR012,1,1,0,0,0
EXPR013,1,1,0,0,0
EXPR014,1,1,0,0,0
EXPR015,1,1,0,0,0
EXPR016,1,1,0,0,0
EXPR017,1,1,0,0,0
EXPR018,1,1,0,0,0
EXPR019,1,1,0,0,0
EXPR020,1,1,0,0,0
EXPR021,1,1,0,0,0
EXPR022,1,1,0,0,0
EXPR023,1,1,0,0,0
EXPR024,1,1,0,0,0
EXPR025,1,1,0,0,0
EXPR026,1,1,0,0,0
EXPR027,1,1,0,0,0
EXPR028,1,1,0,0,0
EXPR029,1,1,0,0,0
EXPR030,1,1,0,0,0
EXPR031,1,1,0,0,0
EXPR032,1,1,0,0,1
CTRL001,1,1,1,0,0
CTRL002,1,1,1,0,0
CTRL003,1,1,1,0,0
CTRL004,1,1,1,0,0
CTRL005,1,1,1,0,0
CTRL006,1,1,1,0,0
CTRL007,1,1,1,0,0
CTRL008,1,1,1,0,0
CTRL009,1,1,1,0,0
CTRL010,1,1,1,0,0
CTRL011,1,1,1,0,0
CTRL012,1,1,1,0,0
CTRL013,1,1,1,0,0
CTRL014,1,1,1,0,0
CTRL015,1,1,1,0,0
CTRL016,1,1,1,0,0
CTRL017,1,1,1,0,0
CTRL018,1,1,1,0,0
CTRL019,1,1,1,0,0
CTRL020,1,1,1,0,0
CTRL021,1,1,1,0,0
CTRL022,1,1,1,0,0
CTRL023,1,1,1,0,0
CTRL024,1,1,1,0,0
CTRL025,1,1,1,0,0
TYPE001,1,1,0,0,0
TYPE002,1,1,0,0,0
TYPE003,1,1,0,0,0
TYPE004,1,1,0,0,0
TYPE005,1,1,0,0,0
TYPE006,1,1,0,0,0
TYPE007,1,1,0,0,0
TYPE008,1,1,0,0,0
TYPE009,1,1,0,0,0
TYPE010,1,1,0,0,0
TYPE011,1,1,0,0,0
TYPE012,1,1,0,0,0
TYPE013,1,1,0,0,0
TYPE014,1,1,0,0,0
TYPE015,1,1,0,0,0
TYPE016,1,1,0,0,0
TYPE017,1,1,0,0,0
TYPE018,1,1,0,0,0
TYPE019,1,1,0,0,0
TYPE020,1,1,0,0,0
TYPE021,1,1,0,0,0
TYPE022,1,1,0,0,0
TYPE023,1,1,0,0,0
TYPE024,1,1,0,0,0
TYPE025,1,1,0,0,0
TYPE026,1,1,0,0,1
TYPE027,1,1,0,0,1
TYPE028,1,1,0,0,0
TYPE029,1,1,0,0,0
TYPE030,1,1,0,0,0
TYPE031,1,1,0,0,0
TYPE032,1,1,0,0,0
TYPE033,1,1,0,0,0
TYPE034,1,1,0,0,0
TYPE035,1,1,0,0,0
TYPE036,1,1,0,0,0
TYPE037,1,1,0,0,0
TYPE038,1,1,0,0,0
TYPE039,1,1,0,0,0
TYPE040,1,1,0,0,0
TYPE041,1,1,0,0,0
TYPE042,1,1,0,0,1
TYPE043,1,1,0,0,1
TYPE044,1,1,0,0,0
TYPE045,1,1,0,0,0
TYPE046,1,1,0,0,0
TYPE047,1,1,0,0,1
TYPE048,1,1,0,0,0
TYPE049,1,1,0,0,1
TYPE050,1,1,0,0,1
TYPE051,1,1,0,0,0
TYPE052,1,1,0,0,0
TYPE053,1,1,0,0,0
TYPE054,1,1,0,0,0
TYPE055,1,1,0,0,0
SEM001,1,1,0,0,0
SEM002,1,1,0,0,0
SEM003,1,1,0,0,0
SEM004,1,1,0,0,0
SEM005,1,1,0,0,0
SEM006,1,1,0,0,0
SEM007,1,1,0,0,0
SEM008,1,1,0,0,0
SEM009,1,1,0,0,0
SEM010,1,1,0,0,0
SEM011,1,1,0,0,0
SEM012,1,1,0,0,0
SEM013,1,1,0,0,0
SEM014,1,1,0,0,0
SEM015,1,1,0,0,0
SEM016,1,1,0,0,0
SEM017,1,1,0,0,0
SEM018,1,1,0,0,0
SEM019,1,1,0,0,1
SEM020,1,1,0,0,1
SEM021,1,1,0,0,0
SEM022,1,1,0,0,0
SEM023,1,1,0,0,0
SEM024,1,1,0,0,0
SEM025,1,1,0,0,0
SEM026,1,1,0,0,0
SEM027,1,1,0,0,1
SEM028,1,1,0,0,1
SEM029,1,1,0,0,1
SEM030,1,1,0,0,1
SEM031,1,1,0,0,0
SEM032,1,1,0,0,1
SEM033,1,1,0,0,0
SEM034,1,1,0,0,0
SEM035,1,1,0,0,0
SEM036,1,1,0,0,0
SEM037,1,1,0,0,0
SEM038,1,1,0,0,0
SEM039,1,1,0,0,0
SEM040,1,1,0,0,1
SEM041,1,1,0,0,1
SEM042,1,1,0,0,0
SEM043,1,1,0,0,0
SEM044,1,1,0,0,0
SEM045,1,1,0,0,0
SEM046,1,1,0,0,0
SEM047,1,1,0,0,0
SEM048,1,1,0,0,0
SEM049,1,1,0,0,1
SEM050,1,1,0,0,1
REL001,1,1,1,0,0
REL002,1,1,1,0,0
REL003,1,1,1,0,0
REL004,1,1,1,0,0
REL005,1,1,1,0,0
REL006,1,1,1,0,0
REL007,1,1,1,0,0
REL008,1,1,1,0,0
REL009,1,1,1,0,0
REL010,1,1,1,0,0
REL011,1,1,1,0,1
REL012,1,1,1,0,1
REL013,1,1,1,0,0
REL014,1,1,1,0,1
REL015,1,1,1,0,0
REL016,1,1,1,0,0
REL017,1,1,1,0,0
REL018,1,1,1,0,0
REL019,1,1,1,0,0
REL020,1,1,1,0,0
REL021,1,1,1,0,0
REL022,1,1,1,0,0
REL023,1,1,1,0,1
REL024,1,1,1,0,0
EFF001,1,1,1,0,0
EFF002,1,1,1,0,0
EFF003,1,1,1,0,0
EFF004,1,1,1,0,0
EFF005,1,1,1,0,0
EFF006,1,1,1,0,0
EFF007,1,1,1,0,0
EFF008,1,1,1,0,0
EFF009,1,1,1,0,0
EFF010,1,1,1,0,1
EFF011,1,1,1,0,1
EFF012,1,1,1,0,1
EFF013,1,1,1,0,1
EFF014,1,1,1,0,0
EFF015,1,1,1,0,0
EFF016,1,1,1,0,0
EFF017,1,1,1,0,1
EFF018,1,1,1,0,0
EFF019,1,1,1,0,0
EFF020,1,1,1,0,0
EFF021,1,1,1,0,1
EFF022,1,1,1,0,0
CONC001,1,1,1,1,1
CONC002,1,1,1,1,1
CONC003,1,1,1,1,1
CONC004,1,1,1,1,1
CONC005,1,1,1,1,1
CONC006,1,1,1,1,1
CONC007,1,1,1,1,1
CONC008,1,1,1,1,1
CONC009,1,1,1,1,1
CONC010,1,1,1,1,1
CONC011,1,1,1,1,1
CONC012,1,1,1,1,1
CONC013,1,1,1,1,1
CONC014,1,1,1,1,1
SYS001,1,1,1,1,1
SYS002,1,1,1,1,1
SYS003,1,1,1,1,1
SYS004,1,1,1,1,1
SYS005,1,1,1,1,1
SYS006,1,1,1,1,1
SYS007,1,1,1,1,1
SYS008,1,1,1,1,1
SYS009,1,1,1,1,1
SYS010,1,1,1,1,1
SYS011,1,1,1,1,1
SYS012,1,1,1,1,1
SYS013,1,1,1,1,1
SYS014,1,1,1,1,1
SYS015,1,1,1,1,1
SYS016,1,1,1,1,0
SYS017,1,1,1,1,1
SYS018,1,1,1,1,1
GPU001,1,1,0,0,1
GPU002,1,1,0,0,1
GPU003,1,1,0,0,1
GPU004,1,1,0,0,1
GPU005,1,1,0,0,1
GPU006,1,1,0,0,1
GPU007,1,1,0,0,1
GPU008,1,1,0,0,1
GPU009,1,1,0,0,1
GPU010,1,1,0,0,1
GPU011,1,1,0,0,1
GPU012,1,1,0,0,1
GPU013,1,1,0,0,1
IR001,1,1,0,0,0
IR002,1,0,1,0,0
IR003,1,0,1,0,0
IR004,1,0,1,0,0
IR005,1,0,1,0,0
IR006,1,0,0,1,0
IR007,1,0,0,0,0
IR008,1,0,0,0,0
IR009,1,0,0,0,0
IR010,1,0,0,0,0
IR011,1,0,0,0,0
IR012,1,0,0,0,0
