component,declaration,expression,control,type,binding,effect,memory,concurrency,meta
ast,4780,2907,634,628,358,218,155,77,913
binding,772,743,31,29,780,30,8,27,82
codegen,9629,5647,1185,1055,802,604,853,490,1363
docs,11500,2638,913,2062,434,1535,846,2067,1157
grammar,1835,1243,257,233,21,29,75,4,567
ir,1273,839,228,459,88,229,86,86,1431
lexer,283,301,27,138,0,12,23,0,6
optimizer,1296,806,114,479,175,377,188,258,454
other,41137,19712,5370,16266,934,5691,8384,12769,3741
runtime,6640,2446,359,1781,107,1226,2130,2588,535
tests,16287,14650,3366,10884,328,3057,2246,4083,1493
types,1190,2760,55,2036,39,167,491,458,109
