semanticprogram_axis,evidence_weight,normalized_share
abi.ffi,15485,0.018071944662620076
binding.graph,4066,0.004745271359264658
capture.shadowing,4066,0.004745271359264658
compiletime.semantics,11851,0.013830843797010689
concurrency.model,22907,0.02673387383833633
control.flow,12539,0.014633781990609825
conversion.semantics,36050,0.04207256087100121
data.flow,54692,0.06382891814581965
dialect.extension,11851,0.013830843797010689
effect.graph,13175,0.015376032995157862
effects.control,12539,0.014633781990609825
evaluation.order,67231,0.07846270013642948
lowering.pipeline,11851,0.013830843797010689
memory.model,15485,0.018071944662620076
memory.ordering,22907,0.02673387383833633
nodes.declaration,96622,0.11276379962490649
nodes.expression,54692,0.06382891814581965
operations,54692,0.06382891814581965
ownership.lifetime,15485,0.018071944662620076
purity,13175,0.015376032995157862
runtime.contract,13175,0.015376032995157862
scope.binding,100688,0.11750907098417114
synchronization,22907,0.02673387383833633
types.origin,36050,0.04207256087100121
types.structure,132672,0.1548363604959077
