component,array_type,function_type,generic_constraint,map_type,optional_nullable,overload_resolution,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,reference,subtyping,tuple_type,type_inference,union_sum
ast,6,23,4,1,18,0,0,0,160,395,2,0,10,0,5,4
binding,0,1,0,0,0,0,0,0,18,4,0,0,6,0,0,0
codegen,18,176,0,0,31,3,134,0,162,436,7,0,25,8,31,24
docs,39,108,53,0,147,24,7,1,641,790,8,5,154,44,31,10
grammar,0,12,0,0,8,1,0,0,47,144,0,0,20,0,1,0
ir,2,28,51,0,1,0,0,0,113,258,0,0,2,0,3,1
lexer,0,1,0,0,0,0,0,0,91,46,0,0,0,0,0,0
optimizer,0,2,3,0,1,0,1,0,262,207,0,0,0,1,1,1
other,68,542,53,5,283,38,74,0,2080,12158,12,18,332,162,208,233
runtime,17,61,3,20,61,10,66,0,351,1156,0,4,6,7,6,13
tests,9,79,49,0,50,20,1,0,3233,7218,2,1,130,26,33,33
types,0,5,33,1,0,0,1,0,351,953,0,1,477,10,0,204
