component,allocation,dynamic_dispatch,filesystem,global_state,io,mutation,network,random,reflection,time
ast,29,7,2,6,5,112,5,50,2,0
binding,2,0,0,11,0,17,0,0,0,0
codegen,118,1,0,6,4,461,2,10,2,0
docs,287,9,77,98,101,428,152,324,53,6
grammar,0,0,0,0,2,27,0,0,0,0
ir,34,2,0,0,3,57,0,131,2,0
lexer,0,0,0,0,0,11,0,1,0,0
optimizer,69,1,0,2,5,299,0,0,1,0
other,985,54,104,38,538,2170,313,1185,211,93
runtime,645,5,1,16,17,479,0,45,16,2
tests,231,9,146,8,730,714,243,781,178,17
types,45,0,0,0,0,86,0,0,2,34
