component,attribute_annotation,class,constant,enum,function,generic,import,interface_trait,module,parameter,struct,variable,visibility
ast,24,4,210,5,1480,33,691,21,583,541,184,939,65
binding,2,0,11,0,263,2,130,0,55,66,33,207,3
codegen,591,8,692,43,2593,140,1879,7,811,584,311,1879,91
docs,69,15,453,66,2994,382,2649,154,1693,1554,313,901,257
grammar,2,0,88,3,586,18,428,5,70,189,73,325,48
ir,21,1,48,4,577,22,188,2,18,141,130,119,2
lexer,0,0,66,1,139,9,22,1,10,1,9,23,2
optimizer,88,13,39,45,391,27,187,6,106,107,89,185,13
other,1037,137,990,406,11151,1551,7154,413,4411,3261,2320,7053,1253
runtime,219,48,178,78,1218,153,1224,69,531,265,482,2050,125
tests,179,8,251,79,3036,352,2707,149,2547,1804,1644,3197,334
types,7,20,5,167,47,36,124,0,36,124,125,495,4
