file,component,extension,size_bytes,lines
.codecov.yml,grammar,.yml,52,5
AGENTS.md,docs,.md,6725,111
CLAUDE.md,docs,.md,128,10
CONTRIBUTING.md,docs,.md,8121,106
HISTORY.md,docs,.md,428601,7964
julia.spdx.json,other,.json,40524,679
LICENSE.md,docs,.md,1321,27
Make.inc,other,.inc,69333,2075
Makefile,other,,38549,842
NEWS.md,docs,.md,17878,276
pkgimage.mk,other,.mk,1441,39
README.md,docs,.md,8301,176
sysimage.mk,other,.mk,9439,185
THIRDPARTY.md,ir,.md,5407,75
typos.toml,other,.toml,122,6
.devcontainer/devcontainer.json,other,.json,342,13
.github/dependabot.yml,grammar,.yml,1794,66
.github/_typos.toml,other,.toml,146,5
.github/workflows/backport-label-audit.yml,grammar,.yml,955,30
.github/workflows/cffconvert.yml,grammar,.yml,732,34
.github/workflows/LabelCheck.yml,grammar,.yml,812,24
.github/workflows/Typos.yml,grammar,.yml,3104,71
.github/workflows/Whitespace.yml,grammar,.yml,603,27
base/abstractarray.jl,other,.jl,122078,3767
base/abstractarraymath.jl,other,.jl,15617,615
base/abstractdict.jl,other,.jl,18692,682
base/abstractset.jl,other,.jl,15980,642
base/accumulate.jl,other,.jl,13949,492
base/anyall.jl,other,.jl,6646,258
base/array.jl,other,.jl,88642,3283
base/arraymath.jl,other,.jl,7219,318
base/arrayshow.jl,other,.jl,25861,626
base/asyncevent.jl,other,.jl,18092,543
base/asyncmap.jl,other,.jl,11591,357
base/atomics.jl,other,.jl,10910,403
base/Base.jl,other,.jl,22351,648
base/baseext.jl,other,.jl,2534,44
base/Base_compiler.jl,other,.jl,15186,415
base/binaryplatforms.jl,other,.jl,43666,1221
base/bitarray.jl,other,.jl,52819,1932
base/bitset.jl,other,.jl,12788,427
base/bool.jl,other,.jl,3728,171
base/boot.jl,other,.jl,47745,1330
base/broadcast.jl,ast,.jl,64908,1448
base/c.jl,other,.jl,18998,544
base/cancellation.jl,other,.jl,51093,1129
base/cartesian.jl,other,.jl,13938,471
base/channels.jl,other,.jl,22168,795
base/char.jl,other,.jl,14998,393
base/checked.jl,other,.jl,13025,381
base/client.jl,other,.jl,29627,822
base/cmd.jl,other,.jl,23830,662
base/cmem.jl,other,.jl,1458,58
base/combinatorics.jl,other,.jl,9758,374
base/complex.jl,lexer,.jl,32848,1157
base/condition.jl,other,.jl,19544,467
base/coreio.jl,other,.jl,1389,46
base/coreir.jl,other,.jl,4354,121
base/cpuid.jl,other,.jl,6627,210
base/ctypes.jl,other,.jl,1888,120
base/deepcopy.jl,other,.jl,6964,202
base/deprecated.jl,other,.jl,29066,747
base/dict.jl,other,.jl,30292,1069
base/div.jl,other,.jl,17118,481
base/download.jl,other,.jl,989,26
base/Enums.jl,other,.jl,8530,255
base/env.jl,other,.jl,10631,291
base/error.jl,other,.jl,11429,326
base/errorshow.jl,other,.jl,69143,1691
base/essentials.jl,other,.jl,52986,1675
base/experimental.jl,other,.jl,31586,840
base/exports.jl,other,.jl,16571,1146
base/expr.jl,other,.jl,64291,1903
base/fastmath.jl,other,.jl,15626,421
base/file.jl,other,.jl,52718,1535
base/filesystem.jl,other,.jl,13790,450
base/flfrontend.jl,other,.jl,1061,26
base/float.jl,other,.jl,36420,1165
base/floatfuncs.jl,other,.jl,14785,390
base/gcutils.jl,runtime,.jl,8903,296
base/generator.jl,other,.jl,4230,135
base/genericmemory.jl,other,.jl,14810,494
base/gmp.jl,other,.jl,40893,1133
base/hamt.jl,other,.jl,9431,283
base/hashing.jl,other,.jl,22192,639
base/iddict.jl,other,.jl,5871,190
base/idset.jl,other,.jl,3734,127
base/indices.jl,other,.jl,21913,580
base/initdefs.jl,other,.jl,22782,618
base/int.jl,other,.jl,31487,1108
base/intfuncs.jl,other,.jl,43380,1530
base/io.jl,other,.jl,56420,1713
base/iobuffer.jl,other,.jl,41929,1095
base/iostream.jl,other,.jl,21277,661
base/irrationals.jl,other,.jl,11329,312
base/iterators.jl,other,.jl,54276,1791
base/libc.jl,other,.jl,19251,614
base/libdl.jl,other,.jl,17435,507
base/libuv.jl,other,.jl,5872,184
base/linked_list.jl,other,.jl,8807,294
base/linking.jl,other,.jl,8504,222
base/loading.jl,other,.jl,201613,4852
base/lock.jl,other,.jl,35186,1063
base/locks-mt.jl,other,.jl,3551,116
base/Makefile,other,,13127,316
base/math.jl,other,.jl,36191,1333
base/mathconstants.jl,other,.jl,3260,153
base/meta.jl,other,.jl,23005,672
base/methodshow.jl,other,.jl,17742,526
base/missing.jl,other,.jl,13690,457
base/module.jl,other,.jl,4829,143
base/mpfr.jl,other,.jl,52038,1334
base/multidimensional.jl,other,.jl,81629,2111
base/multimedia.jl,other,.jl,17873,461
base/multinverses.jl,other,.jl,5960,166
base/namedtuple.jl,other,.jl,19918,590
base/ntuple.jl,other,.jl,2770,95
base/number.jl,other,.jl,9554,454
base/opaque_closure.jl,other,.jl,2451,57
base/operators.jl,other,.jl,43183,1605
base/optimized_generics.jl,optimizer,.jl,3120,84
base/options.jl,other,.jl,3638,137
base/ordering.jl,other,.jl,5625,178
