component,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield
ast,3,2,1,0,0,0,29,0,0,0,0,1,11,0,1,2,11,35,0,0,7,0,1,0,8,14,2,1,0,23,3,2,0,158,14,0,0,2,0,57,1,0,5,7,25,0,70,140,3,0,0,60,0,0,0,0,0,56,21,0,0,1,6,2,6,13,6,0,0,2,80,0,4,1,4,3,9,0,1,0,1,0,0,2,1,2,4,0,28,3,1,0,0,6,95,1,0,41
binding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
codegen,2,7,1,0,5,0,31,0,0,0,0,0,19,0,0,1,66,181,0,0,1,0,2,0,7,14,117,0,0,11,29,6,2,34,2,1,0,2,0,149,0,16,0,18,2,0,27,107,0,0,0,13,5,0,0,0,0,415,6,0,0,0,4,1,23,5,1,0,0,1,39,0,0,1,0,0,2,0,0,0,12,1,0,0,7,7,2,0,15,0,0,0,0,11,135,5,0,15
docs,125,74,2,5,96,35,539,7,0,5,3,10,75,99,20,49,109,201,45,1,339,4,57,24,93,459,199,4,17,289,147,52,75,566,173,18,7,153,24,1667,8,72,115,188,58,15,201,328,9,57,4,399,40,0,0,1,0,835,80,0,58,50,43,161,14,693,120,14,3,84,274,4,46,66,20,3,113,0,2,6,54,61,0,4,197,151,81,3,212,9,15,0,2,61,651,86,6,66
grammar,6,1,3,0,13,0,176,0,0,5,0,0,3,6,4,1,9,3,2,0,66,5,46,0,24,121,13,1,11,21,10,3,2,87,20,0,0,25,19,154,0,1,5,90,4,0,164,69,0,1,0,37,0,0,0,0,0,33,2,0,0,0,17,1,0,170,27,0,0,30,42,3,0,0,4,6,0,0,0,6,0,0,0,0,8,0,10,2,154,13,2,0,0,0,275,1,5,2
ir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,1,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1
lexer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,108,0,5,0,1,13,29,0,0,5,1,0,0,32,2,0,0,8,0,43,0,2,6,49,4,0,39,12,10,5,0,18,0,0,0,0,0,2,2,0,0,0,1,0,0,2,2,0,0,29,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,54,1,0,2
optimizer,0,0,1,0,0,0,5,0,0,3,0,0,0,1,0,0,3,1,26,0,11,0,6,0,2,15,0,0,0,4,3,0,0,11,0,0,0,0,6,41,0,1,3,2,4,0,34,109,0,0,0,2,0,0,0,1,0,115,1,0,0,4,0,0,0,2,0,1,0,9,78,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,60,0,4,26
other,3136,393,167,42,415,812,1713,145,94,37,20,24,560,197,115,176,859,1128,208,1,829,19,542,45,411,2333,1671,116,78,1170,784,174,163,4529,395,22,47,262,238,10117,126,458,610,1641,838,8,5690,7570,4,123,292,1060,215,1,63,57,8,5487,778,1,1930,73,127,296,459,1377,1173,151,10,1391,5570,5,308,175,102,65,1037,0,57,3,900,263,9,41,1859,3222,462,246,1059,44,33,33,13,475,10438,569,49,575
runtime,45,85,10,3,29,59,25,7,0,3,83,3,3,12,19,8,63,22,36,0,65,2,56,3,31,216,75,1,4,58,24,8,39,351,3,6,11,39,13,427,0,12,58,45,105,2,463,719,0,1,0,132,26,0,86,9,0,163,61,0,4,3,1,7,20,101,23,7,0,80,388,33,11,3,2,3,10,0,0,1,41,11,0,0,63,197,32,12,113,1,3,0,0,34,1179,37,3,66
tests,853,158,20,10,48,246,462,288,3,4,1,2,187,60,155,97,546,235,39,2,352,2,383,31,479,1717,168,38,14,726,242,52,21,2370,608,6,8,148,24,5942,10,225,362,643,620,13,3333,2122,2,21,6,934,90,4,0,2,0,585,206,4,583,12,14,66,119,674,322,8,0,693,1852,2,264,127,36,7,240,0,11,2,448,54,0,4,1863,758,354,35,667,17,7,0,2,138,5800,351,3,547
types,3,0,0,0,0,1,4,6,0,0,0,0,0,5,0,4,9,5,1,0,3,0,0,0,14,13,2,0,0,38,5,2,0,172,3,0,0,1,0,85,0,8,0,2,27,0,126,63,0,0,0,45,0,0,0,0,0,11,0,0,4,0,2,26,0,14,0,0,0,22,72,0,1,0,0,0,1,0,0,0,8,4,0,0,30,4,4,0,29,0,2,0,0,4,185,0,0,14
