component,declaration,expression,control,type,binding,effect,memory,concurrency,meta
ast,430,304,45,111,23,37,42,4,103
binding,19,5,0,0,15,0,0,0,1
codegen,840,239,29,55,21,14,162,14,212
docs,5791,1485,952,966,209,442,572,407,886
grammar,998,479,249,131,3,15,25,12,132
ir,29,4,0,0,0,1,0,0,15
lexer,246,86,28,134,0,8,33,0,67
optimizer,251,182,44,88,0,5,4,0,35
other,37788,18578,5049,8752,1704,4550,6957,6308,4130
runtime,2464,1558,401,634,15,243,344,338,321
tests,18027,8149,3242,3512,459,1719,2009,3028,1864
types,513,253,55,133,1,5,36,35,53
