semanticprogram_axis,evidence_weight,normalized_share
abi.ffi,10184,0.01980475282952822
binding.graph,2450,0.00476449768581541
capture.shadowing,2450,0.00476449768581541
compiletime.semantics,7819,0.015205554043016607
concurrency.model,10146,0.019730854498074754
control.flow,10094,0.01962973046555949
conversion.semantics,14516,0.028229162615223055
data.flow,31322,0.06091167204698378
dialect.extension,7819,0.015205554043016607
effect.graph,7039,0.01368869355528762
effects.control,10094,0.01962973046555949
evaluation.order,41416,0.08054140251254327
lowering.pipeline,7819,0.015205554043016607
memory.model,10184,0.01980475282952822
memory.ordering,10146,0.019730854498074754
nodes.declaration,67396,0.13106452491151646
nodes.expression,31322,0.06091167204698378
operations,31322,0.06091167204698378
ownership.lifetime,10184,0.01980475282952822
purity,7039,0.01368869355528762
runtime.contract,7039,0.01368869355528762
scope.binding,69846,0.13582902259733187
synchronization,10146,0.019730854498074754
types.origin,14516,0.028229162615223055
types.structure,81912,0.15929368752673953
