component,array_type,function_type,generic_constraint,map_type,optional_nullable,overload_resolution,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,reference,subtyping,tuple_type,type_inference,union_sum
ast,0,2,14,0,6,2,0,0,2,80,0,1,0,3,1,0
binding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
codegen,0,6,2,0,4,1,0,0,1,39,0,1,1,0,0,0
docs,5,52,173,0,43,161,14,3,84,274,4,66,61,9,15,2
grammar,0,3,20,0,17,1,0,0,30,42,3,0,0,13,2,0
ir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lexer,0,0,2,0,1,0,0,0,29,102,0,0,0,0,0,0
optimizer,0,0,0,0,0,0,1,0,9,78,0,0,0,0,0,0
other,42,174,395,63,127,296,151,10,1391,5570,5,175,263,44,33,13
runtime,3,8,3,86,1,7,7,0,80,388,33,3,11,1,3,0
tests,10,52,608,0,14,66,8,0,693,1852,2,127,54,17,7,2
types,0,2,3,0,2,26,0,0,22,72,0,0,4,0,2,0
