component,array_list,assignment,await,binary_op,call,cast_conversion,closure_lambda,comprehension,identifier,index,literal_boolean,literal_null,literal_numeric,literal_string,map_dict,member_access,pattern,set,slice,tuple,unary_op,yield
ast,1,0,0,0,1,0,11,0,2,1,70,140,3,0,0,0,6,0,0,28,0,41
binding,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
codegen,1,5,0,0,0,0,66,0,2,0,27,107,0,0,0,0,1,0,0,15,0,15
docs,2,96,7,0,10,99,109,1,153,8,201,328,9,57,0,1,120,0,6,212,0,66
grammar,3,13,0,0,0,6,9,0,25,0,164,69,0,1,0,0,27,0,6,154,0,2
ir,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
lexer,0,0,0,0,0,1,0,0,8,0,39,12,10,5,0,0,2,0,0,7,0,2
optimizer,1,0,0,0,0,1,3,0,0,0,34,109,0,0,0,1,0,0,0,7,0,26
other,167,415,145,94,24,197,859,1,262,126,5690,7570,4,123,1,57,1173,0,3,1059,33,575
runtime,10,29,7,0,3,12,63,0,39,0,463,719,0,1,0,9,23,0,1,113,0,66
tests,20,48,288,3,2,60,546,2,148,10,3333,2122,2,21,4,2,322,0,2,667,0,547
types,0,0,6,0,0,5,9,0,1,0,126,63,0,0,0,0,0,0,0,29,0,14
