feature,category,file,line,snippet
abi_calling_convention,memory,copying.txt,17,"IMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY,"
abi_calling_convention,memory,copying.txt,20,"LIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING FROM,"
abi_calling_convention,memory,security.md,14,## Reporting a Vulnerability
abi_calling_convention,memory,security.md,16,"If you have discovered a vulnerability, please notify us about it via"
abi_calling_convention,memory,security.md,20,Please do not report vulnerabilities via GitHub issues.
abi_calling_convention,memory,changelogs/changelog_0_19_0.md,185,zero-copy interoperability with ``cstring``. Compile your code with the
abi_calling_convention,memory,changelogs/changelog_0_20_0.md,222,interoperability. (Bug #9619.)
abi_calling_convention,memory,changelogs/changelog_1_4_0.md,176,cannot be applied to every use case. The limitations and the (lack of) reliability
allocation,effect,changelogs/changelog_0_18_1.md,656,"- Fixed ""New Allocator Fails On >=4GB Requests"""
allocation,effect,changelogs/changelog_1_0_0.md,75,- core/allocators
allocation,effect,changelogs/changelog_1_2_0.md,472,"- Fixed ""Arrays are passed by copy to iterators, causing crashes, unnecessary allocations and slowdowns"""
allocation,effect,changelogs/changelog_1_4_0.md,75,"allocations, similar to `streams.readLine` (#13857)."
allocation,effect,changelogs/changelog_1_4_0.md,609,"- Fixed ""newWideCString allocates a multiple of the memory needed"""
allocation,effect,changelogs/changelog_1_4_0.md,841,"- Fixed ""memory corruption for seq.add(seq) with gc:arc and d:useMalloc """
allocation,effect,changelogs/changelog_1_6_0.md,694,"- The allocator for Nintendo Switch, which was nonfunctional because"
allocation,effect,changelogs/changelog_1_6_0.md,695,"of breaking changes in libnx, was removed, in favor of the new `-d:nimAllocPagesViaMalloc` option."
array_list,expression,changelogs/changelog_1_4_0.md,369,"- Fixed ""crash on openarray interator with argument in stmtListExpr"""
array_list,expression,changelogs/changelog_1_6_0.md,670,"- Array literals now use JS typed arrays when the corresponding JS typed array exists,"
array_list,expression,compiler/ast.nim,1578,"if n.kind in {nkStmtList, nkStmtListExpr}:"
array_list,expression,compiler/ast2nif.nim,1654,"of nkStmtList, nkStmtListExpr:"
array_list,expression,compiler/ccgcalls.nim,267,while q.kind == nkStmtListExpr and q.len > 0:
array_list,expression,compiler/ccgcalls.nim,274,while q.kind == nkStmtListExpr and q.len > 0:
array_list,expression,compiler/ccgexprs.nim,1369,of nkStmtListExpr:
array_list,expression,compiler/ccgexprs.nim,3311,template genStmtListExprImpl(exprOrStmt) {.dirty.} =
array_type,type,changelogs/changelog_0_18_1.md,103,"support. There is a new ""heterogeneous"" slice type ``system.HSlice`` that takes 2"
array_type,type,compiler/astdef.nim,349,"# carry an array type), so it must survive copies + serialization."
array_type,type,compiler/astdef.nim,354,# tyArray type represeting a varargs list
array_type,type,compiler/astdef.nim,409,tfWeakCovariant # covariant generic param mimicking a seq/array type
array_type,type,compiler/cbuilderdecls.nim,115,"template addArrayTypedef(builder: var Builder, name: string, len: BiggestInt, typeBody: typed) ="
array_type,type,compiler/cbuilderdecls.nim,116,"## adds an array typedef declaration to the builder with name `name`,"
array_type,type,compiler/ccgtypes.nim,1130,"m.s[cfsTypes].addArrayTypedef(name = result, len = 1):"
array_type,type,compiler/ccgtypes.nim,1139,"m.s[cfsTypes].addArrayTypedef(name = result, len = n):"
assignment,expression,changelogs/changelog_0_18_1.md,354,"- Fixed ""Seq assignment is slower than expected"""
assignment,expression,changelogs/changelog_0_18_1.md,382,"- Fixed ""var s = @[0,1,2,...] can generate thousand of single assignments in C code"""
assignment,expression,changelogs/changelog_0_19_0.md,14,"- Assignments that would ""slice"" an object into its supertype are now prevented"
assignment,expression,changelogs/changelog_1_4_0.md,160,"- `std/with`, `sugar.dup` now support object field assignment expressions:"
assignment,expression,changelogs/changelog_1_4_0.md,389,"- Fixed ""simple 'var openarray[char]' assignment crash when the openarray source is a local string and using gc:arc"""
assignment,expression,changelogs/changelog_1_4_0.md,487,"- Fixed ""[gc:arc] case object assignment SIGSEGV: destroy not called for primitive type """
assignment,expression,changelogs/changelog_1_4_0.md,605,"- Fixed ""Cannot borrow var float64 in infix assignment"""
assignment,expression,changelogs/changelog_1_4_0.md,761,"- Fixed ""[ARC] SIGSEGV with tuple assignment caused by cursor inference"""
atomic,concurrency,changelogs/changelog_0_18_1.md,269,- ``atomic`` and ``generic`` are no longer keywords in Nim. ``generic`` used to be
atomic,concurrency,changelogs/changelog_0_18_1.md,270,"an alias for ``concept``, ``atomic`` was not used for anything."
atomic,concurrency,changelogs/changelog_1_0_0.md,83,- concurrency/atomics
atomic,concurrency,changelogs/changelog_1_2_0.md,260,"- Fixed ""Enums should be considered Trivial types in Atomics"""
atomic,concurrency,changelogs/changelog_2_0_0_details.md,25,- `std/sysatomics`
atomic,concurrency,changelogs/changelog_2_2_0.md,71,- The `Atomic[T]` type on C++ now uses C11 primitives by default instead of
atomic,concurrency,changelogs/changelog_2_2_0.md,72,"`std::atomic`. To use `std::atomic` instead, `-d:nimUseCppAtomics` can be defined."
atomic,concurrency,compiler/btrees.nim,72,when defined(gcArc) or defined(gcOrc) or defined(gcAtomicArc) or defined(gcYrc):
attribute_annotation,declaration,changelog.md,67,- `copyFileWithPermissions` to preserve file attributes
attribute_annotation,declaration,changelog.md,73,- `copyDirWithPermissions` to recursively preserve attributes
attribute_annotation,declaration,changelog.md,168,- Added documentation for the `completeStruct` pragma in the manual.
attribute_annotation,declaration,.github/ISSUE_TEMPLATE/bug_report.yml,8,attributes:
attribute_annotation,declaration,.github/ISSUE_TEMPLATE/bug_report.yml,15,attributes:
attribute_annotation,declaration,.github/ISSUE_TEMPLATE/bug_report.yml,25,attributes:
attribute_annotation,declaration,.github/ISSUE_TEMPLATE/bug_report.yml,35,attributes:
attribute_annotation,declaration,.github/ISSUE_TEMPLATE/bug_report.yml,43,attributes:
await,expression,changelogs/changelog_0_18_1.md,527,"- Fixed ""await inside array/dict literal produces invalid code - Part 2"""
await,expression,changelogs/changelog_1_4_0.md,367,"- Fixed ""Critical: 1 completed Future, multiple await: Only 1 await will be awakened (the last one)"""
await,expression,changelogs/changelog_1_4_0.md,579,"- Fixed ""Nested await expressions regression: `await a(await expandValue())` doesnt compile"""
await,expression,changelogs/changelog_1_6_0.md,273,"await fetch(""https://api.github.com/users/torvalds"".cstring)"
await,expression,doc/idetools.md,198,In both cases the server will start up and await further commands.
await,expression,lib/js/asyncjs.nim,37,## var game = await loadGame(name)
await,expression,lib/js/asyncjs.nim,132,"proc await[T](f: Future[T]): T {.importjs: ""(await #)"", used.}"
await,expression,lib/js/asyncjs.nim,213,if n > 0: result = n * await asyncFact(n-1)
binary_op,expression,compiler/cbuilderexprs.nim,163,type TypedBinaryOp = enum
binary_op,expression,compiler/cbuilderexprs.nim,167,"const typedBinaryOperators: array[TypedBinaryOp, string] = ["
binary_op,expression,compiler/cbuilderexprs.nim,188,type UntypedBinaryOp = enum
