component,declaration,expression,control,type,binding,effect,memory,concurrency,meta
ast,108127,33107,3104,14009,6773,3241,11636,1718,8557
binding,3138,1035,287,787,2208,187,209,242,638
codegen,5836,1093,116,731,38,189,2186,40,321
docs,23342,4312,1058,2979,703,2644,2972,1524,1786
grammar,16608,11883,712,6587,635,940,3845,656,3984
ir,187053,57666,9785,42658,16669,17495,31058,5722,102641
lexer,3059,393,47,293,3,56,39,48,115
optimizer,15775,4342,699,2113,1851,2006,1515,272,1859
other,285916,70660,13823,52785,5081,21666,57113,30132,24539
runtime,60446,17808,3777,10392,1550,5812,11175,8454,3810
tests,304192,61211,9297,49739,7901,20893,36071,19326,24731
types,116348,39813,3134,29196,4955,3842,9395,2248,6992
