component,array_type,function_type,generic_constraint,map_type,optional_nullable,overload_resolution,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,reference,subtyping,tuple_type,type_inference,union_sum
ast,106,5119,1504,145,3638,366,175,2,164,800,27,624,204,535,562,38
binding,0,135,42,9,79,49,0,0,19,35,0,256,14,6,143,0
codegen,14,154,5,0,96,1,13,0,13,132,1,230,0,7,65,0
docs,21,442,624,6,626,197,42,4,347,285,19,102,174,25,61,4
grammar,61,364,169,19,729,11,3,19,154,4255,0,313,59,39,392,0
ir,73,4742,604,357,9763,227,203,13,1230,6318,16,17238,643,923,307,1
lexer,0,0,2,0,67,2,0,0,39,160,0,0,0,0,23,0
optimizer,3,113,84,8,208,0,17,6,138,198,2,1256,3,11,66,0
other,194,5226,595,88,7286,607,516,17,5767,29445,45,1569,261,398,767,4
runtime,24,526,267,6,1017,140,76,0,381,7060,6,430,191,109,150,9
tests,99,4588,1885,39,7555,3067,80,22,5791,15702,11,2279,597,147,7851,26
types,67,3509,10586,257,4200,2373,191,26,820,1338,31,1561,723,575,2933,6
