component,break,continue,defer_cleanup,exception_try,for,foreach_iteration,goto_label,if,return,switch_match,throw_raise,while
ast,23,23,513,927,12,1084,6,108,78,147,82,101
binding,0,0,126,102,0,49,0,3,0,1,5,1
codegen,0,0,8,84,0,11,0,0,0,0,13,0
docs,1,0,162,412,1,352,1,5,9,20,94,1
grammar,1,1,129,241,7,181,18,6,8,8,106,6
ir,11,9,4760,1366,42,3056,6,28,39,45,400,23
lexer,0,0,2,36,0,8,0,0,0,0,1,0
optimizer,0,0,225,241,0,210,7,0,2,0,14,0
other,10,6,903,2782,18,9284,30,87,91,65,535,12
runtime,0,0,185,1247,0,1642,6,2,1,3,691,0
tests,0,0,959,2980,14,4419,0,23,58,14,817,13
types,15,25,276,847,25,1145,3,168,281,137,147,65
