component,allocation,dynamic_dispatch,filesystem,global_state,io,mutation,network,random,reflection,time
ast,834,128,91,28,16,2013,5,40,71,15
binding,13,1,12,0,2,156,0,2,1,0
codegen,16,0,4,0,1,86,0,4,76,2
docs,988,57,10,53,18,1165,67,170,86,30
grammar,95,53,14,12,13,508,198,37,10,0
ir,4409,1910,15,190,21,9103,0,284,1555,8
lexer,7,1,36,0,0,12,0,0,0,0
optimizer,283,113,0,19,0,1566,0,13,12,0
other,4534,438,809,78,516,10082,68,1866,2396,879
runtime,2760,159,27,10,147,1944,9,137,393,226
tests,1299,341,148,40,595,11616,32,2241,4365,216
types,665,122,12,35,8,2673,2,265,48,12
