component,attribute_annotation,class,constant,enum,function,generic,import,interface_trait,module,parameter,struct,variable,visibility
ast,3444,5498,1570,1464,7560,11297,18031,9961,10286,8839,1991,21729,6457
binding,5,238,22,112,578,202,388,144,238,152,247,580,232
codegen,23,177,3,228,424,125,577,304,1323,139,688,1032,793
docs,715,1337,700,479,3099,1538,5537,2042,1431,2198,932,2428,906
grammar,1640,839,1108,543,1127,970,2139,998,942,2109,686,2771,736
ir,1289,8665,6663,4134,39468,11578,21831,7647,13981,19843,7321,25981,18652
lexer,30,64,33,32,20,5,751,64,1553,20,92,279,116
optimizer,121,368,501,403,4008,279,1435,228,669,1897,474,4289,1103
other,16359,7330,7335,6137,26580,38688,38006,16022,44739,13752,10204,45221,15543
runtime,745,3606,570,1352,3772,4550,9808,4114,3323,1877,5013,17560,4156
tests,6915,16711,5060,7250,14896,18893,46294,28931,40195,12624,22440,42984,40999
types,2564,4905,3111,2352,9150,8197,20005,10820,8733,10967,5189,18911,11444
