component,array_list,assignment,await,binary_op,call,cast_conversion,closure_lambda,comprehension,identifier,index,literal_boolean,literal_null,literal_numeric,literal_string,map_dict,member_access,pattern,set,slice,tuple,unary_op,yield
ast,74,158,40,44,177,712,1459,0,3099,733,7626,12351,160,216,411,58,3680,6,0,1911,73,119
binding,0,15,68,0,1,0,361,0,37,18,187,174,2,1,2,0,123,0,0,32,0,14
codegen,0,0,19,0,0,5,13,0,44,11,242,464,0,0,53,0,64,0,0,148,0,30
docs,9,112,90,3,2,270,498,2,309,294,448,764,41,88,307,6,628,1,37,272,0,131
grammar,21,153,19,34,15,26,459,0,1682,470,3860,3148,73,286,72,25,1108,4,0,332,36,60
ir,60,329,405,19,181,1842,6469,0,722,2124,14846,15146,664,309,472,29,5527,1,4,7390,8,1119
lexer,0,0,0,0,0,0,6,0,138,1,91,134,0,1,15,0,1,0,1,3,0,2
optimizer,2,62,23,0,0,23,620,0,52,25,1758,1018,49,28,56,0,193,0,1,415,0,17
other,87,377,565,84,311,427,2282,2,3092,3587,26922,21143,773,601,2903,67,4302,1,15,2344,50,725
runtime,6,42,2023,1,5,188,417,2,323,254,6162,6698,36,74,262,0,543,0,4,626,0,142
tests,58,456,3537,13,29,774,6679,0,752,5831,12530,21637,352,327,1640,6,2817,0,40,3261,23,449
types,155,485,126,176,624,2633,3720,0,1328,2029,10035,10111,241,229,543,136,4342,35,0,2420,171,274
