file,component,extension,size_bytes,lines
CHANGELOG.md,docs,.md,408095,11328
CMakeLists.txt,other,.txt,72377,1851
CODE_OWNERS.TXT,other,.txt,1788,89
CONTRIBUTING.md,docs,.md,19437,286
LICENSE.txt,other,.txt,11751,212
README.md,docs,.md,5774,136
.github/pull_request_template.md,docs,.md,913,23
.github/ISSUE_TEMPLATE/bug-report.yml,grammar,.yml,2818,77
.github/ISSUE_TEMPLATE/config.yml,grammar,.yml,2221,49
.github/ISSUE_TEMPLATE/crash-report.yml,grammar,.yml,2926,84
.github/ISSUE_TEMPLATE/feature-request.yml,grammar,.yml,3060,76
.github/ISSUE_TEMPLATE/task.yml,grammar,.yml,1403,39
apinotes/CMakeLists.txt,other,.txt,901,33
apinotes/README.md,docs,.md,909,18
benchmark/CMakeLists.txt,other,.txt,13634,409
benchmark/Naming.md,docs,.md,5644,152
benchmark/Package.swift,other,.swift,6926,208
benchmark/README.md,docs,.md,13880,371
benchmark/cmake/modules/AddSwiftBenchmarkSuite.cmake,tests,.cmake,29175,805
benchmark/cmake/modules/SwiftBenchmarkUtils.cmake,other,.cmake,1826,65
benchmark/cxx-source/CreateObjects.swift,runtime,.swift,991,34
benchmark/cxx-source/CxxSetToCollection.swift,other,.swift,1726,67
benchmark/cxx-source/CxxSpanTests.swift,tests,.swift,3226,124
benchmark/cxx-source/CxxStringConversion.swift,runtime,.swift,1642,61
benchmark/cxx-source/CxxVectorSum.swift,other,.swift,3811,122
benchmark/cxx-source/ReadAccessor.swift,other,.swift,1198,45
benchmark/multi-source/Monoids/Automaton.swift,other,.swift,3397,154
benchmark/multi-source/Monoids/Benchmark.swift,other,.swift,256,15
benchmark/multi-source/Monoids/Enumeration.swift,other,.swift,4040,172
benchmark/multi-source/Monoids/Monoids.swift,other,.swift,1593,34
benchmark/multi-source/Monoids/Presentation.swift,other,.swift,9142,370
benchmark/multi-source/Monoids/README.md,docs,.md,1928,31
benchmark/multi-source/Monoids/RewritingSystem.swift,other,.swift,7543,300
benchmark/multi-source/Monoids/Solver.swift,other,.swift,8228,292
benchmark/multi-source/Monoids/Standalone.swift,other,.swift,327,13
benchmark/multi-source/Monoids/Strategy.swift,other,.swift,2623,105
benchmark/multi-source/Monoids/Trie.swift,other,.swift,3477,137
benchmark/multi-source/PrimsSplit/Prims.swift,other,.swift,6011,214
benchmark/multi-source/PrimsSplit/Prims_main.swift,other,.swift,12749,564
benchmark/multi-source/PrimsSplit/README.md,docs,.md,214,5
benchmark/scripts/build_linux.py,other,.py,1682,54
benchmark/scripts/build_script_helper.py,other,.py,2191,74
benchmark/scripts/CMakeLists.txt,other,.txt,1902,50
benchmark/scripts/compare_perf_tests.py,tests,.py,34020,950
benchmark/scripts/create_benchmark.py,other,.py,5649,173
benchmark/scripts/Template.swift,other,.swift,671,23
benchmark/scripts/test_Benchmark_Driver.py,tests,.py,40110,1068
benchmark/scripts/test_compare_perf_tests.py,tests,.py,38651,987
benchmark/scripts/test_utils.py,tests,.py,3791,113
benchmark/scripts/generate_harness/generate_harness.py,other,.py,1997,58
benchmark/scripts/perf_test_driver/perf_test_driver.py,tests,.py,5915,183
benchmark/single-source/Ackermann.swift,other,.swift,1597,53
benchmark/single-source/AngryPhonebook.swift,other,.swift,5447,153
benchmark/single-source/AnyHashableWithAClass.swift,other,.swift,1843,64
benchmark/single-source/Array2D.swift,other,.swift,1253,51
benchmark/single-source/ArrayAppend.swift,other,.swift,11364,379
benchmark/single-source/ArrayInClass.swift,other,.swift,1921,87
benchmark/single-source/ArrayLiteral.swift,other,.swift,2706,114
benchmark/single-source/ArrayOfGenericPOD.swift,other,.swift,2777,102
benchmark/single-source/ArrayOfGenericRef.swift,other,.swift,2418,106
benchmark/single-source/ArrayOfPOD.swift,other,.swift,1598,71
benchmark/single-source/ArrayOfRef.swift,other,.swift,2548,117
benchmark/single-source/ArrayRemoveAll.swift,other,.swift,1288,56
benchmark/single-source/ArraySetElement.swift,other,.swift,1249,40
benchmark/single-source/ArraySliceTests.swift,tests,.swift,1455,47
benchmark/single-source/ArraySubscript.swift,other,.swift,1421,48
benchmark/single-source/ArrayTests.swift,tests,.swift,1390,47
benchmark/single-source/AsyncTree.swift,other,.swift,1674,78
benchmark/single-source/BinaryFloatingPointConversionFromBinaryInteger.swift,other,.swift,5475,215
benchmark/single-source/BinaryFloatingPointProperties.swift,other,.swift,1922,74
benchmark/single-source/BitCount.swift,other,.swift,1267,48
benchmark/single-source/Breadcrumbs.swift,other,.swift,21738,612
benchmark/single-source/BucketSort.swift,other,.swift,4178,133
benchmark/single-source/BufferFill.swift,other,.swift,5277,167
benchmark/single-source/BufferFind.swift,other,.swift,3345,128
benchmark/single-source/ByteSwap.swift,other,.swift,1917,59
benchmark/single-source/Calculator.swift,other,.swift,1515,56
benchmark/single-source/CaptureProp.swift,other,.swift,1106,42
benchmark/single-source/ChaCha.swift,other,.swift,14406,380
benchmark/single-source/ChainedFilterMap.swift,other,.swift,1136,45
benchmark/single-source/CharacterLiteralsLarge.swift,other,.swift,1594,52
benchmark/single-source/CharacterLiteralsSmall.swift,other,.swift,2114,81
benchmark/single-source/CharacterProperties.swift,other,.swift,14444,441
benchmark/single-source/CharacterRecognizer.swift,other,.swift,4234,98
benchmark/single-source/Chars.swift,other,.swift,1602,50
benchmark/single-source/ClassArrayGetter.swift,ir,.swift,1260,54
benchmark/single-source/CodableTest.swift,tests,.swift,4301,155
benchmark/single-source/Combos.swift,other,.swift,2344,86
benchmark/single-source/ContiguousArrayTests.swift,tests,.swift,1520,47
benchmark/single-source/CountAlgo.swift,other,.swift,7200,128
benchmark/single-source/COWArrayGuaranteedParameterOverhead.swift,other,.swift,1248,46
benchmark/single-source/COWTree.swift,other,.swift,3371,150
benchmark/single-source/CString.swift,other,.swift,3962,101
benchmark/single-source/CSVParsing.swift,other,.swift,12531,438
benchmark/single-source/DataBenchmarks.swift,other,.swift,20942,566
benchmark/single-source/DeadArray.swift,other,.swift,1106,48
benchmark/single-source/DevirtualizeProtocolComposition.swift,other,.swift,1273,46
benchmark/single-source/DictionaryBridge.swift,other,.swift,1786,72
benchmark/single-source/DictionaryBridgeToObjC.swift,other,.swift,2306,87
benchmark/single-source/DictionaryCompactMapValues.swift,other,.swift,1696,48
benchmark/single-source/DictionaryCopy.swift,other,.swift,2496,71
benchmark/single-source/DictionaryGroup.swift,other,.swift,1753,64
benchmark/single-source/DictionaryIdentical.swift,other,.swift,1598,47
benchmark/single-source/DictionaryKeysContains.swift,other,.swift,2362,82
benchmark/single-source/DictionaryLiteralTest.swift,tests,.swift,997,36
benchmark/single-source/DictionaryOfAnyHashableStrings.swift,other,.swift,2263,81
benchmark/single-source/DictionaryRemove.swift,other,.swift,2492,99
benchmark/single-source/DictionarySubscriptDefault.swift,other,.swift,3376,122
benchmark/single-source/DictionarySwap.swift,other,.swift,2966,103
benchmark/single-source/DictOfArraysToArrayOfDicts.swift,other,.swift,3566,147
benchmark/single-source/DictTest.swift,tests,.swift,9534,215
benchmark/single-source/DictTest2.swift,tests,.swift,1988,92
benchmark/single-source/DictTest3.swift,tests,.swift,2454,99
benchmark/single-source/DictTest4.swift,tests,.swift,3079,136
benchmark/single-source/DictTest4Legacy.swift,tests,.swift,3643,163
benchmark/single-source/Differentiation.swift,other,.swift,1863,74
benchmark/single-source/Diffing.swift,other,.swift,3913,84
benchmark/single-source/DiffingMyers.swift,other,.swift,6394,205
benchmark/single-source/DropFirst.swift,other,.swift,6938,246
benchmark/single-source/DropLast.swift,ast,.swift,6863,246
benchmark/single-source/DropWhile.swift,other,.swift,7078,246
benchmark/single-source/ErrorHandling.swift,other,.swift,1116,48
benchmark/single-source/Exclusivity.swift,other,.swift,3473,139
benchmark/single-source/ExecutorEnqueue.swift,other,.swift,3161,106
benchmark/single-source/ExistentialPerformance.swift,other,.swift,22166,589
benchmark/single-source/Fibonacci.swift,other,.swift,1265,49
