component,declaration,expression,control,type,binding,effect,memory,concurrency,meta
ast,3878,1175,156,370,38,84,328,35,1010
binding,470,126,5,21,273,12,20,21,76
codegen,38650,42415,2192,10139,374,1896,7564,793,5362
docs,1284,195,106,36,153,51,71,7,36
grammar,8460,2897,632,776,42,548,1150,279,688
ir,3420,537,211,942,198,376,541,132,1542
lexer,2120,610,173,995,6,143,365,128,184
optimizer,723,81,284,64,1,34,120,7,161
other,870533,111979,49134,269890,13608,71750,146749,117044,81995
runtime,25207,8004,822,4004,1009,2125,3943,1547,1552
tests,32568,13753,6821,1057,319,2592,4130,645,7184
types,15350,3781,909,1078,559,1132,2875,346,3895
