component,array_type,function_type,generic_constraint,map_type,optional_nullable,overload_resolution,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,reference,subtyping,tuple_type,type_inference,union_sum
ast,26,0,9,0,273,0,39,0,17,1,0,3,1,1,0,0
binding,0,0,0,0,5,0,1,0,0,15,0,0,0,0,0,0
codegen,54,48,8703,0,537,0,83,7,542,134,0,6,1,3,0,21
docs,1,0,0,0,32,0,1,0,1,1,0,0,0,0,0,0
grammar,18,10,8,0,250,0,22,1,49,387,4,2,13,0,9,3
ir,16,5,17,0,81,0,20,0,209,588,0,1,0,2,0,3
lexer,0,0,3,0,15,0,0,0,905,70,0,0,0,0,0,2
optimizer,0,0,50,0,8,0,0,0,0,0,0,4,2,0,0,0
other,85,5616,2037,87,4156,5394,237,13,44960,203227,237,731,2486,23,434,167
runtime,10,272,19,0,487,145,21,3,189,2768,1,0,65,0,21,3
tests,8,18,15,1,292,0,120,0,349,218,0,0,11,4,1,20
types,64,11,11,0,343,0,168,1,95,282,0,2,20,9,0,72
