component,break,continue,defer_cleanup,exception_try,for,foreach_iteration,goto_label,if,return,switch_match,throw_raise,while
ast,0,0,61,72,0,17,0,0,0,0,6,0
binding,0,0,1,2,0,1,0,0,0,0,1,0
codegen,0,0,819,425,0,557,4,0,0,0,387,0
docs,0,0,27,40,1,1,0,0,0,0,37,0
grammar,0,0,344,125,1,113,24,9,2,1,5,8
ir,0,0,99,71,0,22,7,0,0,0,12,0
lexer,0,0,41,120,0,9,3,0,0,0,0,0
optimizer,0,0,0,40,0,244,0,0,0,0,0,0
other,4,4,10396,20551,13,14047,820,18,10,9,3249,13
runtime,0,0,266,336,0,111,25,0,0,3,81,0
tests,5,0,1293,1622,0,48,0,6,1,2,3844,0
types,0,0,475,285,0,21,0,0,0,0,128,0
