component,array_list,assignment,await,binary_op,call,cast_conversion,closure_lambda,comprehension,identifier,index,literal_boolean,literal_null,literal_numeric,literal_string,map_dict,member_access,pattern,set,slice,tuple,unary_op,yield
ast,0,8,0,52,0,4,0,0,210,0,220,606,0,13,0,0,22,0,0,40,0,0
binding,0,0,0,0,0,0,0,0,4,0,98,19,0,0,0,0,0,0,0,5,0,0
codegen,0,60,0,303,0,37,0,0,108,0,7361,28553,0,40,0,0,5717,0,1,183,31,21
docs,0,0,0,0,0,0,0,0,36,0,64,84,0,0,0,0,5,0,0,6,0,0
grammar,20,96,0,2,13,146,0,0,288,4,943,1262,2,59,0,0,7,0,2,47,6,0
ir,0,2,0,0,0,3,9,0,15,3,104,353,0,3,0,0,22,0,0,22,0,1
lexer,0,2,0,0,0,0,0,0,161,0,200,176,6,43,0,0,13,0,0,9,0,0
optimizer,0,0,0,28,0,0,0,0,10,0,20,3,0,0,0,0,0,0,0,0,20,0
other,15,287,27,153,13,1136,820,1,6798,2049,60569,30892,82,322,957,11,6013,51,12,1300,69,402
runtime,2,1,0,44,0,41,2,0,273,0,4805,1894,0,18,703,0,44,0,0,65,0,112
tests,14,17,0,3,1,50,0,0,46,3,11986,1243,6,34,45,0,52,0,19,231,0,3
types,2,0,0,116,0,71,7,0,84,0,1226,1756,1,2,0,0,21,0,6,488,0,1
