failure_id,case_id,source_language,target_language,output_kind,validation_stage,diagnostic_class,diagnostic
35e3ae0c2cd2a0eefcac43ce1070eb3f5867806feaafc2b76aad4a3fff04c477,a35ceb7274a1f61c3d037a4ffdca4e3f0d994a719669b67be9d115786008fe8b,r,r,source,V0_SOURCE_PARSE,FRONTEND,"universal node 12 lacks required ""expression"" child"
d45eb0e51ca7cd1020e083e6f5bbcbf19affc27f696695c4553f1471123f2f12,11d5f2282276ecca0f11aad2f178851953385d88201143f7e653b703e76ae37a,r,r,source,V0_SOURCE_PARSE,FRONTEND,"universal node 2 lacks required ""expression"" child"
9976b3c3f2eb6df1b43923edff4fff64ac84f4dfd7ac13327a09037b89eec209,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,r,r,source,V0_SOURCE_PARSE,FRONTEND,expected expression
9b0a4d9c9dfbc224da2602cfc2a7c288ad5d44dcb336472bf6a877ff54a5a11c,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,r,go,source,V0_SOURCE_PARSE,FRONTEND,expected expression
2c03b57c2206aa8644228e30f8c92c47ed345a821733f3041b20710a933b6561,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,r,rust,source,V0_SOURCE_PARSE,FRONTEND,expected expression
b64b0ee3bdde30468dc01664b272d767bc0382ce55ea212bba016a31b9c721f2,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,r,cpp,source,V0_SOURCE_PARSE,FRONTEND,expected expression
463762cfe35348bd0128ee2463026b48fcbcba208668240dd079fe6e47645309,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,r,c,source,V0_SOURCE_PARSE,FRONTEND,expected expression
207a25bc6abc90d2dbc32f4bea0c2cb8ea160dd2ea9ca15e16812ba891aa30d4,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,r,python,source,V0_SOURCE_PARSE,FRONTEND,expected expression
906fc13034da9d375f8486de22de61e379736a304e4e8f6f139cc54c87abd5af,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,r,zig,source,V0_SOURCE_PARSE,FRONTEND,expected expression
e928a860e5bcab2ce214600a2efa6c5ca495b2631adafcfe6aa0cca9c9a4815e,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,r,julia,source,V0_SOURCE_PARSE,FRONTEND,expected expression
4653dbe7f9393053e97c45d4fa56f1ea6ae57bec6236dbce895d672b1ff01e65,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,r,nim,source,V0_SOURCE_PARSE,FRONTEND,expected expression
663975f09d86dfd7088024c71c7b3b51f608b36afefb5ad82c4da82ea61d8fa5,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,r,csharp,source,V0_SOURCE_PARSE,FRONTEND,expected expression
0284045e87e4f6f908a4765d888b156af471926e3030439fb999a0d6e83900ba,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,r,java,source,V0_SOURCE_PARSE,FRONTEND,expected expression
50f7d30b955c3a1648ff6c5ac41a5608c362881ec6292ddeb5b1c9d90638689c,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,r,kotlin,source,V0_SOURCE_PARSE,FRONTEND,expected expression
53a8742e05ca94806a0accfb863e918fde6719351ff9fe58df8c635e2fad3843,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,r,swift,source,V0_SOURCE_PARSE,FRONTEND,expected expression
72afbc4d2cbb33be1d5006f4eee8efa27de39f9daff384506ca72c3f783f1617,aa05ac249286f63626114ca61ea38afc20fd4c3904c8f206d02ecbe4d58ea31d,r,go,source,V0_SOURCE_PARSE,FRONTEND,"DIRECT_NATIVE_UNAVAILABLE: target go emitted invalid syntax (other: C:\Users\tarek\AppData\Local\Temp\codetranspiler-syntax-3569776106\program.go:13:11: expected operand, found ')' C:\Users\tarek\AppData\Local\Temp\codetranspiler-syntax-356"
92cb39b79f268cb9552c7f51e9fea64d069642c697c3b90c7ba60681680acec4,aa05ac249286f63626114ca61ea38afc20fd4c3904c8f206d02ecbe4d58ea31d,r,rust,source,V0_SOURCE_PARSE,FRONTEND,"DIRECT_NATIVE_UNAVAILABLE: target rust emitted invalid syntax (expected expression: error: expected expression, found `.` --> C:\Users\tarek\AppData\Local\Temp\codetranspiler-syntax-1654338800\program.rs:9:19 | 9 | (a.clone() == .clone()); "
446038cec6d1be90b520d0656a6cb2eec90704480207c5fd3d78ee5fcdaad96a,aa05ac249286f63626114ca61ea38afc20fd4c3904c8f206d02ecbe4d58ea31d,r,cpp,source,V0_SOURCE_PARSE,FRONTEND,DIRECT_NATIVE_UNAVAILABLE: target cpp emitted invalid syntax (other: C:\Users\tarek\AppData\Local\Temp\codetranspiler-syntax-1082091412\program.cpp: In function 'int main()': C:\Users\tarek\AppData\Local\Temp\codetranspiler-syntax-108209141
d279b57534e081c473d141cb817a126c2477ec6068f13b18cab99adaf5b5617f,aa05ac249286f63626114ca61ea38afc20fd4c3904c8f206d02ecbe4d58ea31d,r,c,source,V0_SOURCE_PARSE,FRONTEND,DIRECT_NATIVE_UNAVAILABLE: target c emitted invalid syntax (expected expression: C:\Users\tarek\AppData\Local\Temp\codetranspiler-syntax-865607121\program.c: In function 'main': C:\Users\tarek\AppData\Local\Temp\codetranspiler-syntax-865607
fa8503bcefdaa11a8f6f10f5b79c13bd698f740274b057c0fd014330028524ed,aa05ac249286f63626114ca61ea38afc20fd4c3904c8f206d02ecbe4d58ea31d,r,python,source,V0_SOURCE_PARSE,FRONTEND,"DIRECT_NATIVE_UNAVAILABLE: target python emitted invalid syntax (other: File ""C:\Users\tarek\AppData\Local\Temp\codetranspiler-syntax-1212887049\program.py"", line 8 (a == ) ^ SyntaxError: invalid syntax)"
3400a854fee2923f747c9844bf6a6a93d7ac160e5adbfce56347711297a4807d,aa05ac249286f63626114ca61ea38afc20fd4c3904c8f206d02ecbe4d58ea31d,r,java,source,V0_SOURCE_PARSE,FRONTEND,DIRECT_NATIVE_UNAVAILABLE: target java emitted invalid syntax (other: C:\Users\tarek\AppData\Local\Temp\codetranspiler-syntax-2324972998\Main.java:5: Fehler: Keine Anweisung (a == b); ^ C:\Users\tarek\AppData\Local\Temp\codetranspiler-synta
ba527ed1137fba529ce2c1d33029d83214e4d6070c03bd58120c7f69fe54f926,89a7fc287eacef9e0529b73e32c6fd91a4bc7850778c06322a08b89373d08a55,r,go,source,V0_SOURCE_PARSE,FRONTEND,DIRECT_NATIVE_UNAVAILABLE: exponentiation requires a target math contract
ac1f709b24abf28aaece9cea7e4df8fdaacc5ffbd393a1051ea6485c9ce6a0ae,89a7fc287eacef9e0529b73e32c6fd91a4bc7850778c06322a08b89373d08a55,r,rust,source,V0_SOURCE_PARSE,FRONTEND,DIRECT_NATIVE_UNAVAILABLE: exponentiation requires a target math contract
