failure_id,case_id,feature,value
53785c9c29fd9aff04a297b4e25a5541cd83de93c4fe8f5741c06535d2426a1b,a35ceb7274a1f61c3d037a4ffdca4e3f0d994a719669b67be9d115786008fe8b,stage,V4_NATIVE_EMISSION
53785c9c29fd9aff04a297b4e25a5541cd83de93c4fe8f5741c06535d2426a1b,a35ceb7274a1f61c3d037a4ffdca4e3f0d994a719669b67be9d115786008fe8b,class,BACKEND
09ce54837c5c6cf2dbe07e42b6d58d2c449d9906c5bc884874aee48a8a27f88a,11d5f2282276ecca0f11aad2f178851953385d88201143f7e653b703e76ae37a,stage,V4_NATIVE_EMISSION
09ce54837c5c6cf2dbe07e42b6d58d2c449d9906c5bc884874aee48a8a27f88a,11d5f2282276ecca0f11aad2f178851953385d88201143f7e653b703e76ae37a,class,BACKEND
1628745e3c734f9f005c23c69bf67171295670817c5ecf7cb9327ade60cdbeff,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,stage,V0_SOURCE_PARSE
1628745e3c734f9f005c23c69bf67171295670817c5ecf7cb9327ade60cdbeff,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,class,FRONTEND
21785c80c48355aee481337c2da281c8dec8588412ccc45162efdc0920b1657d,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,stage,V0_SOURCE_PARSE
21785c80c48355aee481337c2da281c8dec8588412ccc45162efdc0920b1657d,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,class,FRONTEND
b697bf768fbd6ce011b67e8c61ea0a5b67863004bcc7f834716bb619aef5f14a,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,stage,V0_SOURCE_PARSE
b697bf768fbd6ce011b67e8c61ea0a5b67863004bcc7f834716bb619aef5f14a,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,class,FRONTEND
dde6763366e00ed726f297f588eb1366d47877e5c5d643143aa1aa0461d82776,108d7f4cb4253f1584a20e98889248e067b7d674195a3012a526bb6465eeb6dd,stage,V0_SOURCE_PARSE
