failure_id,case_id,feature,value
4df344d15c5bac13991a6f79f9323279e8d8fd6e0d26767afd5560bc475d7653,eb073e57426b77a06dd856d4a2c18ed9d721e0938128d93e65c777fefafd0d57,stage,V0_SOURCE_PARSE
4df344d15c5bac13991a6f79f9323279e8d8fd6e0d26767afd5560bc475d7653,eb073e57426b77a06dd856d4a2c18ed9d721e0938128d93e65c777fefafd0d57,class,FRONTEND
3e5dc920de98125aeb90dc9e86cb0469a9df8aebbe0259a97535683058b62e3b,eb073e57426b77a06dd856d4a2c18ed9d721e0938128d93e65c777fefafd0d57,stage,V0_SOURCE_PARSE
3e5dc920de98125aeb90dc9e86cb0469a9df8aebbe0259a97535683058b62e3b,eb073e57426b77a06dd856d4a2c18ed9d721e0938128d93e65c777fefafd0d57,class,FRONTEND
84b71684d6f5196540475f3746ea54a52b2c86226ba9ab326341919255a3a298,eb073e57426b77a06dd856d4a2c18ed9d721e0938128d93e65c777fefafd0d57,stage,V0_SOURCE_PARSE
84b71684d6f5196540475f3746ea54a52b2c86226ba9ab326341919255a3a298,eb073e57426b77a06dd856d4a2c18ed9d721e0938128d93e65c777fefafd0d57,class,FRONTEND
e868239643df049c75bfc7d28eb1235b8bf30da81bf2601b8cfe9c4dccb2624d,eb073e57426b77a06dd856d4a2c18ed9d721e0938128d93e65c777fefafd0d57,stage,V0_SOURCE_PARSE
e868239643df049c75bfc7d28eb1235b8bf30da81bf2601b8cfe9c4dccb2624d,eb073e57426b77a06dd856d4a2c18ed9d721e0938128d93e65c777fefafd0d57,class,FRONTEND
606e80a77f40ea8f0554b58d682ba45ad87f341c75f0a12fa7bab738c3cdfc41,eb073e57426b77a06dd856d4a2c18ed9d721e0938128d93e65c777fefafd0d57,stage,V0_SOURCE_PARSE
606e80a77f40ea8f0554b58d682ba45ad87f341c75f0a12fa7bab738c3cdfc41,eb073e57426b77a06dd856d4a2c18ed9d721e0938128d93e65c777fefafd0d57,class,FRONTEND
c5f5f055bfe530f29aee9647ae13e3b4b00d314c1121a9c8106858a69b2a873f,eb073e57426b77a06dd856d4a2c18ed9d721e0938128d93e65c777fefafd0d57,stage,V0_SOURCE_PARSE
