case_id,source_language,target_language,v0_parse,v1_matrixir,v2_uast,v3_closure,v4_emit,v5_reparse,v6_compile,v7_execute,v8_behavior,route,diagnostic
02209f409256f0223f50b05e261b623454c598f350a062d55a634fa5f6e7ac34,csharp,r,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
02209f409256f0223f50b05e261b623454c598f350a062d55a634fa5f6e7ac34,csharp,go,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
02209f409256f0223f50b05e261b623454c598f350a062d55a634fa5f6e7ac34,csharp,rust,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
02209f409256f0223f50b05e261b623454c598f350a062d55a634fa5f6e7ac34,csharp,cpp,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
02209f409256f0223f50b05e261b623454c598f350a062d55a634fa5f6e7ac34,csharp,c,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
02209f409256f0223f50b05e261b623454c598f350a062d55a634fa5f6e7ac34,csharp,python,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
02209f409256f0223f50b05e261b623454c598f350a062d55a634fa5f6e7ac34,csharp,zig,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
02209f409256f0223f50b05e261b623454c598f350a062d55a634fa5f6e7ac34,csharp,julia,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
02209f409256f0223f50b05e261b623454c598f350a062d55a634fa5f6e7ac34,csharp,nim,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
02209f409256f0223f50b05e261b623454c598f350a062d55a634fa5f6e7ac34,csharp,csharp,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
02209f409256f0223f50b05e261b623454c598f350a062d55a634fa5f6e7ac34,csharp,java,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
02209f409256f0223f50b05e261b623454c598f350a062d55a634fa5f6e7ac34,csharp,kotlin,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
02209f409256f0223f50b05e261b623454c598f350a062d55a634fa5f6e7ac34,csharp,swift,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
d87b03cd864d7f5075f1b20845518112ddd2851b36ea149c56807c359ca923b6,csharp,r,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
d87b03cd864d7f5075f1b20845518112ddd2851b36ea149c56807c359ca923b6,csharp,go,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
d87b03cd864d7f5075f1b20845518112ddd2851b36ea149c56807c359ca923b6,csharp,rust,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
d87b03cd864d7f5075f1b20845518112ddd2851b36ea149c56807c359ca923b6,csharp,cpp,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
d87b03cd864d7f5075f1b20845518112ddd2851b36ea149c56807c359ca923b6,csharp,c,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
d87b03cd864d7f5075f1b20845518112ddd2851b36ea149c56807c359ca923b6,csharp,python,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
d87b03cd864d7f5075f1b20845518112ddd2851b36ea149c56807c359ca923b6,csharp,zig,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
d87b03cd864d7f5075f1b20845518112ddd2851b36ea149c56807c359ca923b6,csharp,julia,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
d87b03cd864d7f5075f1b20845518112ddd2851b36ea149c56807c359ca923b6,csharp,nim,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
d87b03cd864d7f5075f1b20845518112ddd2851b36ea149c56807c359ca923b6,csharp,csharp,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
d87b03cd864d7f5075f1b20845518112ddd2851b36ea149c56807c359ca923b6,csharp,java,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
d87b03cd864d7f5075f1b20845518112ddd2851b36ea149c56807c359ca923b6,csharp,kotlin,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
d87b03cd864d7f5075f1b20845518112ddd2851b36ea149c56807c359ca923b6,csharp,swift,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
b89b1bf51879861dd5da833636df57ba126f325dbc2ab0cd37999284d951e9cc,csharp,r,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
b89b1bf51879861dd5da833636df57ba126f325dbc2ab0cd37999284d951e9cc,csharp,go,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
b89b1bf51879861dd5da833636df57ba126f325dbc2ab0cd37999284d951e9cc,csharp,rust,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
