failure_id,case_id,source_language,target_language,output_kind,validation_stage,diagnostic_class,diagnostic
09c61c5517e7eba3681c113c51308e6653f9c4ff3ee5f021b76ee66e74829b88,0fe6268dbe8cc03d6d60e62c93d18e908724bff19c98332747347261931f0a07,go,,assembly,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP node=1 kind=module operation=
84aaaaba1cf94e7aab8e8fae7daf42c278129ea0e75adab9273a960c151c374b,0fe6268dbe8cc03d6d60e62c93d18e908724bff19c98332747347261931f0a07,go,,machine_code,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP node=1 kind=module operation=
3933d972517e6bf4b99c0df59e1c62187fdc733a705809adc7afe0d8dec84962,0fe6268dbe8cc03d6d60e62c93d18e908724bff19c98332747347261931f0a07,go,,object,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP node=1 kind=module operation=
8b808701346659874bce639648e197be4d395ab96b97d042c34b0b6c8969e4ac,0fe6268dbe8cc03d6d60e62c93d18e908724bff19c98332747347261931f0a07,go,,executable,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP node=1 kind=module operation=
9f5118ddd112aba3be8e9460cb5809ea605871901d8a2df524f35c9a4c49fbcd,3aa6e62a81fab7012814e8b6bef89bea42b9d5af059a073dc0bade7fb47dcbcf,go,,assembly,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP node=1 kind=module operation=
128bb7dadbf519695730104ecee5e98d4a29f27e150e0758ef371321f31dddff,3aa6e62a81fab7012814e8b6bef89bea42b9d5af059a073dc0bade7fb47dcbcf,go,,machine_code,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP node=1 kind=module operation=
e2b05d7f7a837ac8351cfb7765084ed49b9b846a319d0d3c2992249a6e905644,3aa6e62a81fab7012814e8b6bef89bea42b9d5af059a073dc0bade7fb47dcbcf,go,,object,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP node=1 kind=module operation=
7430531a16c0e59389995b1213aaa29b12e681c425369e2bbb11cd7fd498be01,3aa6e62a81fab7012814e8b6bef89bea42b9d5af059a073dc0bade7fb47dcbcf,go,,executable,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP node=1 kind=module operation=
a2c24d968354047a2872e13c7037011d7955a892b565da57f2a312ce9ccb8d9b,173857238fdc16c7e732ee90c2358b609769f0524ea47de2333b0e96d99cdaa6,go,,assembly,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP node=1 kind=module operation=
16b60395cb949f868a3c5487a5df95a81327b38efadfb03a6edb720755728e14,173857238fdc16c7e732ee90c2358b609769f0524ea47de2333b0e96d99cdaa6,go,,machine_code,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP node=1 kind=module operation=
