failure_id,case_id,source_language,target_language,output_kind,validation_stage,diagnostic_class,diagnostic
0178c3ec606a95c706752cefc4d8d06fa5d12a0eedd711b31a8bf3622b8599fa,2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,,assembly,NATIVE,UNKNOWN_FAILURE,"native function y: native unresolved binding ""in"" node=10"
3aadd773e4cf8b0dbd9d0855e2c06a7e657a24f505cd6a6607daf793591f302a,2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,,machine_code,NATIVE,UNKNOWN_FAILURE,"native function y: native unresolved binding ""in"" node=10"
81730129906e18ff160e338b73288adfc0e5fd99c74c98336f6ad8ec8c3f92f6,2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,,object,NATIVE,UNKNOWN_FAILURE,"native function y: native unresolved binding ""in"" node=10"
31800b81ea0fef554221f70c6a1603cf99d0b4bf8adff54f50565ada2778de25,2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,,executable,NATIVE,UNKNOWN_FAILURE,"native function y: native unresolved binding ""in"" node=10"
d9460789a3bc7f4da1b026404fcd3bbc26325c718ac4413ef15572ca62c26c3f,ed8dcb72eb6d5f05571966c407eab1dee5ef809b8bca709ea36058873b9444ba,kotlin,,assembly,NATIVE,UNKNOWN_FAILURE,"native unresolved binding ""when"" node=1"
56d9857a6b3c100a0d3e9ee187b4033e431f89004de8512cb1329504b6737a8d,ed8dcb72eb6d5f05571966c407eab1dee5ef809b8bca709ea36058873b9444ba,kotlin,,machine_code,NATIVE,UNKNOWN_FAILURE,"native unresolved binding ""when"" node=1"
db1e987d9b149b51cc65126d6515abf51f765b564c66d7d29fdd4ebbc84ac650,ed8dcb72eb6d5f05571966c407eab1dee5ef809b8bca709ea36058873b9444ba,kotlin,,object,NATIVE,UNKNOWN_FAILURE,"native unresolved binding ""when"" node=1"
85e4580728230e63358820e1cd51ce9897fcd03c1f86b5b59f3ce51a1d5f6968,ed8dcb72eb6d5f05571966c407eab1dee5ef809b8bca709ea36058873b9444ba,kotlin,,executable,NATIVE,UNKNOWN_FAILURE,"native unresolved binding ""when"" node=1"
b46a0efbd221b6591a12557df61b80117026d2c7bbcc43940aa6a2fad15fdb2f,9fbbf8a123241387efaa79425f4cce271f8cf1f3ef3d06f045a08267be43ffde,kotlin,,assembly,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP function binding node=2
6f93470010cfde88069fbede553e9ddb310b6d8331a211b3c60262095301df37,9fbbf8a123241387efaa79425f4cce271f8cf1f3ef3d06f045a08267be43ffde,kotlin,,machine_code,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP function binding node=2
ed70b4916258d06f8673882e6747703a6ad0806dd1c693850d92a06acb9ed799,9fbbf8a123241387efaa79425f4cce271f8cf1f3ef3d06f045a08267be43ffde,kotlin,,object,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP function binding node=2
c2b6980f44480d5bc7212dfdd87b738479730f035cd1b4dbdd600e3fb216fed2,9fbbf8a123241387efaa79425f4cce271f8cf1f3ef3d06f045a08267be43ffde,kotlin,,executable,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP function binding node=2
3ac22bb13c1ae4aefaf04a4a5bf5c13d9988025462a3faa87210f8967fa0113f,1877b5d9c257f5b506b5597a278604bbd15c9a7d2e5b3b848938041e675b6f1d,kotlin,,assembly,NATIVE,UNKNOWN_FAILURE,UNIMPLEMENTED_NATIVE_GAP function binding node=2
