failure_id,case_id,source_language,target_language,output_kind,validation_stage,diagnostic_class,diagnostic
f8828bad579c33381ea275e19559077f8b46fb93632f3e178224e06df3b5d054,3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,r,source_target,V4_NATIVE_EMISSION,BACKEND,"universal node 3 lacks required ""expression"" child"
5ac283c554a1a70e778173a1f9d5f18acb4d0b2ca5e8b3a3288e6024e9e682ca,3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,go,source_target,V4_NATIVE_EMISSION,BACKEND,DIRECT_NATIVE_UNAVAILABLE: unsupported UAST node OperationExpr/3
52669013d5316e0723ef0b3074db2304971888eb61b19c793694afa2410e90b2,3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,rust,source_target,V4_NATIVE_EMISSION,BACKEND,DIRECT_NATIVE_UNAVAILABLE: unsupported UAST node OperationExpr/3
fabf7607806b6959eeb780442b497b02976eccd545308d93b16a78d487b10dd1,3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,cpp,source_target,V4_NATIVE_EMISSION,BACKEND,DIRECT_NATIVE_UNAVAILABLE: unsupported UAST node OperationExpr/3
b1f8153c03d58dc8db6ba179326a1230345904f15f5d836f1296f4c0cdc8421a,3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,c,source_target,V4_NATIVE_EMISSION,BACKEND,DIRECT_NATIVE_UNAVAILABLE: unsupported UAST node OperationExpr/3
826b035a8c56fff92dc718e5a8a003aa6eb477e72a63a2f537926f808d94c5b7,3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,python,source_target,V4_NATIVE_EMISSION,BACKEND,DIRECT_NATIVE_UNAVAILABLE: unsupported UAST node OperationExpr/3
f1df8247e095d78da8ab76ebbd1a684741629453162d5a2b0f8aecf48c76cab8,3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,zig,source_target,V4_NATIVE_EMISSION,BACKEND,DIRECT_NATIVE_UNAVAILABLE: unsupported UAST node OperationExpr/3
aab6259eb2e7e6d78153c1cb4739248a05056dbe843d4bbdb64e562fcdb21bd2,3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,julia,source_target,V4_NATIVE_EMISSION,BACKEND,DIRECT_NATIVE_UNAVAILABLE: unsupported UAST node OperationExpr/3
9f7d4ac2cc6381cde7660631d7c21ed68093f1df45a1d3904af2593d8505527d,3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,nim,source_target,V4_NATIVE_EMISSION,BACKEND,DIRECT_NATIVE_UNAVAILABLE: unsupported UAST node OperationExpr/3
3a0e7c1e1be6c58d224b9cd86a80392c13642a816477fd4226f2b7cdfc2a6d34,3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,csharp,source_target,V4_NATIVE_EMISSION,BACKEND,DIRECT_NATIVE_UNAVAILABLE: unsupported UAST node OperationExpr/3
1a12408c396ea1b7472fbc0aa961386350c0d4295b1741115febd6729e03f9a8,3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,java,source_target,V4_NATIVE_EMISSION,BACKEND,DIRECT_NATIVE_UNAVAILABLE: unsupported UAST node OperationExpr/3
28b6f03a91a98f1c81fd2edacac33c44546f8e68fa0f23efeb3fb2666b194961,3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,kotlin,source_target,V4_NATIVE_EMISSION,BACKEND,DIRECT_NATIVE_UNAVAILABLE: unsupported UAST node OperationExpr/3
7fb23777c787399295be936e2808c532ca12bd571d6dcc213a2cd7b31d47c7bc,3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,swift,source_target,V4_NATIVE_EMISSION,BACKEND,DIRECT_NATIVE_UNAVAILABLE: unsupported UAST node OperationExpr/3
ae9c9e5a25ad2514107e8023f1c1a989f35765d3ca94873c8d05a00833f1b1cb,5c8064bdd7385c1a0e0f71396114212822274ae11b878aecca9ee7f2fb29537b,go,go,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""a"" has no native contract for target ""go"" (arguments: b, c___)"
9af3e268a9dea6287e6f42c2ed855a9f37d5c671a63833771bfba751a06254c5,5c8064bdd7385c1a0e0f71396114212822274ae11b878aecca9ee7f2fb29537b,go,rust,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""a"" has no native contract for target ""rust"" (arguments: b.clone(), c___.clone())"
dc3df7fcc32920055ad4c35ccdf280db179a08a5928050b4790a658eac004f1d,5c8064bdd7385c1a0e0f71396114212822274ae11b878aecca9ee7f2fb29537b,go,cpp,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""a"" has no native contract for target ""cpp"" (arguments: b, c___)"
2493babcc8ff79e9736543599e4883ef7b54cb0587d44649c16e762040e89517,5c8064bdd7385c1a0e0f71396114212822274ae11b878aecca9ee7f2fb29537b,go,c,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""a"" has no native contract for target ""c"" (arguments: b, c___)"
9cc34e355e63135db9cc450bc7d5102da277210dc56e7e88364b7192f9841577,5c8064bdd7385c1a0e0f71396114212822274ae11b878aecca9ee7f2fb29537b,go,python,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""a"" has no native contract for target ""python"" (arguments: b, c___)"
27de3944a7790afa94be544c205ba2130d7e0463bdb485c0372496cf5e7c3116,5c8064bdd7385c1a0e0f71396114212822274ae11b878aecca9ee7f2fb29537b,go,zig,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""a"" has no native contract for target ""zig"" (arguments: b, c___)"
792ae33b9a16da7f14cceb5e64a37f90f6d5312e78202b0e825c4c1c52a52e1e,5c8064bdd7385c1a0e0f71396114212822274ae11b878aecca9ee7f2fb29537b,go,julia,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""a"" has no native contract for target ""julia"" (arguments: b, c___)"
3c13ac08f94eb5fbb09d64b4f55b1ba608906dd3b037b6a374f90c9d2d37bf0b,5c8064bdd7385c1a0e0f71396114212822274ae11b878aecca9ee7f2fb29537b,go,nim,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""a"" has no native contract for target ""nim"" (arguments: r2ms62, r2ms632e2e2e)"
a12a9fbd5cf90e63188690108848120ac73170a8f9f2fcd7124f2ae844ec62c1,5c8064bdd7385c1a0e0f71396114212822274ae11b878aecca9ee7f2fb29537b,go,csharp,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""a"" has no native contract for target ""csharp"" (arguments: b, c___)"
203d7cdd33fcbf53d6f0c153268c7e8f3758ea4f7a0b677e55beb0fa0040ff1d,5c8064bdd7385c1a0e0f71396114212822274ae11b878aecca9ee7f2fb29537b,go,java,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""a"" has no native contract for target ""java"" (arguments: b, c___)"
e8632e41580d9301b051ab38375f09791cf439c7536e361f9af4c39dca47bc49,5c8064bdd7385c1a0e0f71396114212822274ae11b878aecca9ee7f2fb29537b,go,kotlin,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""a"" has no native contract for target ""kotlin"" (arguments: b, c___)"
81e75e7b9183e4baae6a169654303cd9b72691dc700038dd2ed597c02a73172f,5c8064bdd7385c1a0e0f71396114212822274ae11b878aecca9ee7f2fb29537b,go,swift,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""a"" has no native contract for target ""swift"" (arguments: b, c___)"
614ac31a6b900abe8f91bf0e4a343887a66aaa8248111c37af302af9b4b1f337,f33d7081e9d1609770493c5be850642273b73db03935da97e5889ac609bb6fae,go,go,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""b"" has no native contract for target ""go"" (arguments: []float64{d})"
2a1ca43bf8f214f6e906687c4cf64e4a29176f871938e11631a00a8f64448de4,f33d7081e9d1609770493c5be850642273b73db03935da97e5889ac609bb6fae,go,rust,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""b"" has no native contract for target ""rust"" (arguments: vec![d.clone()])"
ba441e3b85e317b9a3591944750a1228d9181c4466cc8715cb617c721a11a413,f33d7081e9d1609770493c5be850642273b73db03935da97e5889ac609bb6fae,go,cpp,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""b"" has no native contract for target ""cpp"" (arguments: std::vector<double>{d})"
979c09e8dd535c68aea14da66c4abaf91a19c3853fd343acdd862342cc6a440c,f33d7081e9d1609770493c5be850642273b73db03935da97e5889ac609bb6fae,go,c,source_target,V4_NATIVE_EMISSION,BACKEND,"DIRECT_NATIVE_UNAVAILABLE: call ""b"" has no native contract for target ""c"" (arguments: (double[]){d})"
