case_id,source_language,source_path,source_hash,source_bytes,classification,parser_forms,semantic_features,relation_patterns,dependency_features,phase_features,preserved_source_forms
797d9d4f70a132e91a6ee455320e4d3806e202d0ac874bac724b13a34da34c04,nim,test/corpus/expressions.txt,9ced0c8025792bf1cf1b6d0403cf45dc7ad1145105fae241375347dc93f76b6c,351,VALID_SOURCE,accent_quoted;argument_list;array_construction;assembly_statement;assignment;bind_statement;blank_identifier;block;block_comment;block_documentation_comment;bracket_expression;break_statement;call;case;cast;char_content;char_literal;colon_expression;comment;comment_content;concept_declaration;conditional_declaration;const_section;continue_statement;converter_declaration;curly_construction;curly_expression;custom_numeric_literal;defer;discard_statement;distinct_type;do_block;documentation_comment;dot_expression;dot_generic_call;elif_branch;else_branch;enum_declaration;enum_field_declaration;enum_type;equal_expression;escape_sequence;except_branch;except_clause;export_statement;exported_symbol;expression_list;field_declaration;field_declaration_list;finally_branch;float_literal;for;func_declaration;func_expression;generalized_string;generic_argument_list;generic_parameter_list;identifier;if;import_from_statement;import_statement;include_statement;infix_expression;integer_literal;interpreted_string_literal;iterator_declaration;iterator_expression;iterator_type;let_section;long_string_literal;macro_declaration;method_declaration;mixin_statement;nil_literal;object_declaration;object_type;of_branch;operator;out_type;parameter_declaration;parameter_declaration_list;parameter_list;parenthesized;pointer_parameter;pointer_type;pragma_expression;pragma_list;pragma_statement;prefix_expression;proc_declaration;proc_expression;proc_type;raise_statement;raw_string_literal;ref_parameter;ref_type;refinement_list;return_statement;source_file;statement_list;static_parameter;static_statement;string_content;symbol_declaration;symbol_declaration_list;template_declaration;term_rewriting_pattern;try;tuple_construction;tuple_deconstruct_declaration;tuple_type;type_declaration;type_expression;type_parameter;type_section;type_symbol_declaration;typeof;using_section;var_parameter;var_section;var_type;variable_declaration;variant_declaration;variant_discriminator_declaration;when;while;yield_statement,,,,,accent_quoted;assembly_statement;bind_statement;bracket_expression;colon_expression;comment;comment_content;const_section;curly_expression;defer;discard_statement;documentation_comment;dot_expression;else_branch;equal_expression;escape_sequence;except_branch;export_statement;exported_symbol;finally_branch;func_expression;iterator_expression;let_section;mixin_statement;of_branch;parenthesized;pragma_expression;pragma_statement;proc_expression;raise_statement;static_statement;term_rewriting_pattern;try;using_section;var_section;when
2d367ffbed3c723f18872d529eb368751e8a79b009c8ad115b136dc9af4d5f16,nim,test/corpus/expressions.txt,c54dbadd45c5817393586d541c88f4850835cd8b59c78b8f9637df4179003246,317,VALID_SOURCE,accent_quoted;argument_list;array_construction;assembly_statement;assignment;bind_statement;blank_identifier;block;block_comment;block_documentation_comment;bracket_expression;break_statement;call;case;cast;char_content;char_literal;colon_expression;comment;comment_content;concept_declaration;conditional_declaration;const_section;continue_statement;converter_declaration;curly_construction;curly_expression;custom_numeric_literal;defer;discard_statement;distinct_type;do_block;documentation_comment;dot_expression;dot_generic_call;elif_branch;else_branch;enum_declaration;enum_field_declaration;enum_type;equal_expression;escape_sequence;except_branch;except_clause;export_statement;exported_symbol;expression_list;field_declaration;field_declaration_list;finally_branch;float_literal;for;func_declaration;func_expression;generalized_string;generic_argument_list;generic_parameter_list;identifier;if;import_from_statement;import_statement;include_statement;infix_expression;integer_literal;interpreted_string_literal;iterator_declaration;iterator_expression;iterator_type;let_section;long_string_literal;macro_declaration;method_declaration;mixin_statement;nil_literal;object_declaration;object_type;of_branch;operator;out_type;parameter_declaration;parameter_declaration_list;parameter_list;parenthesized;pointer_parameter;pointer_type;pragma_expression;pragma_list;pragma_statement;prefix_expression;proc_declaration;proc_expression;proc_type;raise_statement;raw_string_literal;ref_parameter;ref_type;refinement_list;return_statement;source_file;statement_list;static_parameter;static_statement;string_content;symbol_declaration;symbol_declaration_list;template_declaration;term_rewriting_pattern;try;tuple_construction;tuple_deconstruct_declaration;tuple_type;type_declaration;type_expression;type_parameter;type_section;type_symbol_declaration;typeof;using_section;var_parameter;var_section;var_type;variable_declaration;variant_declaration;variant_discriminator_declaration;when;while;yield_statement,,,,,accent_quoted;assembly_statement;bind_statement;bracket_expression;colon_expression;comment;comment_content;const_section;curly_expression;defer;discard_statement;documentation_comment;dot_expression;else_branch;equal_expression;escape_sequence;except_branch;export_statement;exported_symbol;finally_branch;func_expression;iterator_expression;let_section;mixin_statement;of_branch;parenthesized;pragma_expression;pragma_statement;proc_expression;raise_statement;static_statement;term_rewriting_pattern;try;using_section;var_section;when
f157470732691cef698aae79d27a9289ce3025aab79334fbc4ebea12df3a2bae,nim,test/corpus/expressions.txt,6d32bad6d3cbe16769ee088237b58277b835d04c9a04e7589829210f1602e24b,311,VALID_SOURCE,accent_quoted;argument_list;array_construction;assembly_statement;assignment;bind_statement;blank_identifier;block;block_comment;block_documentation_comment;bracket_expression;break_statement;call;case;cast;char_content;char_literal;colon_expression;comment;comment_content;concept_declaration;conditional_declaration;const_section;continue_statement;converter_declaration;curly_construction;curly_expression;custom_numeric_literal;defer;discard_statement;distinct_type;do_block;documentation_comment;dot_expression;dot_generic_call;elif_branch;else_branch;enum_declaration;enum_field_declaration;enum_type;equal_expression;escape_sequence;except_branch;except_clause;export_statement;exported_symbol;expression_list;field_declaration;field_declaration_list;finally_branch;float_literal;for;func_declaration;func_expression;generalized_string;generic_argument_list;generic_parameter_list;identifier;if;import_from_statement;import_statement;include_statement;infix_expression;integer_literal;interpreted_string_literal;iterator_declaration;iterator_expression;iterator_type;let_section;long_string_literal;macro_declaration;method_declaration;mixin_statement;nil_literal;object_declaration;object_type;of_branch;operator;out_type;parameter_declaration;parameter_declaration_list;parameter_list;parenthesized;pointer_parameter;pointer_type;pragma_expression;pragma_list;pragma_statement;prefix_expression;proc_declaration;proc_expression;proc_type;raise_statement;raw_string_literal;ref_parameter;ref_type;refinement_list;return_statement;source_file;statement_list;static_parameter;static_statement;string_content;symbol_declaration;symbol_declaration_list;template_declaration;term_rewriting_pattern;try;tuple_construction;tuple_deconstruct_declaration;tuple_type;type_declaration;type_expression;type_parameter;type_section;type_symbol_declaration;typeof;using_section;var_parameter;var_section;var_type;variable_declaration;variant_declaration;variant_discriminator_declaration;when;while;yield_statement,,,,,accent_quoted;assembly_statement;bind_statement;bracket_expression;colon_expression;comment;comment_content;const_section;curly_expression;defer;discard_statement;documentation_comment;dot_expression;else_branch;equal_expression;escape_sequence;except_branch;export_statement;exported_symbol;finally_branch;func_expression;iterator_expression;let_section;mixin_statement;of_branch;parenthesized;pragma_expression;pragma_statement;proc_expression;raise_statement;static_statement;term_rewriting_pattern;try;using_section;var_section;when
27e266429265c30f567febec14a924d83170f2d258df37a747e53c2fcb0e28a4,nim,test/corpus/expressions.txt,712f6fa9fdbd3f35154b22bd7e060d21fc820a46ac28df2ad627b86af41aaa52,203,VALID_SOURCE,accent_quoted;argument_list;array_construction;assembly_statement;assignment;bind_statement;blank_identifier;block;block_comment;block_documentation_comment;bracket_expression;break_statement;call;case;cast;char_content;char_literal;colon_expression;comment;comment_content;concept_declaration;conditional_declaration;const_section;continue_statement;converter_declaration;curly_construction;curly_expression;custom_numeric_literal;defer;discard_statement;distinct_type;do_block;documentation_comment;dot_expression;dot_generic_call;elif_branch;else_branch;enum_declaration;enum_field_declaration;enum_type;equal_expression;escape_sequence;except_branch;except_clause;export_statement;exported_symbol;expression_list;field_declaration;field_declaration_list;finally_branch;float_literal;for;func_declaration;func_expression;generalized_string;generic_argument_list;generic_parameter_list;identifier;if;import_from_statement;import_statement;include_statement;infix_expression;integer_literal;interpreted_string_literal;iterator_declaration;iterator_expression;iterator_type;let_section;long_string_literal;macro_declaration;method_declaration;mixin_statement;nil_literal;object_declaration;object_type;of_branch;operator;out_type;parameter_declaration;parameter_declaration_list;parameter_list;parenthesized;pointer_parameter;pointer_type;pragma_expression;pragma_list;pragma_statement;prefix_expression;proc_declaration;proc_expression;proc_type;raise_statement;raw_string_literal;ref_parameter;ref_type;refinement_list;return_statement;source_file;statement_list;static_parameter;static_statement;string_content;symbol_declaration;symbol_declaration_list;template_declaration;term_rewriting_pattern;try;tuple_construction;tuple_deconstruct_declaration;tuple_type;type_declaration;type_expression;type_parameter;type_section;type_symbol_declaration;typeof;using_section;var_parameter;var_section;var_type;variable_declaration;variant_declaration;variant_discriminator_declaration;when;while;yield_statement,,,,,accent_quoted;assembly_statement;bind_statement;bracket_expression;colon_expression;comment;comment_content;const_section;curly_expression;defer;discard_statement;documentation_comment;dot_expression;else_branch;equal_expression;escape_sequence;except_branch;export_statement;exported_symbol;finally_branch;func_expression;iterator_expression;let_section;mixin_statement;of_branch;parenthesized;pragma_expression;pragma_statement;proc_expression;raise_statement;static_statement;term_rewriting_pattern;try;using_section;var_section;when
16951297d319fa9453fa392271ccf872435c8232286e929cf0239607c3ab106c,nim,test/corpus/expressions.txt,872d40e88c6e73c65dba1f4101357606b2ae77e6b9cf9633d099154592e6dad1,147,VALID_SOURCE,accent_quoted;argument_list;array_construction;assembly_statement;assignment;bind_statement;blank_identifier;block;block_comment;block_documentation_comment;bracket_expression;break_statement;call;case;cast;char_content;char_literal;colon_expression;comment;comment_content;concept_declaration;conditional_declaration;const_section;continue_statement;converter_declaration;curly_construction;curly_expression;custom_numeric_literal;defer;discard_statement;distinct_type;do_block;documentation_comment;dot_expression;dot_generic_call;elif_branch;else_branch;enum_declaration;enum_field_declaration;enum_type;equal_expression;escape_sequence;except_branch;except_clause;export_statement;exported_symbol;expression_list;field_declaration;field_declaration_list;finally_branch;float_literal;for;func_declaration;func_expression;generalized_string;generic_argument_list;generic_parameter_list;identifier;if;import_from_statement;import_statement;include_statement;infix_expression;integer_literal;interpreted_string_literal;iterator_declaration;iterator_expression;iterator_type;let_section;long_string_literal;macro_declaration;method_declaration;mixin_statement;nil_literal;object_declaration;object_type;of_branch;operator;out_type;parameter_declaration;parameter_declaration_list;parameter_list;parenthesized;pointer_parameter;pointer_type;pragma_expression;pragma_list;pragma_statement;prefix_expression;proc_declaration;proc_expression;proc_type;raise_statement;raw_string_literal;ref_parameter;ref_type;refinement_list;return_statement;source_file;statement_list;static_parameter;static_statement;string_content;symbol_declaration;symbol_declaration_list;template_declaration;term_rewriting_pattern;try;tuple_construction;tuple_deconstruct_declaration;tuple_type;type_declaration;type_expression;type_parameter;type_section;type_symbol_declaration;typeof;using_section;var_parameter;var_section;var_type;variable_declaration;variant_declaration;variant_discriminator_declaration;when;while;yield_statement,,,,,accent_quoted;assembly_statement;bind_statement;bracket_expression;colon_expression;comment;comment_content;const_section;curly_expression;defer;discard_statement;documentation_comment;dot_expression;else_branch;equal_expression;escape_sequence;except_branch;export_statement;exported_symbol;finally_branch;func_expression;iterator_expression;let_section;mixin_statement;of_branch;parenthesized;pragma_expression;pragma_statement;proc_expression;raise_statement;static_statement;term_rewriting_pattern;try;using_section;var_section;when
dbf7c17a6063cbb44fcbae8ae0cf11cf69c17dbd34105679c6601e20679eb4cb,nim,test/corpus/expressions.txt,fac12da10ac7d1e2ba604377bfebd86be9dbe199d077250e73eba0c2ede74d92,64,VALID_SOURCE,accent_quoted;argument_list;array_construction;assembly_statement;assignment;bind_statement;blank_identifier;block;block_comment;block_documentation_comment;bracket_expression;break_statement;call;case;cast;char_content;char_literal;colon_expression;comment;comment_content;concept_declaration;conditional_declaration;const_section;continue_statement;converter_declaration;curly_construction;curly_expression;custom_numeric_literal;defer;discard_statement;distinct_type;do_block;documentation_comment;dot_expression;dot_generic_call;elif_branch;else_branch;enum_declaration;enum_field_declaration;enum_type;equal_expression;escape_sequence;except_branch;except_clause;export_statement;exported_symbol;expression_list;field_declaration;field_declaration_list;finally_branch;float_literal;for;func_declaration;func_expression;generalized_string;generic_argument_list;generic_parameter_list;identifier;if;import_from_statement;import_statement;include_statement;infix_expression;integer_literal;interpreted_string_literal;iterator_declaration;iterator_expression;iterator_type;let_section;long_string_literal;macro_declaration;method_declaration;mixin_statement;nil_literal;object_declaration;object_type;of_branch;operator;out_type;parameter_declaration;parameter_declaration_list;parameter_list;parenthesized;pointer_parameter;pointer_type;pragma_expression;pragma_list;pragma_statement;prefix_expression;proc_declaration;proc_expression;proc_type;raise_statement;raw_string_literal;ref_parameter;ref_type;refinement_list;return_statement;source_file;statement_list;static_parameter;static_statement;string_content;symbol_declaration;symbol_declaration_list;template_declaration;term_rewriting_pattern;try;tuple_construction;tuple_deconstruct_declaration;tuple_type;type_declaration;type_expression;type_parameter;type_section;type_symbol_declaration;typeof;using_section;var_parameter;var_section;var_type;variable_declaration;variant_declaration;variant_discriminator_declaration;when;while;yield_statement,,,,,accent_quoted;assembly_statement;bind_statement;bracket_expression;colon_expression;comment;comment_content;const_section;curly_expression;defer;discard_statement;documentation_comment;dot_expression;else_branch;equal_expression;escape_sequence;except_branch;export_statement;exported_symbol;finally_branch;func_expression;iterator_expression;let_section;mixin_statement;of_branch;parenthesized;pragma_expression;pragma_statement;proc_expression;raise_statement;static_statement;term_rewriting_pattern;try;using_section;var_section;when
b5d1a8649bcb2f2105d4694f9a9759ed483a621cd11f8ab9445ce5cf412f7ea5,nim,test/corpus/expressions.txt,106bbcd0d74bc232e2c3c7915b243c2db4b06fdd550f90d29005af6a7f1ee4ec,126,VALID_SOURCE,accent_quoted;argument_list;array_construction;assembly_statement;assignment;bind_statement;blank_identifier;block;block_comment;block_documentation_comment;bracket_expression;break_statement;call;case;cast;char_content;char_literal;colon_expression;comment;comment_content;concept_declaration;conditional_declaration;const_section;continue_statement;converter_declaration;curly_construction;curly_expression;custom_numeric_literal;defer;discard_statement;distinct_type;do_block;documentation_comment;dot_expression;dot_generic_call;elif_branch;else_branch;enum_declaration;enum_field_declaration;enum_type;equal_expression;escape_sequence;except_branch;except_clause;export_statement;exported_symbol;expression_list;field_declaration;field_declaration_list;finally_branch;float_literal;for;func_declaration;func_expression;generalized_string;generic_argument_list;generic_parameter_list;identifier;if;import_from_statement;import_statement;include_statement;infix_expression;integer_literal;interpreted_string_literal;iterator_declaration;iterator_expression;iterator_type;let_section;long_string_literal;macro_declaration;method_declaration;mixin_statement;nil_literal;object_declaration;object_type;of_branch;operator;out_type;parameter_declaration;parameter_declaration_list;parameter_list;parenthesized;pointer_parameter;pointer_type;pragma_expression;pragma_list;pragma_statement;prefix_expression;proc_declaration;proc_expression;proc_type;raise_statement;raw_string_literal;ref_parameter;ref_type;refinement_list;return_statement;source_file;statement_list;static_parameter;static_statement;string_content;symbol_declaration;symbol_declaration_list;template_declaration;term_rewriting_pattern;try;tuple_construction;tuple_deconstruct_declaration;tuple_type;type_declaration;type_expression;type_parameter;type_section;type_symbol_declaration;typeof;using_section;var_parameter;var_section;var_type;variable_declaration;variant_declaration;variant_discriminator_declaration;when;while;yield_statement,,,,,accent_quoted;assembly_statement;bind_statement;bracket_expression;colon_expression;comment;comment_content;const_section;curly_expression;defer;discard_statement;documentation_comment;dot_expression;else_branch;equal_expression;escape_sequence;except_branch;export_statement;exported_symbol;finally_branch;func_expression;iterator_expression;let_section;mixin_statement;of_branch;parenthesized;pragma_expression;pragma_statement;proc_expression;raise_statement;static_statement;term_rewriting_pattern;try;using_section;var_section;when
2dddbb24b51380f287bf43887a324e4b38f204a66e0defc6623227460e2e77ff,nim,test/corpus/expressions.txt,03bfdbc66e5c20af79d5048ff78dcb35d9def423927b9dabce23005af598f454,94,VALID_SOURCE,accent_quoted;argument_list;array_construction;assembly_statement;assignment;bind_statement;blank_identifier;block;block_comment;block_documentation_comment;bracket_expression;break_statement;call;case;cast;char_content;char_literal;colon_expression;comment;comment_content;concept_declaration;conditional_declaration;const_section;continue_statement;converter_declaration;curly_construction;curly_expression;custom_numeric_literal;defer;discard_statement;distinct_type;do_block;documentation_comment;dot_expression;dot_generic_call;elif_branch;else_branch;enum_declaration;enum_field_declaration;enum_type;equal_expression;escape_sequence;except_branch;except_clause;export_statement;exported_symbol;expression_list;field_declaration;field_declaration_list;finally_branch;float_literal;for;func_declaration;func_expression;generalized_string;generic_argument_list;generic_parameter_list;identifier;if;import_from_statement;import_statement;include_statement;infix_expression;integer_literal;interpreted_string_literal;iterator_declaration;iterator_expression;iterator_type;let_section;long_string_literal;macro_declaration;method_declaration;mixin_statement;nil_literal;object_declaration;object_type;of_branch;operator;out_type;parameter_declaration;parameter_declaration_list;parameter_list;parenthesized;pointer_parameter;pointer_type;pragma_expression;pragma_list;pragma_statement;prefix_expression;proc_declaration;proc_expression;proc_type;raise_statement;raw_string_literal;ref_parameter;ref_type;refinement_list;return_statement;source_file;statement_list;static_parameter;static_statement;string_content;symbol_declaration;symbol_declaration_list;template_declaration;term_rewriting_pattern;try;tuple_construction;tuple_deconstruct_declaration;tuple_type;type_declaration;type_expression;type_parameter;type_section;type_symbol_declaration;typeof;using_section;var_parameter;var_section;var_type;variable_declaration;variant_declaration;variant_discriminator_declaration;when;while;yield_statement,,,,,accent_quoted;assembly_statement;bind_statement;bracket_expression;colon_expression;comment;comment_content;const_section;curly_expression;defer;discard_statement;documentation_comment;dot_expression;else_branch;equal_expression;escape_sequence;except_branch;export_statement;exported_symbol;finally_branch;func_expression;iterator_expression;let_section;mixin_statement;of_branch;parenthesized;pragma_expression;pragma_statement;proc_expression;raise_statement;static_statement;term_rewriting_pattern;try;using_section;var_section;when
eb7446b8678798b071d26535c327f3f64d219017479469b6a990c6572908c350,nim,test/corpus/expressions.txt,2cfc04087fbe2186d65e7e7b1836be0f4f5021a0b8d54b344ffc6930ceb60748,75,VALID_SOURCE,accent_quoted;argument_list;array_construction;assembly_statement;assignment;bind_statement;blank_identifier;block;block_comment;block_documentation_comment;bracket_expression;break_statement;call;case;cast;char_content;char_literal;colon_expression;comment;comment_content;concept_declaration;conditional_declaration;const_section;continue_statement;converter_declaration;curly_construction;curly_expression;custom_numeric_literal;defer;discard_statement;distinct_type;do_block;documentation_comment;dot_expression;dot_generic_call;elif_branch;else_branch;enum_declaration;enum_field_declaration;enum_type;equal_expression;escape_sequence;except_branch;except_clause;export_statement;exported_symbol;expression_list;field_declaration;field_declaration_list;finally_branch;float_literal;for;func_declaration;func_expression;generalized_string;generic_argument_list;generic_parameter_list;identifier;if;import_from_statement;import_statement;include_statement;infix_expression;integer_literal;interpreted_string_literal;iterator_declaration;iterator_expression;iterator_type;let_section;long_string_literal;macro_declaration;method_declaration;mixin_statement;nil_literal;object_declaration;object_type;of_branch;operator;out_type;parameter_declaration;parameter_declaration_list;parameter_list;parenthesized;pointer_parameter;pointer_type;pragma_expression;pragma_list;pragma_statement;prefix_expression;proc_declaration;proc_expression;proc_type;raise_statement;raw_string_literal;ref_parameter;ref_type;refinement_list;return_statement;source_file;statement_list;static_parameter;static_statement;string_content;symbol_declaration;symbol_declaration_list;template_declaration;term_rewriting_pattern;try;tuple_construction;tuple_deconstruct_declaration;tuple_type;type_declaration;type_expression;type_parameter;type_section;type_symbol_declaration;typeof;using_section;var_parameter;var_section;var_type;variable_declaration;variant_declaration;variant_discriminator_declaration;when;while;yield_statement,,,,,accent_quoted;assembly_statement;bind_statement;bracket_expression;colon_expression;comment;comment_content;const_section;curly_expression;defer;discard_statement;documentation_comment;dot_expression;else_branch;equal_expression;escape_sequence;except_branch;export_statement;exported_symbol;finally_branch;func_expression;iterator_expression;let_section;mixin_statement;of_branch;parenthesized;pragma_expression;pragma_statement;proc_expression;raise_statement;static_statement;term_rewriting_pattern;try;using_section;var_section;when
919136c3a4eefad3ee0e81cc80191c23f159d433e4dabbafccc9d7cba6028498,nim,test/corpus/expressions.txt,bfe759e715eb25f332b6069fd7fd4556e63ee0817f172b0d5b38dda8aa4cccc3,85,VALID_SOURCE,accent_quoted;argument_list;array_construction;assembly_statement;assignment;bind_statement;blank_identifier;block;block_comment;block_documentation_comment;bracket_expression;break_statement;call;case;cast;char_content;char_literal;colon_expression;comment;comment_content;concept_declaration;conditional_declaration;const_section;continue_statement;converter_declaration;curly_construction;curly_expression;custom_numeric_literal;defer;discard_statement;distinct_type;do_block;documentation_comment;dot_expression;dot_generic_call;elif_branch;else_branch;enum_declaration;enum_field_declaration;enum_type;equal_expression;escape_sequence;except_branch;except_clause;export_statement;exported_symbol;expression_list;field_declaration;field_declaration_list;finally_branch;float_literal;for;func_declaration;func_expression;generalized_string;generic_argument_list;generic_parameter_list;identifier;if;import_from_statement;import_statement;include_statement;infix_expression;integer_literal;interpreted_string_literal;iterator_declaration;iterator_expression;iterator_type;let_section;long_string_literal;macro_declaration;method_declaration;mixin_statement;nil_literal;object_declaration;object_type;of_branch;operator;out_type;parameter_declaration;parameter_declaration_list;parameter_list;parenthesized;pointer_parameter;pointer_type;pragma_expression;pragma_list;pragma_statement;prefix_expression;proc_declaration;proc_expression;proc_type;raise_statement;raw_string_literal;ref_parameter;ref_type;refinement_list;return_statement;source_file;statement_list;static_parameter;static_statement;string_content;symbol_declaration;symbol_declaration_list;template_declaration;term_rewriting_pattern;try;tuple_construction;tuple_deconstruct_declaration;tuple_type;type_declaration;type_expression;type_parameter;type_section;type_symbol_declaration;typeof;using_section;var_parameter;var_section;var_type;variable_declaration;variant_declaration;variant_discriminator_declaration;when;while;yield_statement,,,,,accent_quoted;assembly_statement;bind_statement;bracket_expression;colon_expression;comment;comment_content;const_section;curly_expression;defer;discard_statement;documentation_comment;dot_expression;else_branch;equal_expression;escape_sequence;except_branch;export_statement;exported_symbol;finally_branch;func_expression;iterator_expression;let_section;mixin_statement;of_branch;parenthesized;pragma_expression;pragma_statement;proc_expression;raise_statement;static_statement;term_rewriting_pattern;try;using_section;var_section;when
