"lane","offset","shard","status","exit_code","elapsed_seconds","summary"
"source","0","shard-0000","PASS","0","52,2","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0000\final_summary.json"
"source","50","shard-0050","PASS","0","101,8","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0050\final_summary.json"
"source","100","shard-0100","PASS","0","110,7","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0100\final_summary.json"
"source","150","shard-0150","PASS","0","156,3","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0150\final_summary.json"
"source","200","shard-0200","PASS","0","132,6","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0200\final_summary.json"
"source","250","shard-0250","PASS","0","132,6","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0250\final_summary.json"
"source","300","shard-0300","PASS","0","160,3","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0300\final_summary.json"
"source","350","shard-0350","PASS","0","200,2","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0350\final_summary.json"
"source","400","shard-0400","PASS","0","180,7","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0400\final_summary.json"
"source","450","shard-0450","PASS","0","157","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0450\final_summary.json"
"source","500","shard-0500","PASS","0","179,9","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0500\final_summary.json"
"source","550","shard-0550","PASS","0","148,1","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0550\final_summary.json"
"source","600","shard-0600","PASS","0","118,8","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0600\final_summary.json"
"source","650","shard-0650","PASS","0","170,3","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0650\final_summary.json"
"source","700","shard-0700","PASS","0","131,9","C:\Users\tarek\Desktop\Transpiler\Universal-Code-Transpiler - Kopie\matrices\post_fix_mining_freeze_v9\source_target_shards\shard-0700\final_summary.json"
