primitive_id,authority_source,reduction_status,proven_redundant
AGGREGATE_MAP,canonical,UNOBSERVED_KEEP_AUTHORITY,false
PERL_GREP,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_POP,v6,UNOBSERVED_KEEP_AUTHORITY,false
SUB,canonical-kernel,UNOBSERVED_KEEP_AUTHORITY,false
ADA_PRIORITY_CHANGE,v6,UNOBSERVED_KEEP_AUTHORITY,false
FORTRAN_CO_MIN,v6,UNOBSERVED_KEEP_AUTHORITY,false
NE,canonical-kernel,UNOBSERVED_KEEP_AUTHORITY,false
FILE_WRITE,v6,UNOBSERVED_KEEP_AUTHORITY,false
FORTRAN_ASSOCIATED_TEST,v6,UNOBSERVED_KEEP_AUTHORITY,false
FORTRAN_IBCLR,v6,UNOBSERVED_KEEP_AUTHORITY,false
JS_ABSTRACT_EQUAL,v6,UNOBSERVED_KEEP_AUTHORITY,false
SOCKET_PEER_NAME,v6,UNOBSERVED_KEEP_AUTHORITY,false
CALL,canonical,OBSERVED_OR_CLOSURE_REQUIRED,false
COROUTINE_BEGIN_APPLY,v6,UNOBSERVED_KEEP_AUTHORITY,false
GC_BIF_CALL,v6,UNOBSERVED_KEEP_AUTHORITY,false
JS_TO_BOOLEAN_BRANCH,v6,UNOBSERVED_KEEP_AUTHORITY,false
NEG,v6,UNOBSERVED_KEEP_AUTHORITY,false
TRANSACTION,v6,UNOBSERVED_KEEP_AUTHORITY,false
MAILBOX_SCAN,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_SPLICE,v6,UNOBSERVED_KEEP_AUTHORITY,false
STABLE_PTR_FREE,v6,UNOBSERVED_KEEP_AUTHORITY,false
WEAK_REF_CREATE,v6,UNOBSERVED_KEEP_AUTHORITY,false
ASYNC_EXECUTE,v6,UNOBSERVED_KEEP_AUTHORITY,false
FILE_CLOSE,v6,UNOBSERVED_KEEP_AUTHORITY,false
JS_KEYED_PROPERTY_SET,v6,UNOBSERVED_KEEP_AUTHORITY,false
JS_MAPPED_ARGUMENTS_CREATE,v6,UNOBSERVED_KEEP_AUTHORITY,false
MAP_DELETE,v6,UNOBSERVED_KEEP_AUTHORITY,false
TO_BE_CLOSED,v6,UNOBSERVED_KEEP_AUTHORITY,false
FORTRAN_CO_SUM,v6,UNOBSERVED_KEEP_AUTHORITY,false
OBJECT_CREATE,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_ARRAY_KEYS,v6,UNOBSERVED_KEEP_AUTHORITY,false
PROCESS_WAIT,v6,UNOBSERVED_KEEP_AUTHORITY,false
TYPE_TEST_TUPLE,v6,UNOBSERVED_KEEP_AUTHORITY,false
CLASS_VAR_GET,v6,UNOBSERVED_KEEP_AUTHORITY,false
JS_TO_OBJECT,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_REGEX_SUBSTITUTE,v6,UNOBSERVED_KEEP_AUTHORITY,false
MOVE_VALUE,v6,UNOBSERVED_KEEP_AUTHORITY,false
SPAWN,v6,UNOBSERVED_KEEP_AUTHORITY,false
ARGUMENT_MATCH,v6,UNOBSERVED_KEEP_AUTHORITY,false
CHANNEL_SEND,v6,UNOBSERVED_KEEP_AUTHORITY,false
JS_GENERATOR_SUSPEND,v6,UNOBSERVED_KEEP_AUTHORITY,false
JS_ITERATOR_GET,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_ANY,v6,UNOBSERVED_KEEP_AUTHORITY,false
BITSTRING_MATCH_START,v6,UNOBSERVED_KEEP_AUTHORITY,false
COPY_VALUE,v6,UNOBSERVED_KEEP_AUTHORITY,false
FORTRAN_COUNT,v6,UNOBSERVED_KEEP_AUTHORITY,false
JS_FOR_OF_NEXT,v6,UNOBSERVED_KEEP_AUTHORITY,false
JS_IN_TEST,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_HASH_VALUES,v6,UNOBSERVED_KEEP_AUTHORITY,false
SHARED_MEMORY_WRITE,v6,UNOBSERVED_KEEP_AUTHORITY,false
TAG_THROW,v6,UNOBSERVED_KEEP_AUTHORITY,false
ANNOTATION_SETUP,v6,UNOBSERVED_KEEP_AUTHORITY,false
BIT_NOT,v6,UNOBSERVED_KEEP_AUTHORITY,false
JS_CALL_WITH_SPREAD,v6,UNOBSERVED_KEEP_AUTHORITY,false
POST_INCREMENT,v6,UNOBSERVED_KEEP_AUTHORITY,false
ADA_ACCEPT_ALTERNATIVE,v6,UNOBSERVED_KEEP_AUTHORITY,false
DYNAMIC_MEMBER_GET,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_MULTIDEREF,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_REFERENCE_DEREF_CODE,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_UNPACK,v6,UNOBSERVED_KEEP_AUTHORITY,false
TAIL_CALL,v6,UNOBSERVED_KEEP_AUTHORITY,false
NOT,canonical-kernel,UNOBSERVED_KEEP_AUTHORITY,false
ADA_SELECTIVE_ACCEPT,v6,UNOBSERVED_KEEP_AUTHORITY,false
ASYNC_ITER_NEXT,v6,UNOBSERVED_KEEP_AUTHORITY,false
EXCEPTION_MATCH,v6,UNOBSERVED_KEEP_AUTHORITY,false
MUTVAR_WRITE,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_WARN,v6,UNOBSERVED_KEEP_AUTHORITY,false
ADA_ASYNC_SELECT,v6,UNOBSERVED_KEEP_AUTHORITY,false
ASYNC_EXCEPTION_RAISE,v6,UNOBSERVED_KEEP_AUTHORITY,false
BLOCK_FIELD_GET_COMPUTED,v6,UNOBSERVED_KEEP_AUTHORITY,false
DESTROY_VALUE,v6,UNOBSERVED_KEEP_AUTHORITY,false
EXACT_NOT_EQUAL,v6,UNOBSERVED_KEEP_AUTHORITY,false
SOCKET_SHUTDOWN,v6,UNOBSERVED_KEEP_AUTHORITY,false
FENCE,v6,UNOBSERVED_KEEP_AUTHORITY,false
JS_SET_PROTOTYPE_PROPERTIES,v6,UNOBSERVED_KEEP_AUTHORITY,false
LOGICAL_NOT,v6,OBSERVED_OR_CLOSURE_REQUIRED,false
PERL_WEAK_TEST,v6,UNOBSERVED_KEEP_AUTHORITY,false
PROMISE_FORCE,v6,UNOBSERVED_KEEP_AUTHORITY,false
REGEX_COMPILE,v6,UNOBSERVED_KEEP_AUTHORITY,false
SHARED_MEMORY_READ,v6,UNOBSERVED_KEEP_AUTHORITY,false
WEAK_REF_DEREF,v6,UNOBSERVED_KEEP_AUTHORITY,false
FORTRAN_MATMUL,v6,UNOBSERVED_KEEP_AUTHORITY,false
MAP_SET,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_DEFER,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_JOIN,v6,UNOBSERVED_KEEP_AUTHORITY,false
RECOVER,canonical,UNOBSERVED_KEEP_AUTHORITY,false
GLOBAL_GET,v6,UNOBSERVED_KEEP_AUTHORITY,false
JS_ARRAY_LITERAL_CREATE,v6,UNOBSERVED_KEEP_AUTHORITY,false
JS_FUNCTION_CONTEXT_CREATE,v6,UNOBSERVED_KEEP_AUTHORITY,false
MAP_MERGE,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_WEAKEN,v6,UNOBSERVED_KEEP_AUTHORITY,false
PROCESS_SYSTEM,v6,UNOBSERVED_KEEP_AUTHORITY,false
S4_METHOD_DISPATCH,v6,UNOBSERVED_KEEP_AUTHORITY,false
APPEND,canonical,UNOBSERVED_KEEP_AUTHORITY,false
DIR_CLOSE,v6,UNOBSERVED_KEEP_AUTHORITY,false
D_ASSERT_EXPR,v6,UNOBSERVED_KEEP_AUTHORITY,false
GENERIC_FOR_CALL,v6,UNOBSERVED_KEEP_AUTHORITY,false
INDEX_GET,v6,UNOBSERVED_KEEP_AUTHORITY,false
ITERATOR_NEXT,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_DEFINED_OR,v6,UNOBSERVED_KEEP_AUTHORITY,false
SOCKET_CREATE,v6,UNOBSERVED_KEEP_AUTHORITY,false
ENUM_VALUE_GET,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_RANGE,v6,UNOBSERVED_KEEP_AUTHORITY,false
SAFE_BYTES_SET,v6,UNOBSERVED_KEEP_AUTHORITY,false
LITERAL,canonical-kernel,OBSERVED_OR_CLOSURE_REQUIRED,false
RETURN,canonical-kernel,UNOBSERVED_KEEP_AUTHORITY,false
ADDRESS_OF,v6,UNOBSERVED_KEEP_AUTHORITY,false
COROUTINE_DROP,v6,UNOBSERVED_KEEP_AUTHORITY,false
D_ARRAY_LENGTH,v6,UNOBSERVED_KEEP_AUTHORITY,false
METAMETHOD_DISPATCH,v6,UNOBSERVED_KEEP_AUTHORITY,false
PERL_ALL,v6,UNOBSERVED_KEEP_AUTHORITY,false
TYPE_ASSERT,v6,UNOBSERVED_KEEP_AUTHORITY,false
