primitive_id,basis_status,reason
LOGICAL_NOT,OBSERVED_DEMAND_BASIS,KEEP
LOGICAL_BINARY:OR,OBSERVED_DEMAND_BASIS,KEEP
BINARY:DIV,OBSERVED_DEMAND_BASIS,KEEP
COMPARE:EQ,OBSERVED_DEMAND_BASIS,KEEP
LOGICAL_BINARY:AND,OBSERVED_DEMAND_BASIS,KEEP
COMPARE:GE,OBSERVED_DEMAND_BASIS,KEEP
ITERATION,OBSERVED_DEMAND_BASIS,KEEP
LOAD,OBSERVED_DEMAND_BASIS,KEEP
BINARY:MUL,OBSERVED_DEMAND_BASIS,KEEP
COMPARE:LT,OBSERVED_DEMAND_BASIS,KEEP
BITWISE_BINARY:XOR,OBSERVED_DEMAND_BASIS,KEEP
BINARY:ADD,OBSERVED_DEMAND_BASIS,KEEP
LITERAL,OBSERVED_DEMAND_BASIS,KEEP
COMPARE:LE,OBSERVED_DEMAND_BASIS,KEEP
COMPARE:GT,OBSERVED_DEMAND_BASIS,KEEP
CONTROL_TRANSFER,OBSERVED_DEMAND_BASIS,KEEP
COMPARE:NE,OBSERVED_DEMAND_BASIS,KEEP
CALL,OBSERVED_DEMAND_BASIS,KEEP
STORE,OBSERVED_DEMAND_BASIS,KEEP
BINARY:SUB,OBSERVED_DEMAND_BASIS,KEEP
BINARY:POW,OBSERVED_DEMAND_BASIS,KEEP
