candidate_id,family_hint,evidence_rows,source_layers,raw_names,accepted_into_pstar,rejection_reason
RVV_VWMUL,VECTOR,6,RISCV_VECTOR,llvm.riscv.vwmul;llvm.riscv.vwmul_mask;llvm.riscv.vwmul_vi;llvm.riscv.vwmul_vv;llvm.riscv.vwmul_vx,false,no complete observable atom witness / composition proof
ERFC,ARITHMETIC,2,H5_NORMALIZED;MLIR_MATH,ERFC;math.erfc,false,no complete observable atom witness / composition proof
RVV_VNSRA,VECTOR,6,RISCV_VECTOR,llvm.riscv.vnsra;llvm.riscv.vnsra_mask;llvm.riscv.vnsra_vi;llvm.riscv.vnsra_vv;llvm.riscv.vnsra_vx,false,no complete observable atom witness / composition proof
MEMORY_LOAD,MemoryFamily,8,DECOMPILER_QUOTIENT,ld;ld16s;ld16u;ld32s;ld32u;ld8s;ld8u;ld_vec,false,no complete observable atom witness / composition proof
TABLE_FILL,COLLECTION,2,H5_NORMALIZED;WEBASSEMBLY,TABLE_FILL;table.fill,false,no complete observable atom witness / composition proof
FMA,ARITHMETIC,1,H5_NORMALIZED,FMA,false,no complete observable atom witness / composition proof
AARCH64_SME_FMOPA,TENSOR,6,AARCH64_SME,llvm.aarch64.sme.fmopa;llvm.aarch64.sme.fmopa_vg2;llvm.aarch64.sme.fmopa_vg4;llvm.aarch64.sme.fmopa_za32;llvm.aarch64.sme.fmopa_za64,false,no complete observable atom witness / composition proof
AMDGPU_STRUCT_BUFFER_STORE,BINDING_MEMORY,2,AMDGPU_INTRINSICS;H5_NORMALIZED,AMDGPU_STRUCT_BUFFER_STORE;amdgcn_struct_buffer_store,false,no complete observable atom witness / composition proof
AARCH64_SVE_LD1,VECTOR_MEMORY,12,AARCH64_SVE,llvm.aarch64.sve.ld1;llvm.aarch64.sve.ld1.f16;llvm.aarch64.sve.ld1.f32;llvm.aarch64.sve.ld1.f64;llvm.aarch64.sve.ld1.i16;llvm.aarch64.sve.ld1.i32;llvm.aarch64.sve.ld1.i64;llvm.aarch64.sve.ld1.i8;llvm.aarch64.sve.ld1_m;llvm.aarch64.sve.ld1_x;llvm.aarch64.sve.ld1_z,false,no complete observable atom witness / composition proof
V8_TURBOSHAFT_ENCODE_EXTERNAL_POINTER,DYNAMIC_LANGUAGE,1,V8_TURBOSHAFT,ENCODE_EXTERNAL_POINTER,false,no complete observable atom witness / composition proof
MLIR_TENSOR_PARALLEL_INSERT_SLICE,TENSOR,2,MLIR_TENSOR,tensor.parallel_insert_slice,false,no complete observable atom witness / composition proof
XOR_NOT,BITWISE,2,AARCH64_ISA;H5_NORMALIZED,EON;XOR_NOT,false,no complete observable atom witness / composition proof
RVV_VFREC7,VECTOR,6,RISCV_VECTOR,llvm.riscv.vfrec7;llvm.riscv.vfrec7_mask;llvm.riscv.vfrec7_vi;llvm.riscv.vfrec7_vv;llvm.riscv.vfrec7_vx,false,no complete observable atom witness / composition proof
AMDGPU_EXPORT,RUNTIME_CONTROL,2,AMDGPU_INTRINSICS;H5_NORMALIZED,AMDGPU_EXPORT;amdgcn_exp / exp_compr,false,no complete observable atom witness / composition proof
TOSA_SUB,TENSOR_ML,6,MLIR_TOSA,tosa.sub;tosa.sub.bf16;tosa.sub.f32;tosa.sub.i32;tosa.sub.i8,false,no complete observable atom witness / composition proof
TYPE_SEMANTIC,TypeFamily,2,DECOMPILER_QUOTIENT,IsInst;LdTypeToken;NullableRewrap;NullableUnwrap;RefAnyType;RenameVisualBasicAnonymousTypes;SizeOf;extrh_i64_i32;extrl_i64_i32,false,no complete observable atom witness / composition proof
V8_TURBOSHAFT_TRY_CHANGE,DYNAMIC_LANGUAGE,1,V8_TURBOSHAFT,TRY_CHANGE,false,no complete observable atom witness / composition proof
SIMD_SWIZZLE,VECTOR,2,H5_NORMALIZED;WEBASSEMBLY,SIMD_SWIZZLE;i8x16.swizzle,false,no complete observable atom witness / composition proof
LLVM_VP_UMIN,VECTOR,2,LLVM_VP,llvm.vp.umin,false,no complete observable atom witness / composition proof
HEXAGON_HVX_VSAT,VECTOR,2,HEXAGON_HVX,llvm.hexagon.vsat,false,no complete observable atom witness / composition proof
STABLEHLO_CHOLESKY,TENSOR_ALGEBRA,6,STABLEHLO_OPS,stablehlo.cholesky;stablehlo.cholesky.bf16;stablehlo.cholesky.f32;stablehlo.cholesky.i32;stablehlo.cholesky.i8,false,no complete observable atom witness / composition proof
BIT_NOT,BITWISE,1,H5_NORMALIZED,BIT_NOT,false,no complete observable atom witness / composition proof
