candidate_id,family_hint,raw_names
WORDREPRESENTATION,,WordRepresentation
FROMMACHINEREPRESENTATION,,FromMachineRepresentation
REPRESENTATION_UNICODE,UNKNOWN_SEMANTIC_FAMILY,REPRESENTATION_UNICODE
UASF_0035,layout_abi,CPP::c_bitfields;CPP::cpp_object_representation
MEMORYREPRESENTATIONS,,MemoryRepresentations
REGISTERREPRESENTATION,,RegisterRepresentation
THUNK_CREATE,DYNAMIC_LANGUAGE,THUNK_CREATE;lazy closure / thunk representation
REPRESENTATION_EMPTY,UNKNOWN_SEMANTIC_FAMILY,REPRESENTATION_EMPTY
REPRESENTATION_UTF8,UNKNOWN_SEMANTIC_FAMILY,REPRESENTATION_UTF8
MEMORYREPRESENTATION,,MemoryRepresentation
REPRESENTATION_ASCII,UNKNOWN_SEMANTIC_FAMILY,REPRESENTATION_ASCII
REGISTERREPRESENTATIONFORARRAYTYPE,,RegisterRepresentationForArrayType
REPRESENTATION,,Representation
TOREGISTERREPRESENTATIONFORSTORE,,ToRegisterRepresentationForStore
LLVM_CLANG_TOOLS_EXTRA_CLANG_TIDY_READABILITY_OPERATORSREPRESENTATIONCHECK_H,UNKNOWN_SEMANTIC_FAMILY,LLVM_CLANG_TOOLS_EXTRA_CLANG_TIDY_READABILITY_OPERATORSREPRESENTATIONCHECK_H
REPRESENTATIONFOR,,RepresentationFor
FLOATREPRESENTATION,,FloatRepresentation
MAYBEREGISTERREPRESENTATION,,MaybeRegisterRepresentation
TOREGISTERREPRESENTATION,,ToRegisterRepresentation
MACHINEREPRESENTATION,,MachineRepresentation
