table_index,name,kernel,arity,target,route
0,if,language,-1,go,go:language:if
0,if,language,-1,rust,rust:language:if
0,if,language,-1,cpp,cpp:language:if
0,if,language,-1,c,c:language:if
0,if,language,-1,python,python:language:if
0,if,language,-1,zig,zig:language:if
0,if,language,-1,julia,julia:language:if
0,if,language,-1,nim,nim:language:if
0,if,language,-1,csharp,csharp:language:if
0,if,language,-1,java,java:language:if
0,if,language,-1,kotlin,kotlin:language:if
0,if,language,-1,swift,swift:language:if
1,while,language,2,go,go:language:while
1,while,language,2,rust,rust:language:while
1,while,language,2,cpp,cpp:language:while
1,while,language,2,c,c:language:while
1,while,language,2,python,python:language:while
1,while,language,2,zig,zig:language:while
1,while,language,2,julia,julia:language:while
1,while,language,2,nim,nim:language:while
1,while,language,2,csharp,csharp:language:while
1,while,language,2,java,java:language:while
1,while,language,2,kotlin,kotlin:language:while
1,while,language,2,swift,swift:language:while
2,for,language,3,go,go:language:for
2,for,language,3,rust,rust:language:for
2,for,language,3,cpp,cpp:language:for
2,for,language,3,c,c:language:for
2,for,language,3,python,python:language:for
2,for,language,3,zig,zig:language:for
2,for,language,3,julia,julia:language:for
2,for,language,3,nim,nim:language:for
2,for,language,3,csharp,csharp:language:for
2,for,language,3,java,java:language:for
2,for,language,3,kotlin,kotlin:language:for
2,for,language,3,swift,swift:language:for
3,repeat,language,1,go,go:language:repeat
3,repeat,language,1,rust,rust:language:repeat
3,repeat,language,1,cpp,cpp:language:repeat
3,repeat,language,1,c,c:language:repeat
3,repeat,language,1,python,python:language:repeat
3,repeat,language,1,zig,zig:language:repeat
3,repeat,language,1,julia,julia:language:repeat
3,repeat,language,1,nim,nim:language:repeat
3,repeat,language,1,csharp,csharp:language:repeat
3,repeat,language,1,java,java:language:repeat
3,repeat,language,1,kotlin,kotlin:language:repeat
3,repeat,language,1,swift,swift:language:repeat
4,break,language,0,go,go:language:break
4,break,language,0,rust,rust:language:break
4,break,language,0,cpp,cpp:language:break
4,break,language,0,c,c:language:break
4,break,language,0,python,python:language:break
4,break,language,0,zig,zig:language:break
4,break,language,0,julia,julia:language:break
4,break,language,0,nim,nim:language:break
4,break,language,0,csharp,csharp:language:break
4,break,language,0,java,java:language:break
4,break,language,0,kotlin,kotlin:language:break
4,break,language,0,swift,swift:language:break
5,next,language,0,go,go:language:next
5,next,language,0,rust,rust:language:next
5,next,language,0,cpp,cpp:language:next
5,next,language,0,c,c:language:next
5,next,language,0,python,python:language:next
5,next,language,0,zig,zig:language:next
5,next,language,0,julia,julia:language:next
5,next,language,0,nim,nim:language:next
5,next,language,0,csharp,csharp:language:next
5,next,language,0,java,java:language:next
5,next,language,0,kotlin,kotlin:language:next
5,next,language,0,swift,swift:language:next
6,return,language,-1,go,go:language:return
6,return,language,-1,rust,rust:language:return
6,return,language,-1,cpp,cpp:language:return
6,return,language,-1,c,c:language:return
6,return,language,-1,python,python:language:return
6,return,language,-1,zig,zig:language:return
6,return,language,-1,julia,julia:language:return
6,return,language,-1,nim,nim:language:return
6,return,language,-1,csharp,csharp:language:return
6,return,language,-1,java,java:language:return
6,return,language,-1,kotlin,kotlin:language:return
6,return,language,-1,swift,swift:language:return
7,function,language,-1,go,go:language:function
7,function,language,-1,rust,rust:language:function
7,function,language,-1,cpp,cpp:language:function
7,function,language,-1,c,c:language:function
7,function,language,-1,python,python:language:function
7,function,language,-1,zig,zig:language:function
7,function,language,-1,julia,julia:language:function
7,function,language,-1,nim,nim:language:function
7,function,language,-1,csharp,csharp:language:function
7,function,language,-1,java,java:language:function
7,function,language,-1,kotlin,kotlin:language:function
7,function,language,-1,swift,swift:language:function
8,<-,replacement,-1,go,go:replacement:<-
8,<-,replacement,-1,rust,rust:replacement:<-
8,<-,replacement,-1,cpp,cpp:replacement:<-
8,<-,replacement,-1,c,c:replacement:<-
8,<-,replacement,-1,python,python:replacement:<-
8,<-,replacement,-1,zig,zig:replacement:<-
8,<-,replacement,-1,julia,julia:replacement:<-
8,<-,replacement,-1,nim,nim:replacement:<-
8,<-,replacement,-1,csharp,csharp:replacement:<-
8,<-,replacement,-1,java,java:replacement:<-
8,<-,replacement,-1,kotlin,kotlin:replacement:<-
8,<-,replacement,-1,swift,swift:replacement:<-
9,=,language,-1,go,go:language:=
9,=,language,-1,rust,rust:language:=
9,=,language,-1,cpp,cpp:language:=
9,=,language,-1,c,c:language:=
9,=,language,-1,python,python:language:=
9,=,language,-1,zig,zig:language:=
9,=,language,-1,julia,julia:language:=
9,=,language,-1,nim,nim:language:=
9,=,language,-1,csharp,csharp:language:=
9,=,language,-1,java,java:language:=
9,=,language,-1,kotlin,kotlin:language:=
9,=,language,-1,swift,swift:language:=
10,<<-,replacement,-1,go,go:replacement:<<-
10,<<-,replacement,-1,rust,rust:replacement:<<-
10,<<-,replacement,-1,cpp,cpp:replacement:<<-
10,<<-,replacement,-1,c,c:replacement:<<-
10,<<-,replacement,-1,python,python:replacement:<<-
10,<<-,replacement,-1,zig,zig:replacement:<<-
10,<<-,replacement,-1,julia,julia:replacement:<<-
10,<<-,replacement,-1,nim,nim:replacement:<<-
10,<<-,replacement,-1,csharp,csharp:replacement:<<-
10,<<-,replacement,-1,java,java:replacement:<<-
10,<<-,replacement,-1,kotlin,kotlin:replacement:<<-
10,<<-,replacement,-1,swift,swift:replacement:<<-
11,{,language,-1,go,go:language:{
11,{,language,-1,rust,rust:language:{
11,{,language,-1,cpp,cpp:language:{
11,{,language,-1,c,c:language:{
11,{,language,-1,python,python:language:{
11,{,language,-1,zig,zig:language:{
11,{,language,-1,julia,julia:language:{
11,{,language,-1,nim,nim:language:{
11,{,language,-1,csharp,csharp:language:{
11,{,language,-1,java,java:language:{
11,{,language,-1,kotlin,kotlin:language:{
11,{,language,-1,swift,swift:language:{
12,(,language,1,go,go:language:(
12,(,language,1,rust,rust:language:(
12,(,language,1,cpp,cpp:language:(
12,(,language,1,c,c:language:(
12,(,language,1,python,python:language:(
12,(,language,1,zig,zig:language:(
12,(,language,1,julia,julia:language:(
12,(,language,1,nim,nim:language:(
12,(,language,1,csharp,csharp:language:(
12,(,language,1,java,java:language:(
12,(,language,1,kotlin,kotlin:language:(
12,(,language,1,swift,swift:language:(
13,.subset,subset,-1,go,go:subset:.subset
13,.subset,subset,-1,rust,rust:subset:.subset
13,.subset,subset,-1,cpp,cpp:subset:.subset
13,.subset,subset,-1,c,c:subset:.subset
13,.subset,subset,-1,python,python:subset:.subset
13,.subset,subset,-1,zig,zig:subset:.subset
13,.subset,subset,-1,julia,julia:subset:.subset
13,.subset,subset,-1,nim,nim:subset:.subset
13,.subset,subset,-1,csharp,csharp:subset:.subset
13,.subset,subset,-1,java,java:subset:.subset
13,.subset,subset,-1,kotlin,kotlin:subset:.subset
13,.subset,subset,-1,swift,swift:subset:.subset
14,.subset2,subset,-1,go,go:subset:.subset2
14,.subset2,subset,-1,rust,rust:subset:.subset2
14,.subset2,subset,-1,cpp,cpp:subset:.subset2
14,.subset2,subset,-1,c,c:subset:.subset2
14,.subset2,subset,-1,python,python:subset:.subset2
14,.subset2,subset,-1,zig,zig:subset:.subset2
14,.subset2,subset,-1,julia,julia:subset:.subset2
14,.subset2,subset,-1,nim,nim:subset:.subset2
14,.subset2,subset,-1,csharp,csharp:subset:.subset2
14,.subset2,subset,-1,java,java:subset:.subset2
14,.subset2,subset,-1,kotlin,kotlin:subset:.subset2
14,.subset2,subset,-1,swift,swift:subset:.subset2
15,[,subset,-1,go,go:subset:[
15,[,subset,-1,rust,rust:subset:[
15,[,subset,-1,cpp,cpp:subset:[
15,[,subset,-1,c,c:subset:[
15,[,subset,-1,python,python:subset:[
15,[,subset,-1,zig,zig:subset:[
15,[,subset,-1,julia,julia:subset:[
15,[,subset,-1,nim,nim:subset:[
15,[,subset,-1,csharp,csharp:subset:[
15,[,subset,-1,java,java:subset:[
