failure_id,case_id,feature,value
9890d7f4ac0ee00f4482dd495f8382dc41874fc8f2d2f5f36dffdecdce7930ef,b20961b78481663737fb9b51143ce7f7acbdfca587c3963db5a900f973f4fcb9,stage,V0_SOURCE_PARSE
9890d7f4ac0ee00f4482dd495f8382dc41874fc8f2d2f5f36dffdecdce7930ef,b20961b78481663737fb9b51143ce7f7acbdfca587c3963db5a900f973f4fcb9,class,FRONTEND
e89a833a9db8f833a9e41eb2e01ce9ff2a51fd83107c858dcdc87243c7b8ba7f,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,stage,V0_SOURCE_PARSE
e89a833a9db8f833a9e41eb2e01ce9ff2a51fd83107c858dcdc87243c7b8ba7f,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,class,FRONTEND
185822f181af63175382e301798ea08eab7bd4bdeda4fdfb259f1d1b4ec949e5,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,stage,V0_SOURCE_PARSE
185822f181af63175382e301798ea08eab7bd4bdeda4fdfb259f1d1b4ec949e5,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,class,FRONTEND
c943e09e4374ff815b1a8c3a5803c39e13436d2d22c1fcd5f4c3589d3d674e88,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,stage,V0_SOURCE_PARSE
c943e09e4374ff815b1a8c3a5803c39e13436d2d22c1fcd5f4c3589d3d674e88,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,class,FRONTEND
5fe2c3f2e77467f227809fa7e48129161d28290bfd67d0a096473ccaed68db58,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,stage,V0_SOURCE_PARSE
5fe2c3f2e77467f227809fa7e48129161d28290bfd67d0a096473ccaed68db58,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,class,FRONTEND
0e8b7396ed334a88b15e23b5ad088de0c414e59be663c08c6cd132c68c8902ac,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,stage,V0_SOURCE_PARSE
0e8b7396ed334a88b15e23b5ad088de0c414e59be663c08c6cd132c68c8902ac,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,class,FRONTEND
5670a17012adce389cc8009d83d87c9ed870f23b8cf00bdc5c856b6f77b11e30,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,stage,V0_SOURCE_PARSE
5670a17012adce389cc8009d83d87c9ed870f23b8cf00bdc5c856b6f77b11e30,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,class,FRONTEND
75783657edbda1d1a1b41bbda36a53433d845697710049dc9daf115454995636,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,stage,V0_SOURCE_PARSE
75783657edbda1d1a1b41bbda36a53433d845697710049dc9daf115454995636,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,class,FRONTEND
45a736e4ad20a3024be207cc5cb63b626fa904f693673ecfce708358b14d116a,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,stage,V0_SOURCE_PARSE
45a736e4ad20a3024be207cc5cb63b626fa904f693673ecfce708358b14d116a,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,class,FRONTEND
38d1bf214c342ff5fe69d12ffb00f968e8e03df39ccc9c2e4a16d55adebe6837,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,stage,V0_SOURCE_PARSE
38d1bf214c342ff5fe69d12ffb00f968e8e03df39ccc9c2e4a16d55adebe6837,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,class,FRONTEND
8984b4b348852029a29067b22cfb23df9cb53d6a29486501a8a3c6a3d1e9cbe2,aa56d5f435bbcfb229fae6433968b14ca4b12cd20d0ba8cd94507ad307e9d467,stage,V0_SOURCE_PARSE
