source,target,route
r,go,source_parser->R2Many_CIR->target_emitter
r,rust,source_parser->R2Many_CIR->target_emitter
r,cpp,source_parser->R2Many_CIR->target_emitter
r,c,source_parser->R2Many_CIR->target_emitter
r,python,source_parser->R2Many_CIR->target_emitter
r,zig,source_parser->R2Many_CIR->target_emitter
r,julia,source_parser->R2Many_CIR->target_emitter
r,nim,source_parser->R2Many_CIR->target_emitter
r,csharp,source_parser->R2Many_CIR->target_emitter
r,java,source_parser->R2Many_CIR->target_emitter
r,kotlin,source_parser->R2Many_CIR->target_emitter
r,swift,source_parser->R2Many_CIR->target_emitter
go,r,source_parser->R2Many_CIR->target_emitter
go,rust,source_parser->R2Many_CIR->target_emitter
go,cpp,source_parser->R2Many_CIR->target_emitter
go,c,source_parser->R2Many_CIR->target_emitter
go,python,source_parser->R2Many_CIR->target_emitter
go,zig,source_parser->R2Many_CIR->target_emitter
go,julia,source_parser->R2Many_CIR->target_emitter
go,nim,source_parser->R2Many_CIR->target_emitter
go,csharp,source_parser->R2Many_CIR->target_emitter
go,java,source_parser->R2Many_CIR->target_emitter
go,kotlin,source_parser->R2Many_CIR->target_emitter
go,swift,source_parser->R2Many_CIR->target_emitter
rust,r,source_parser->R2Many_CIR->target_emitter
rust,go,source_parser->R2Many_CIR->target_emitter
rust,cpp,source_parser->R2Many_CIR->target_emitter
rust,c,source_parser->R2Many_CIR->target_emitter
rust,python,source_parser->R2Many_CIR->target_emitter
rust,zig,source_parser->R2Many_CIR->target_emitter
rust,julia,source_parser->R2Many_CIR->target_emitter
rust,nim,source_parser->R2Many_CIR->target_emitter
rust,csharp,source_parser->R2Many_CIR->target_emitter
rust,java,source_parser->R2Many_CIR->target_emitter
rust,kotlin,source_parser->R2Many_CIR->target_emitter
rust,swift,source_parser->R2Many_CIR->target_emitter
cpp,r,source_parser->R2Many_CIR->target_emitter
cpp,go,source_parser->R2Many_CIR->target_emitter
cpp,rust,source_parser->R2Many_CIR->target_emitter
cpp,c,source_parser->R2Many_CIR->target_emitter
cpp,python,source_parser->R2Many_CIR->target_emitter
cpp,zig,source_parser->R2Many_CIR->target_emitter
cpp,julia,source_parser->R2Many_CIR->target_emitter
cpp,nim,source_parser->R2Many_CIR->target_emitter
cpp,csharp,source_parser->R2Many_CIR->target_emitter
cpp,java,source_parser->R2Many_CIR->target_emitter
cpp,kotlin,source_parser->R2Many_CIR->target_emitter
cpp,swift,source_parser->R2Many_CIR->target_emitter
c,r,source_parser->R2Many_CIR->target_emitter
c,go,source_parser->R2Many_CIR->target_emitter
c,rust,source_parser->R2Many_CIR->target_emitter
c,cpp,source_parser->R2Many_CIR->target_emitter
c,python,source_parser->R2Many_CIR->target_emitter
c,zig,source_parser->R2Many_CIR->target_emitter
c,julia,source_parser->R2Many_CIR->target_emitter
c,nim,source_parser->R2Many_CIR->target_emitter
c,csharp,source_parser->R2Many_CIR->target_emitter
c,java,source_parser->R2Many_CIR->target_emitter
