language,repository,supertype,subtype,subtype_named
go,tree-sitter/tree-sitter-go,_expression,binary_expression,True
go,tree-sitter/tree-sitter-go,_expression,call_expression,True
go,tree-sitter/tree-sitter-go,_expression,composite_literal,True
go,tree-sitter/tree-sitter-go,_expression,false,True
go,tree-sitter/tree-sitter-go,_expression,float_literal,True
go,tree-sitter/tree-sitter-go,_expression,func_literal,True
go,tree-sitter/tree-sitter-go,_expression,identifier,True
go,tree-sitter/tree-sitter-go,_expression,imaginary_literal,True
go,tree-sitter/tree-sitter-go,_expression,index_expression,True
go,tree-sitter/tree-sitter-go,_expression,int_literal,True
go,tree-sitter/tree-sitter-go,_expression,interpreted_string_literal,True
go,tree-sitter/tree-sitter-go,_expression,iota,True
go,tree-sitter/tree-sitter-go,_expression,nil,True
go,tree-sitter/tree-sitter-go,_expression,parenthesized_expression,True
go,tree-sitter/tree-sitter-go,_expression,raw_string_literal,True
go,tree-sitter/tree-sitter-go,_expression,rune_literal,True
go,tree-sitter/tree-sitter-go,_expression,selector_expression,True
go,tree-sitter/tree-sitter-go,_expression,slice_expression,True
go,tree-sitter/tree-sitter-go,_expression,true,True
go,tree-sitter/tree-sitter-go,_expression,type_assertion_expression,True
go,tree-sitter/tree-sitter-go,_expression,type_conversion_expression,True
go,tree-sitter/tree-sitter-go,_expression,type_instantiation_expression,True
go,tree-sitter/tree-sitter-go,_expression,unary_expression,True
go,tree-sitter/tree-sitter-go,_simple_statement,assignment_statement,True
go,tree-sitter/tree-sitter-go,_simple_statement,dec_statement,True
go,tree-sitter/tree-sitter-go,_simple_statement,expression_statement,True
go,tree-sitter/tree-sitter-go,_simple_statement,inc_statement,True
go,tree-sitter/tree-sitter-go,_simple_statement,send_statement,True
go,tree-sitter/tree-sitter-go,_simple_statement,short_var_declaration,True
go,tree-sitter/tree-sitter-go,_simple_type,array_type,True
go,tree-sitter/tree-sitter-go,_simple_type,channel_type,True
go,tree-sitter/tree-sitter-go,_simple_type,function_type,True
go,tree-sitter/tree-sitter-go,_simple_type,generic_type,True
go,tree-sitter/tree-sitter-go,_simple_type,interface_type,True
go,tree-sitter/tree-sitter-go,_simple_type,map_type,True
go,tree-sitter/tree-sitter-go,_simple_type,negated_type,True
go,tree-sitter/tree-sitter-go,_simple_type,pointer_type,True
go,tree-sitter/tree-sitter-go,_simple_type,qualified_type,True
go,tree-sitter/tree-sitter-go,_simple_type,slice_type,True
go,tree-sitter/tree-sitter-go,_simple_type,struct_type,True
go,tree-sitter/tree-sitter-go,_simple_type,type_identifier,True
go,tree-sitter/tree-sitter-go,_statement,_simple_statement,True
go,tree-sitter/tree-sitter-go,_statement,block,True
go,tree-sitter/tree-sitter-go,_statement,break_statement,True
go,tree-sitter/tree-sitter-go,_statement,const_declaration,True
go,tree-sitter/tree-sitter-go,_statement,continue_statement,True
go,tree-sitter/tree-sitter-go,_statement,defer_statement,True
go,tree-sitter/tree-sitter-go,_statement,empty_statement,True
go,tree-sitter/tree-sitter-go,_statement,expression_switch_statement,True
go,tree-sitter/tree-sitter-go,_statement,fallthrough_statement,True
go,tree-sitter/tree-sitter-go,_statement,for_statement,True
go,tree-sitter/tree-sitter-go,_statement,go_statement,True
go,tree-sitter/tree-sitter-go,_statement,goto_statement,True
go,tree-sitter/tree-sitter-go,_statement,if_statement,True
go,tree-sitter/tree-sitter-go,_statement,labeled_statement,True
go,tree-sitter/tree-sitter-go,_statement,return_statement,True
go,tree-sitter/tree-sitter-go,_statement,select_statement,True
go,tree-sitter/tree-sitter-go,_statement,type_declaration,True
go,tree-sitter/tree-sitter-go,_statement,type_switch_statement,True
go,tree-sitter/tree-sitter-go,_statement,var_declaration,True
go,tree-sitter/tree-sitter-go,_type,_simple_type,True
go,tree-sitter/tree-sitter-go,_type,parenthesized_type,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,associated_type,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,attribute_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,const_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,empty_statement,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,enum_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,extern_crate_declaration,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,foreign_mod_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,function_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,function_signature_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,impl_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,inner_attribute_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,let_declaration,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,macro_definition,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,macro_invocation,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,mod_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,static_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,struct_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,trait_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,type_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,union_item,True
rust,tree-sitter/tree-sitter-rust,_declaration_statement,use_declaration,True
rust,tree-sitter/tree-sitter-rust,_expression,_literal,True
rust,tree-sitter/tree-sitter-rust,_expression,array_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,assignment_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,async_block,True
rust,tree-sitter/tree-sitter-rust,_expression,await_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,binary_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,block,True
rust,tree-sitter/tree-sitter-rust,_expression,break_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,call_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,closure_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,compound_assignment_expr,True
rust,tree-sitter/tree-sitter-rust,_expression,const_block,True
rust,tree-sitter/tree-sitter-rust,_expression,continue_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,field_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,for_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,gen_block,True
rust,tree-sitter/tree-sitter-rust,_expression,generic_function,True
rust,tree-sitter/tree-sitter-rust,_expression,identifier,True
rust,tree-sitter/tree-sitter-rust,_expression,if_expression,True
