language,repository,file,capture
r,r-lib/tree-sitter-r,queries/highlights.scm,boolean
r,r-lib/tree-sitter-r,queries/highlights.scm,comment
r,r-lib/tree-sitter-r,queries/highlights.scm,conditional
r,r-lib/tree-sitter-r,queries/highlights.scm,constant.builtin
r,r-lib/tree-sitter-r,queries/highlights.scm,error
r,r-lib/tree-sitter-r,queries/highlights.scm,function
r,r-lib/tree-sitter-r,queries/highlights.scm,keyword
r,r-lib/tree-sitter-r,queries/highlights.scm,keyword.function
r,r-lib/tree-sitter-r,queries/highlights.scm,namespace
r,r-lib/tree-sitter-r,queries/highlights.scm,number
r,r-lib/tree-sitter-r,queries/highlights.scm,operator
r,r-lib/tree-sitter-r,queries/highlights.scm,punctuation.bracket
r,r-lib/tree-sitter-r,queries/highlights.scm,punctuation.delimiter
r,r-lib/tree-sitter-r,queries/highlights.scm,repeat
r,r-lib/tree-sitter-r,queries/highlights.scm,string
r,r-lib/tree-sitter-r,queries/highlights.scm,string.escape
r,r-lib/tree-sitter-r,queries/highlights.scm,variable
r,r-lib/tree-sitter-r,queries/highlights.scm,variable.parameter
r,r-lib/tree-sitter-r,queries/locals.scm,local.definition
r,r-lib/tree-sitter-r,queries/locals.scm,local.reference
r,r-lib/tree-sitter-r,queries/locals.scm,local.scope
r,r-lib/tree-sitter-r,queries/tags.scm,definition.function
r,r-lib/tree-sitter-r,queries/tags.scm,name
r,r-lib/tree-sitter-r,queries/tags.scm,reference.call
go,tree-sitter/tree-sitter-go,queries/highlights.scm,comment
go,tree-sitter/tree-sitter-go,queries/highlights.scm,constant.builtin
go,tree-sitter/tree-sitter-go,queries/highlights.scm,escape
go,tree-sitter/tree-sitter-go,queries/highlights.scm,function
go,tree-sitter/tree-sitter-go,queries/highlights.scm,function.builtin
go,tree-sitter/tree-sitter-go,queries/highlights.scm,function.method
go,tree-sitter/tree-sitter-go,queries/highlights.scm,keyword
go,tree-sitter/tree-sitter-go,queries/highlights.scm,number
go,tree-sitter/tree-sitter-go,queries/highlights.scm,operator
go,tree-sitter/tree-sitter-go,queries/highlights.scm,property
go,tree-sitter/tree-sitter-go,queries/highlights.scm,string
go,tree-sitter/tree-sitter-go,queries/highlights.scm,type
go,tree-sitter/tree-sitter-go,queries/highlights.scm,variable
go,tree-sitter/tree-sitter-go,queries/tags.scm,definition.function
go,tree-sitter/tree-sitter-go,queries/tags.scm,definition.method
go,tree-sitter/tree-sitter-go,queries/tags.scm,definition.type
go,tree-sitter/tree-sitter-go,queries/tags.scm,doc
go,tree-sitter/tree-sitter-go,queries/tags.scm,name
go,tree-sitter/tree-sitter-go,queries/tags.scm,reference.call
go,tree-sitter/tree-sitter-go,queries/tags.scm,reference.type
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,attribute
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,comment
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,comment.documentation
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,constant
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,constant.builtin
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,constructor
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,escape
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,function
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,function.macro
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,function.method
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,keyword
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,label
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,operator
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,property
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,punctuation.bracket
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,punctuation.delimiter
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,string
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,type
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,type.builtin
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,variable.builtin
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,variable.parameter
rust,tree-sitter/tree-sitter-rust,queries/injections.scm,injection.content
rust,tree-sitter/tree-sitter-rust,queries/tags.scm,definition.class
rust,tree-sitter/tree-sitter-rust,queries/tags.scm,definition.function
rust,tree-sitter/tree-sitter-rust,queries/tags.scm,definition.interface
rust,tree-sitter/tree-sitter-rust,queries/tags.scm,definition.macro
rust,tree-sitter/tree-sitter-rust,queries/tags.scm,definition.method
rust,tree-sitter/tree-sitter-rust,queries/tags.scm,definition.module
rust,tree-sitter/tree-sitter-rust,queries/tags.scm,name
rust,tree-sitter/tree-sitter-rust,queries/tags.scm,reference.call
rust,tree-sitter/tree-sitter-rust,queries/tags.scm,reference.implementation
cpp,tree-sitter/tree-sitter-cpp,queries/highlights.scm,constant
cpp,tree-sitter/tree-sitter-cpp,queries/highlights.scm,function
cpp,tree-sitter/tree-sitter-cpp,queries/highlights.scm,keyword
cpp,tree-sitter/tree-sitter-cpp,queries/highlights.scm,module
cpp,tree-sitter/tree-sitter-cpp,queries/highlights.scm,string
cpp,tree-sitter/tree-sitter-cpp,queries/highlights.scm,type
cpp,tree-sitter/tree-sitter-cpp,queries/highlights.scm,variable.builtin
cpp,tree-sitter/tree-sitter-cpp,queries/injections.scm,injection.content
cpp,tree-sitter/tree-sitter-cpp,queries/injections.scm,injection.language
cpp,tree-sitter/tree-sitter-cpp,queries/tags.scm,definition.class
cpp,tree-sitter/tree-sitter-cpp,queries/tags.scm,definition.function
cpp,tree-sitter/tree-sitter-cpp,queries/tags.scm,definition.method
