source_id,language,ecosystem,name,version,status,source_files,lines,source_bytes,downloaded_bytes,archive_sha256,duration_ms,source_deleted,error
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,FluxML/Flux.jl,404ff37d68d256a9ca0bb176ed119b631bc9cad8,ok,96,17138,591909,1294427,86fbd57f523fd536555ad192accd7a50367e225abe128d1fccc0775f528296e7,1406,true,
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,JuliaData/DataFrames.jl,d06ff9768ce91c5377d2c3625e7e1c7544208cc5,ok,73,57524,2347308,589302,99571cf0787c0ca93a00003b1f344bccfa35fd4fc6f91838b1e0345efb853239,2653,true,
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,TuringLang/Turing.jl,e6b358226f9a8b88c568353736c8a36d12455a33,ok,55,13479,495972,209602,0e62848dbdb8e3db46793de4c49edd85d1edfdf398ec4b3ac0c5712f1744a2bd,1058,true,
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,JuliaSymbolics/Symbolics.jl,219cd305597c7a8a25bffeeae57d203d0fa80113,ok,134,24456,843658,363368,b58e05086930b3bd2aa87342beacfef5c04ec5ccae02b2d77de2109ef4d4fd2a,1677,true,
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,JuliaLang/PackageCompiler.jl,d65ab15288709df482984c4049d97cee0cbc6acb,ok,13,2822,110884,202490,8a0c8024d805049bd59f8b288bce23e09c0615fd07af9099d2c92271e154240d,806,true,
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GenieFramework/Genie.jl,5a4e5f6972ea91c37c609e4bd972b92c8a51a850,ok,105,13815,423344,14661288,2a067286afe77a486e32963ea19075f53f73c12ffac69122b477bf13e320f002,3467,true,
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,nim-lang/nimble,605d325d676268e92534e003ae586925f3d42f57,ok,264,36405,1411473,1233644,81499a321e3bce5d4419faed961254ec8ce866e1bbe20f1ec4e55698bdab8c24,3373,true,
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,dom96/jester,8a491a8e28965ee9291f058963ff65571a315e84,ok,17,2734,82292,40699,14a169bfdd21996206ae81d2576f21b2e36568614801bd369147118abacd2d24,890,true,
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,yglukhov/nimpy,b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,ok,14,3326,109860,48455,0d3a3c6e15e7452fb64e9037bdf23c26ff984831d79b720ce1bdf76082446026,758,true,
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,mratsim/Arraymancer,d3b67712a3334ab4ded2809cc793e9cd7fed5fae,ok,317,48768,1801008,1559128,65139647636121a19cd988244f59596e7a2a54c44f2d76d6a9a100c8f4d1d01a,2513,true,
