language_id,normalized_signature,known_pattern_match,observed,package_count,file_count,occurrences,ecosystems
julia,@ID ID,1,1,6,61,146,github
julia,@ID ID . ID == NUM,1,1,6,27,107,github
julia,@ID STR,1,1,6,48,130,github
julia,@ID STR begin,1,1,6,166,1534,github
julia,ID :: ID,0,1,6,78,424,github
julia,ID :: ID { ID },0,1,6,26,40,github
julia,ID = ID [ ],0,1,6,42,112,github
julia,ID = [,0,1,6,21,38,github
julia,ID [ ID ] = ID,0,1,6,34,115,github
julia,"STR => STR ,",0,1,6,10,145,github
julia,"] ,",0,1,6,8,23,github
julia,catch ID,0,1,6,47,131,github
julia,elseif ID == STR,0,1,6,9,22,github
julia,"for ( ID , ID ) in ID",1,1,6,25,47,github
julia,"for ( ID , ID ) in ID ( ID )",1,1,6,39,80,github
julia,for ID in ID,1,1,6,93,222,github
julia,for ID in ID ( ID ),1,1,6,52,96,github
julia,for ID in NUM : ID,1,1,6,27,59,github
julia,function ID ( ID ),1,1,6,70,140,github
julia,"function ID ( ID , ID )",1,1,6,53,115,github
julia,function ID ( ID :: ID ),1,1,6,55,109,github
julia,"function ID ( ID :: ID , ID :: ID )",1,1,6,25,46,github
julia,if ! ID ( ID ),1,1,6,35,64,github
julia,if ID,1,1,6,65,164,github
julia,if ID != = ID,1,1,6,31,62,github
julia,if ID ( ID ),1,1,6,61,121,github
julia,"if ID ( ID , ID )",1,1,6,40,70,github
julia,if ID == = ID,1,1,6,32,63,github
julia,if ID == NUM,1,1,6,25,39,github
julia,if ID > NUM,1,1,6,17,32,github
julia,if ID isa ID,1,1,6,45,118,github
julia,module ID,1,1,6,132,135,github
julia,return ID,0,1,6,140,615,github
julia,return ID ( ID ),0,1,6,35,58,github
julia,"return ID ( ID , ID )",0,1,6,37,65,github
julia,struct ID,1,1,6,29,46,github
julia,using ID,1,1,6,164,397,github
julia,"using ID , ID",1,1,6,41,44,github
julia,@ID ID ( ID ),1,1,5,34,482,github
julia,@ID ID ( ID ) == NUM,1,1,5,35,165,github
julia,ID ( ID ) do ID,1,1,5,5,13,github
julia,ID ( ID :: ID ),0,1,5,26,63,github
julia,"ID :: ID = ID ,",0,1,5,23,101,github
julia,ID = ID ( ID ) do ID,1,1,5,16,21,github
julia,"ID = ID ( ID , STR => STR )",1,1,5,9,18,github
julia,ID = ID [ ID ],0,1,5,35,108,github
julia,ID = ID [ NUM ],0,1,5,29,43,github
julia,"ID = ID { ID , ID } ( )",0,1,5,17,23,github
julia,ID = ID { ID } ( ),0,1,5,15,23,github
julia,ID = [ ],0,1,5,26,45,github
julia,ID = try,1,1,5,16,50,github
julia,ID [ ] = ID,0,1,5,10,14,github
julia,STR => [,0,1,5,5,14,github
julia,for ID in NUM : ID ( ID ),1,1,5,32,61,github
julia,function ID ( ),1,1,5,34,70,github
julia,"function ID ( ID , ID , ID )",1,1,5,25,39,github
julia,"function ID ( ID :: ID , ID )",1,1,5,18,25,github
julia,"function ID ( ID :: ID , ID :: ID , ID :: ID )",1,1,5,14,16,github
julia,"function ID . ID ( ID :: ID , ID :: ID )",1,1,5,32,84,github
julia,if ! ID,1,1,5,24,62,github
julia,if ID == ID,1,1,5,9,13,github
julia,import ID,1,1,5,55,115,github
julia,return ID ( ),0,1,5,11,15,github
julia,"return ID , ID",0,1,5,39,94,github
julia,"using ID , ID , ID",1,1,5,13,13,github
julia,using ID . ID,1,1,5,15,21,github
julia,"using ID : ID , ID",1,1,5,38,46,github
julia,while ID,1,1,5,15,23,github
julia,! ! ! ID,0,1,4,12,23,github
julia,@ID ( STR ),1,1,4,7,34,github
julia,@ID ID != = ID,1,1,4,7,10,github
