language_id,semantic_a,semantic_b,coobserved,cooccurrence_count
julia,UASF_0022,UASF_0119,1,2
julia,UASF_0022,UASF_0217,1,2
julia,UASF_0022,UASF_0306,1,2
julia,UASF_0051,UASF_0119,1,6
julia,UASF_0051,UASF_0182,1,2
julia,UASF_0051,UASF_0217,1,3
julia,UASF_0051,UASF_0306,1,5
julia,UASF_0119,UASF_0151,1,23
julia,UASF_0119,UASF_0182,1,552
julia,UASF_0119,UASF_0183,1,12
julia,UASF_0119,UASF_0217,1,1003
julia,UASF_0119,UASF_0218,1,115
julia,UASF_0119,UASF_0302,1,18
julia,UASF_0119,UASF_0304,1,148
julia,UASF_0119,UASF_0305,1,57
julia,UASF_0119,UASF_0306,1,7760
julia,UASF_0119,UASF_0308,1,19
julia,UASF_0151,UASF_0182,1,5
julia,UASF_0151,UASF_0183,1,1
julia,UASF_0151,UASF_0217,1,1
julia,UASF_0151,UASF_0218,1,1
julia,UASF_0182,UASF_0183,1,43
julia,UASF_0182,UASF_0217,1,113
julia,UASF_0182,UASF_0218,1,569
julia,UASF_0182,UASF_0302,1,4
julia,UASF_0182,UASF_0304,1,27
julia,UASF_0182,UASF_0305,1,13
julia,UASF_0182,UASF_0306,1,373
julia,UASF_0182,UASF_0308,1,4
julia,UASF_0183,UASF_0217,1,11
julia,UASF_0183,UASF_0218,1,1
julia,UASF_0183,UASF_0304,1,8
julia,UASF_0183,UASF_0305,1,1
julia,UASF_0183,UASF_0306,1,39
julia,UASF_0217,UASF_0218,1,15
julia,UASF_0217,UASF_0305,1,3
julia,UASF_0217,UASF_0306,1,724
julia,UASF_0218,UASF_0302,1,1
julia,UASF_0218,UASF_0305,1,1
julia,UASF_0218,UASF_0306,1,90
julia,UASF_0302,UASF_0304,1,2
julia,UASF_0302,UASF_0305,1,1
julia,UASF_0302,UASF_0306,1,1
julia,UASF_0304,UASF_0305,1,5
julia,UASF_0304,UASF_0306,1,20
julia,UASF_0304,UASF_0308,1,1
