canonical_semantic_id,source_id,language,ecosystem,name,version
UASF_0014,cran:ADMM@0.3.4,r,cran,ADMM,0.3.4
UASF_0014,cran:ADSIHT@0.2.1,r,cran,ADSIHT,0.2.1
UASF_0014,cran:AhoCorasickTrie@0.1.3,r,cran,AhoCorasickTrie,0.1.3
UASF_0014,cran:BAREB@0.1.2,r,cran,BAREB,0.1.2
UASF_0014,cran:BCEE@1.3.2,r,cran,BCEE,1.3.2
UASF_0014,cran:BCT@1.3,r,cran,BCT,1.3
UASF_0014,cran:BDgraph@2.74,r,cran,BDgraph,2.74
UASF_0014,cran:BEDMatrix@2.0.4,r,cran,BEDMatrix,2.0.4
UASF_0014,cran:BHSBVAR@3.1.3,r,cran,BHSBVAR,3.1.3
UASF_0014,cran:BNPmix@1.2.3,r,cran,BNPmix,1.2.3
UASF_0014,cran:BORG@0.3.1,r,cran,BORG,0.3.1
UASF_0014,cran:BTM@0.3.8,r,cran,BTM,0.3.8
UASF_0014,cran:BayesMallowsSMC2@0.3.0,r,cran,BayesMallowsSMC2,0.3.0
UASF_0014,cran:BayesPIM@2.0,r,cran,BayesPIM,2.0
UASF_0014,cran:BayesPower@1.0.5,r,cran,BayesPower,1.0.5
UASF_0014,cran:Bchron@4.7.8,r,cran,Bchron,4.7.8
UASF_0014,cran:BondValuation@0.1.1,r,cran,BondValuation,0.1.1
UASF_0014,cran:COMIX@1.0.2,r,cran,COMIX,1.0.2
UASF_0014,cran:COMPoissonReg@0.8.2,r,cran,COMPoissonReg,0.8.2
UASF_0014,cran:CSeQTL@1.0.1,r,cran,CSeQTL,1.0.1
UASF_0014,cran:CUSUMdesign@1.1.8,r,cran,CUSUMdesign,1.1.8
UASF_0014,cran:ClusterStability@1.0.4,r,cran,ClusterStability,1.0.4
UASF_0014,cran:CoSMoS@2.2.0,r,cran,CoSMoS,2.2.0
UASF_0014,cran:CohortMethod@6.0.3,r,cran,CohortMethod,6.0.3
UASF_0014,cran:ConsReg@0.1.0,r,cran,ConsReg,0.1.0
UASF_0014,cran:CopulaGAMM@0.6.5,r,cran,CopulaGAMM,0.6.5
UASF_0014,cran:Countr@3.6.1,r,cran,Countr,3.6.1
UASF_0014,cran:Crossover@0.1-22,r,cran,Crossover,0.1-22
UASF_0014,cran:DALY@1.5.0,r,cran,DALY,1.5.0
UASF_0014,cran:DCluster@0.2-10,r,cran,DCluster,0.2-10
UASF_0014,cran:DGP4LCF@1.0.0.1,r,cran,DGP4LCF,1.0.0.1
UASF_0014,cran:DeCAFS@3.3.5,r,cran,DeCAFS,3.3.5
UASF_0014,cran:Delaporte@9.0.0,r,cran,Delaporte,9.0.0
UASF_0014,cran:DepthProc@2.1.6,r,cran,DepthProc,2.1.6
UASF_0014,cran:Dire@2.2.0,r,cran,Dire,2.2.0
UASF_0014,cran:DirichletRF@0.2.0,r,cran,DirichletRF,0.2.0
UASF_0014,cran:EDOtrans@0.3.5,r,cran,EDOtrans,0.3.5
UASF_0014,cran:EHRmuse@0.0.2.2,r,cran,EHRmuse,0.0.2.2
UASF_0014,cran:EMD@1.5.9,r,cran,EMD,1.5.9
UASF_0014,cran:EasyABC@1.6,r,cran,EasyABC,1.6
UASF_0014,cran:EloChoice@0.29.4,r,cran,EloChoice,0.29.4
UASF_0014,cran:EmpiricalCalibration@3.1.4,r,cran,EmpiricalCalibration,3.1.4
UASF_0014,cran:FLORAL@0.7.0,r,cran,FLORAL,0.7.0
UASF_0014,cran:FRESA.CAD@3.4.8,r,cran,FRESA.CAD,3.4.8
UASF_0014,cran:GENLIB@1.1.10,r,cran,GENLIB,1.1.10
UASF_0014,cran:GPBayes@0.1.0-6,r,cran,GPBayes,0.1.0-6
UASF_0014,cran:HACSim@1.0.7-1,r,cran,HACSim,1.0.7-1
UASF_0014,cran:HiClimR@2.2.1,r,cran,HiClimR,2.2.1
UASF_0014,cran:HiDimDA@0.2-7,r,cran,HiDimDA,0.2-7
UASF_0014,cran:IBGS@1.0.0,r,cran,IBGS,1.0.0
UASF_0014,cran:INLAspacetime@0.1.14,r,cran,INLAspacetime,0.1.14
UASF_0014,cran:Kendall@2.2.2,r,cran,Kendall,2.2.2
UASF_0014,cran:KeyboardSimulator@2.6.2,r,cran,KeyboardSimulator,2.6.2
UASF_0014,cran:L1pack@0.62-4,r,cran,L1pack,0.62-4
UASF_0014,cran:LMMsolver@1.0.13,r,cran,LMMsolver,1.0.13
UASF_0014,cran:LSJM@0.1.0,r,cran,LSJM,0.1.0
UASF_0014,cran:MFSD@0.1.1,r,cran,MFSD,0.1.1
UASF_0014,cran:MICsplines@1.0,r,cran,MICsplines,1.0
UASF_0014,cran:MNP@3.1-6,r,cran,MNP,3.1-6
UASF_0014,cran:MR.RGM@0.1.1,r,cran,MR.RGM,0.1.1
UASF_0014,cran:MVar.pt@2.3.0,r,cran,MVar.pt,2.3.0
UASF_0014,cran:MVar@2.3.0,r,cran,MVar,2.3.0
UASF_0014,cran:MixfMRI@0.1-4,r,cran,MixfMRI,0.1-4
UASF_0014,cran:MonoPoly@0.3-10,r,cran,MonoPoly,0.3-10
UASF_0014,cran:MorphSim@1.2.0,r,cran,MorphSim,1.2.0
UASF_0014,cran:MultOrdRS@0.1-3,r,cran,MultOrdRS,0.1-3
UASF_0014,cran:MultivariateRandomForest@1.1.5,r,cran,MultivariateRandomForest,1.1.5
UASF_0014,cran:NCutYX@0.1.0,r,cran,NCutYX,0.1.0
UASF_0014,cran:NSM3@1.20,r,cran,NSM3,1.20
UASF_0014,cran:NetworkInference@1.2.5,r,cran,NetworkInference,1.2.5
UASF_0014,cran:Opt5PL@0.1.1,r,cran,Opt5PL,0.1.1
UASF_0014,cran:PAGFL@1.1.4,r,cran,PAGFL,1.1.4
UASF_0014,cran:PAMmisc@1.13.0,r,cran,PAMmisc,1.13.0
UASF_0014,cran:PBSddesolve@1.13.7,r,cran,PBSddesolve,1.13.7
UASF_0014,cran:PBSmodelling@2.70.2,r,cran,PBSmodelling,2.70.2
UASF_0014,cran:PKPDsim@1.4.1,r,cran,PKPDsim,1.4.1
UASF_0014,cran:PPRL@0.3.9,r,cran,PPRL,0.3.9
UASF_0014,cran:PUlasso@3.2.6,r,cran,PUlasso,3.2.6
UASF_0014,cran:PanelSelect@1.0.1,r,cran,PanelSelect,1.0.1
UASF_0014,cran:PeakSegDP@2024.1.24,r,cran,PeakSegDP,2024.1.24
UASF_0014,cran:Peptides@2.4.6,r,cran,Peptides,2.4.6
UASF_0014,cran:PhylogeneticEM@1.8.1,r,cran,PhylogeneticEM,1.8.1
UASF_0014,cran:PoissonBinomial@1.2.8,r,cran,PoissonBinomial,1.2.8
UASF_0014,cran:PropClust@1.4-7,r,cran,PropClust,1.4-7
UASF_0014,cran:Qtools@1.6.0,r,cran,Qtools,1.6.0
UASF_0014,cran:RDSsamplesize@0.5.0,r,cran,RDSsamplesize,0.5.0
UASF_0014,cran:RMSS@1.2.4,r,cran,RMSS,1.2.4
UASF_0014,cran:RNetCDF@2.11-2,r,cran,RNetCDF,2.11-2
UASF_0014,cran:RODBC@1.3-26.2,r,cran,RODBC,1.3-26.2
UASF_0014,cran:ROKET@1.0.0,r,cran,ROKET,1.0.0
UASF_0014,cran:RVCompare@0.1.8,r,cran,RVCompare,0.1.8
UASF_0014,cran:RadEro@1.0.8,r,cran,RadEro,1.0.8
UASF_0014,cran:RandomForestsGLS@0.1.5,r,cran,RandomForestsGLS,0.1.5
UASF_0014,cran:RankAggreg@0.6.6,r,cran,RankAggreg,0.6.6
UASF_0014,cran:Rapi@1.0.6,r,cran,Rapi,1.0.6
UASF_0014,cran:RaschSampler@0.8-10,r,cran,RaschSampler,0.8-10
UASF_0014,cran:Rblpapi@0.3.16,r,cran,Rblpapi,0.3.16
UASF_0014,cran:Rborist@0.3-11,r,cran,Rborist,0.3-11
UASF_0014,cran:RcppDPR@0.1.10,r,cran,RcppDPR,0.1.10
UASF_0014,cran:RcppDynProg@0.2.1,r,cran,RcppDynProg,0.2.1
UASF_0014,cran:RcppEnsmallen@0.3.11.0.1,r,cran,RcppEnsmallen,0.3.11.0.1
UASF_0014,cran:RcppGSL@0.3.14,r,cran,RcppGSL,0.3.14
UASF_0014,cran:RcppGetconf@0.0.4,r,cran,RcppGetconf,0.0.4
UASF_0014,cran:RcppParallel@6.2.1,r,cran,RcppParallel,6.2.1
UASF_0014,cran:RcppXsimd@7.1.6-2,r,cran,RcppXsimd,7.1.6-2
UASF_0014,cran:ReacTran@1.4.3.2,r,cran,ReacTran,1.4.3.2
UASF_0014,cran:Rhobots@0.1.10,r,cran,Rhobots,0.1.10
UASF_0014,cran:Rlibeemd@1.4.4,r,cran,Rlibeemd,1.4.4
UASF_0014,cran:Rnanoflann@0.0.3,r,cran,Rnanoflann,0.0.3
UASF_0014,cran:RobustGaSP@0.6.8,r,cran,RobustGaSP,0.6.8
UASF_0014,cran:Rssa@1.1,r,cran,Rssa,1.1
UASF_0014,cran:Rsymphony@0.1-33,r,cran,Rsymphony,0.1-33
UASF_0014,cran:Rtinycc@0.1.15,r,cran,Rtinycc,0.1.15
UASF_0014,cran:Rtwobitlib@0.3.10,r,cran,Rtwobitlib,0.3.10
UASF_0014,cran:Rvcg@0.25,r,cran,Rvcg,0.25
UASF_0014,cran:Rvoterdistance@2.0.0,r,cran,Rvoterdistance,2.0.0
UASF_0014,cran:Rwofost@0.8-7,r,cran,Rwofost,0.8-7
UASF_0014,cran:Ryacas@1.1.6,r,cran,Ryacas,1.1.6
UASF_0014,cran:SCEPtERbinary@0.1-1,r,cran,SCEPtERbinary,0.1-1
UASF_0014,cran:SCORNET@0.1.1,r,cran,SCORNET,0.1.1
UASF_0014,cran:SILGGM@1.0.0,r,cran,SILGGM,1.0.0
UASF_0014,cran:SK4FGA@0.1.1,r,cran,SK4FGA,0.1.1
UASF_0014,cran:SMASH@1.0.0,r,cran,SMASH,1.0.0
UASF_0014,cran:SPECIES@1.2.0,r,cran,SPECIES,1.2.0
UASF_0014,cran:STARTdesign@1.0,r,cran,STARTdesign,1.0
UASF_0014,cran:SearchTrees@0.5.5,r,cran,SearchTrees,0.5.5
UASF_0014,cran:SelectSim@0.1.6,r,cran,SelectSim,0.1.6
UASF_0022,github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GenieFramework/Genie.jl,5a4e5f6972ea91c37c609e4bd972b92c8a51a850
UASF_0022,github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,JuliaLang/PackageCompiler.jl,d65ab15288709df482984c4049d97cee0cbc6acb
UASF_0022,github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,JuliaSymbolics/Symbolics.jl,219cd305597c7a8a25bffeeae57d203d0fa80113
UASF_0022,github:ghostty-org/ghostty@20abdb50a6216c450d6d4d010c41c7edf5ab15b2,zig,github,ghostty-org/ghostty,20abdb50a6216c450d6d4d010c41c7edf5ab15b2
UASF_0022,github:lightpanda-io/browser@1c12eb73a819b89b592aa0d5b8490504216c300c,zig,github,lightpanda-io/browser,1c12eb73a819b89b592aa0d5b8490504216c300c
UASF_0022,github:mitchellh/libxev@9ce8e8e6ff89e583258a7f8e7adeeeaeae8611bf,zig,github,mitchellh/libxev,9ce8e8e6ff89e583258a7f8e7adeeeaeae8611bf
UASF_0022,github:tigerbeetle/tigerbeetle@47aeb2212a255273dda508288412e537d11e4b7c,zig,github,tigerbeetle/tigerbeetle,47aeb2212a255273dda508288412e537d11e4b7c
UASF_0022,github:zigtools/zls@8da87d4f3305a550e7b739bad764e34bf1e46a08,zig,github,zigtools/zls,8da87d4f3305a550e7b739bad764e34bf1e46a08
UASF_0024,github:ghostty-org/ghostty@20abdb50a6216c450d6d4d010c41c7edf5ab15b2,zig,github,ghostty-org/ghostty,20abdb50a6216c450d6d4d010c41c7edf5ab15b2
UASF_0024,github:lightpanda-io/browser@1c12eb73a819b89b592aa0d5b8490504216c300c,zig,github,lightpanda-io/browser,1c12eb73a819b89b592aa0d5b8490504216c300c
UASF_0024,github:mitchellh/libxev@9ce8e8e6ff89e583258a7f8e7adeeeaeae8611bf,zig,github,mitchellh/libxev,9ce8e8e6ff89e583258a7f8e7adeeeaeae8611bf
UASF_0024,github:tigerbeetle/tigerbeetle@47aeb2212a255273dda508288412e537d11e4b7c,zig,github,tigerbeetle/tigerbeetle,47aeb2212a255273dda508288412e537d11e4b7c
UASF_0024,github:zigtools/zls@8da87d4f3305a550e7b739bad764e34bf1e46a08,zig,github,zigtools/zls,8da87d4f3305a550e7b739bad764e34bf1e46a08
UASF_0026,github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,karaxnim/karax,fa5fdef42b3dd290880b3e4892e52385b892cfcb
UASF_0026,github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,mratsim/Arraymancer,d3b67712a3334ab4ded2809cc793e9cd7fed5fae
UASF_0026,github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,nim-lang/nimble,605d325d676268e92534e003ae586925f3d42f57
UASF_0026,github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,planety/prologue,01edc251595ff696045a4c38c5034d145bd0fe89
UASF_0026,github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,yglukhov/nimpy,b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3
UASF_0042,cran:ABSurvTDC@0.1.0,r,cran,ABSurvTDC,0.1.0
UASF_0042,cran:ARPALData@2.0.1,r,cran,ARPALData,2.0.1
UASF_0042,cran:AdhereRViz@0.2.2,r,cran,AdhereRViz,0.2.2
UASF_0042,cran:AmigaFFH@0.4.8,r,cran,AmigaFFH,0.4.8
UASF_0042,cran:AmpGram@1.0,r,cran,AmpGram,1.0
UASF_0042,cran:AzureVM@2.2.2,r,cran,AzureVM,2.2.2
UASF_0042,cran:BASiNET@0.0.5,r,cran,BASiNET,0.0.5
UASF_0042,cran:BIOMASS@2.2.7-1,r,cran,BIOMASS,2.2.7-1
UASF_0042,cran:BORG@0.3.1,r,cran,BORG,0.3.1
UASF_0042,cran:BayesMultiMode@1.0.0,r,cran,BayesMultiMode,1.0.0
UASF_0042,cran:BayesPIM@2.0,r,cran,BayesPIM,2.0
UASF_0042,cran:BayesPower@1.0.5,r,cran,BayesPower,1.0.5
UASF_0042,cran:CGE@0.3.3,r,cran,CGE,0.3.3
UASF_0042,cran:Certara.RsNLME@3.1.1,r,cran,Certara.RsNLME,3.1.1
UASF_0042,cran:Clustering@1.7.10,r,cran,Clustering,1.7.10
UASF_0042,cran:CollocInfer@1.0.5,r,cran,CollocInfer,1.0.5
UASF_0042,cran:CorrectOverloadedPeaks@1.3.5,r,cran,CorrectOverloadedPeaks,1.3.5
UASF_0042,cran:CpGFilter@1.1,r,cran,CpGFilter,1.1
UASF_0042,cran:DDESONN@7.1.11,r,cran,DDESONN,7.1.11
UASF_0042,cran:DSIR@0.9.0,r,cran,DSIR,0.9.0
UASF_0042,cran:Dire@2.2.0,r,cran,Dire,2.2.0
UASF_0042,cran:DistributionOptimization@1.2.6,r,cran,DistributionOptimization,1.2.6
UASF_0042,cran:EDCimport@0.7.0,r,cran,EDCimport,0.7.0
UASF_0042,cran:EVI@0.2.0-0,r,cran,EVI,0.2.0-0
UASF_0042,cran:EasyABC@1.6,r,cran,EasyABC,1.6
UASF_0042,cran:ErrorTracer@1.3.1,r,cran,ErrorTracer,1.3.1
UASF_0042,cran:FastRWeb@1.2-3,r,cran,FastRWeb,1.2-3
UASF_0042,cran:GANPA@1.2,r,cran,GANPA,1.2
UASF_0042,cran:GENLIB@1.1.10,r,cran,GENLIB,1.1.10
UASF_0042,cran:GroupSeq@1.4.3,r,cran,GroupSeq,1.4.3
UASF_0042,cran:HACSim@1.0.7-1,r,cran,HACSim,1.0.7-1
UASF_0042,cran:HARplus@1.2.0,r,cran,HARplus,1.2.0
UASF_0042,cran:HCD@1.0,r,cran,HCD,1.0
UASF_0042,cran:ICSShiny@0.6,r,cran,ICSShiny,0.6
UASF_0042,cran:IncidencePrevalence@1.2.1,r,cran,IncidencePrevalence,1.2.1
UASF_0042,cran:IsoriX@0.9.4,r,cran,IsoriX,0.9.4
UASF_0042,cran:LifeTableFertility@0.1.1,r,cran,LifeTableFertility,0.1.1
UASF_0042,cran:MCPtests@1.0.1,r,cran,MCPtests,1.0.1
UASF_0042,cran:MIIVsem@0.5.8,r,cran,MIIVsem,0.5.8
