language_id,source_feature_a,source_feature_b,coobserved,cooccurrence_count
julia,GEN::closure_lambda,GEN::comprehension,1,15
julia,GEN::closure_lambda,GEN::exception_try,1,1
julia,GEN::closure_lambda,GEN::ffi,1,2
julia,GEN::closure_lambda,GEN::for,1,57
julia,GEN::closure_lambda,GEN::function,1,724
julia,GEN::closure_lambda,GEN::generic,1,3
julia,GEN::closure_lambda,GEN::if,1,56
julia,GEN::closure_lambda,GEN::macro,1,1003
julia,GEN::closure_lambda,GEN::scope,1,3
julia,GEN::closure_lambda,GEN::task_async,1,1
julia,GEN::closure_lambda,GEN::throw_raise,1,10
julia,GEN::comprehension,GEN::constant,1,1
julia,GEN::comprehension,GEN::for,1,538
julia,GEN::comprehension,GEN::function,1,90
julia,GEN::comprehension,GEN::generic,1,1
julia,GEN::comprehension,GEN::if,1,31
julia,GEN::comprehension,GEN::macro,1,115
julia,GEN::comprehension,GEN::task_async,1,1
julia,GEN::comprehension,GEN::throw_raise,1,1
julia,GEN::constant,GEN::for,1,1
julia,GEN::constant,GEN::function,1,1
julia,GEN::constant,GEN::generic,1,1
julia,GEN::constant,GEN::if,1,3
julia,GEN::constant,GEN::import,1,2
julia,GEN::constant,GEN::macro,1,18
julia,GEN::exception_try,GEN::import,1,1
julia,GEN::exception_try,GEN::macro,1,6
julia,GEN::exception_try,GEN::task_async,1,1
julia,GEN::ffi,GEN::function,1,2
julia,GEN::ffi,GEN::macro,1,2
julia,GEN::for,GEN::function,1,185
julia,GEN::for,GEN::generic,1,10
julia,GEN::for,GEN::if,1,64
julia,GEN::for,GEN::import,1,16
julia,GEN::for,GEN::macro,1,502
julia,GEN::for,GEN::module,1,6
julia,GEN::for,GEN::scope,1,2
julia,GEN::for,GEN::struct,1,2
julia,GEN::for,GEN::task_async,1,3
julia,GEN::for,GEN::throw_raise,1,26
julia,GEN::function,GEN::generic,1,193
julia,GEN::function,GEN::if,1,188
julia,GEN::function,GEN::import,1,15
julia,GEN::function,GEN::macro,1,7760
julia,GEN::function,GEN::module,1,5
julia,GEN::function,GEN::scope,1,5
julia,GEN::function,GEN::throw_raise,1,39
julia,GEN::generic,GEN::if,1,3
julia,GEN::generic,GEN::import,1,2
julia,GEN::generic,GEN::macro,1,57
julia,GEN::generic,GEN::module,1,3
julia,GEN::generic,GEN::throw_raise,1,1
julia,GEN::if,GEN::import,1,5
julia,GEN::if,GEN::macro,1,46
julia,GEN::if,GEN::struct,1,2
julia,GEN::if,GEN::task_async,1,2
julia,GEN::if,GEN::throw_raise,1,17
julia,GEN::if,GEN::while,1,1
julia,GEN::import,GEN::macro,1,146
julia,GEN::import,GEN::module,1,4
julia,GEN::import,GEN::struct,1,1
julia,GEN::import,GEN::throw_raise,1,7
julia,GEN::macro,GEN::module,1,2
julia,GEN::macro,GEN::scope,1,6
julia,GEN::macro,GEN::struct,1,19
julia,GEN::macro,GEN::task_async,1,23
julia,GEN::macro,GEN::throw_raise,1,6
julia,GEN::macro,GEN::while,1,4
nim,GEN::closure_lambda,GEN::compile_time_eval,1,5
nim,GEN::closure_lambda,GEN::import,1,5
