source_id,language,ecosystem,canonical_semantic_id,observed,source_feature_count,occurrences
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,UASF_0302,1,1,59
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,UASF_0308,1,1,109
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,UASF_0183,1,2,59
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,UASF_0306,1,1,1570
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,UASF_0182,1,3,534
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,UASF_0119,1,1,2292
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,UASF_0304,1,2,233
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,UASF_0218,1,1,58
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,UASF_0051,1,1,38
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,UASF_0151,1,1,2
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,UASF_0217,1,1,390
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,UASF_0305,1,1,115
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,UASF_0183,1,2,511
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,UASF_0304,1,2,172
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,UASF_0182,1,3,2805
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,UASF_0218,1,1,249
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,UASF_0305,1,1,83
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,UASF_0151,1,1,13
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,UASF_0217,1,1,1700
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,UASF_0306,1,1,7721
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,UASF_0308,1,1,45
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,UASF_0302,1,1,64
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,UASF_0119,1,1,15808
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,UASF_0051,1,1,34
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,UASF_0217,1,1,59
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,UASF_0306,1,1,853
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,UASF_0308,1,1,81
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,UASF_0305,1,1,40
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,UASF_0119,1,1,1443
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,UASF_0183,1,2,33
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,UASF_0182,1,3,554
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,UASF_0051,1,1,9
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,UASF_0218,1,1,68
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,UASF_0304,1,2,418
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,UASF_0302,1,1,18
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,UASF_0119,1,1,3744
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,UASF_0183,1,2,44
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,UASF_0022,1,1,2
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,UASF_0182,1,3,1473
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,UASF_0217,1,1,331
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,UASF_0306,1,1,2224
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,UASF_0218,1,1,142
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,UASF_0304,1,2,479
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,UASF_0051,1,1,110
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,UASF_0302,1,1,77
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,UASF_0305,1,1,218
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,UASF_0308,1,1,79
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,UASF_0182,1,3,218
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,UASF_0306,1,1,120
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,UASF_0302,1,1,23
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,UASF_0308,1,1,5
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,UASF_0218,1,1,4
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,UASF_0183,1,2,21
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,UASF_0022,1,1,2
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,UASF_0305,1,1,7
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,UASF_0051,1,1,1
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,UASF_0217,1,1,27
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,UASF_0304,1,2,49
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,UASF_0119,1,1,155
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,UASF_0119,1,1,960
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,UASF_0051,1,1,7
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,UASF_0182,1,3,548
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,UASF_0217,1,1,148
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,UASF_0183,1,2,142
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,UASF_0304,1,2,467
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,UASF_0022,1,1,2
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,UASF_0302,1,1,145
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,UASF_0306,1,1,871
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,UASF_0308,1,1,38
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,UASF_0218,1,1,17
