canonical_semantic_id,element_type,element_id
UASF_0001,facet,UASF_0001
UASF_0002,facet,UASF_0002
UASF_0003,facet,UASF_0003
UASF_0004,facet,UASF_0004
UASF_0005,facet,UASF_0005
UASF_0006,facet,UASF_0006
UASF_0007,facet,UASF_0007
UASF_0008,facet,UASF_0008
UASF_0009,facet,UASF_0009
UASF_0010,facet,UASF_0010
UASF_0011,facet,UASF_0011
UASF_0012,facet,UASF_0012
UASF_0013,facet,UASF_0013
UASF_0014,facet,UASF_0014
UASF_0015,facet,UASF_0015
UASF_0016,facet,UASF_0016
UASF_0017,facet,UASF_0017
UASF_0018,facet,UASF_0018
UASF_0019,facet,UASF_0019
UASF_0020,facet,UASF_0020
UASF_0021,facet,UASF_0021
UASF_0022,facet,UASF_0022
UASF_0023,facet,UASF_0023
UASF_0024,facet,UASF_0024
UASF_0025,facet,UASF_0025
UASF_0026,facet,UASF_0026
UASF_0027,facet,UASF_0027
UASF_0028,facet,UASF_0028
UASF_0029,facet,UASF_0029
UASF_0030,facet,UASF_0030
UASF_0031,facet,UASF_0031
UASF_0032,facet,UASF_0032
UASF_0033,facet,UASF_0033
UASF_0034,facet,UASF_0034
UASF_0035,facet,UASF_0035
UASF_0036,facet,UASF_0036
UASF_0037,facet,UASF_0037
UASF_0038,facet,UASF_0038
UASF_0039,facet,UASF_0039
UASF_0040,facet,UASF_0040
UASF_0041,facet,UASF_0041
UASF_0042,facet,UASF_0042
UASF_0043,facet,UASF_0043
UASF_0044,facet,UASF_0044
UASF_0045,facet,UASF_0045
UASF_0046,facet,UASF_0046
UASF_0047,facet,UASF_0047
UASF_0048,facet,UASF_0048
UASF_0049,facet,UASF_0049
UASF_0050,facet,UASF_0050
UASF_0051,facet,UASF_0051
UASF_0052,facet,UASF_0052
UASF_0053,facet,UASF_0053
UASF_0054,facet,UASF_0054
UASF_0055,facet,UASF_0055
UASF_0056,facet,UASF_0056
UASF_0057,facet,UASF_0057
UASF_0058,facet,UASF_0058
UASF_0059,facet,UASF_0059
UASF_0060,facet,UASF_0060
UASF_0061,facet,UASF_0061
UASF_0062,facet,UASF_0062
UASF_0063,facet,UASF_0063
UASF_0064,facet,UASF_0064
UASF_0065,facet,UASF_0065
UASF_0066,facet,UASF_0066
UASF_0067,facet,UASF_0067
UASF_0068,facet,UASF_0068
UASF_0069,facet,UASF_0069
UASF_0070,facet,UASF_0070
UASF_0071,facet,UASF_0071
UASF_0072,facet,UASF_0072
UASF_0073,facet,UASF_0073
UASF_0074,facet,UASF_0074
UASF_0075,facet,UASF_0075
UASF_0076,facet,UASF_0076
UASF_0077,facet,UASF_0077
UASF_0078,facet,UASF_0078
UASF_0079,facet,UASF_0079
UASF_0080,facet,UASF_0080
UASF_0081,facet,UASF_0081
UASF_0082,facet,UASF_0082
UASF_0083,facet,UASF_0083
UASF_0084,facet,UASF_0084
UASF_0085,facet,UASF_0085
UASF_0086,facet,UASF_0086
UASF_0087,facet,UASF_0087
UASF_0088,facet,UASF_0088
UASF_0089,facet,UASF_0089
UASF_0090,facet,UASF_0090
UASF_0091,facet,UASF_0091
UASF_0092,facet,UASF_0092
UASF_0093,facet,UASF_0093
UASF_0094,facet,UASF_0094
UASF_0095,facet,UASF_0095
