canonical_semantic_id,canonical,conflict,already_uast
UASF_0001,true,false,false
UASF_0002,true,false,false
UASF_0003,true,false,false
UASF_0004,true,false,false
UASF_0005,true,false,false
UASF_0006,true,false,false
UASF_0007,true,false,false
UASF_0008,true,false,false
UASF_0009,true,false,false
UASF_0010,true,false,false
UASF_0011,true,false,false
UASF_0012,true,false,false
UASF_0013,true,false,false
UASF_0014,true,false,false
UASF_0015,true,false,false
UASF_0016,true,false,false
UASF_0017,true,false,false
UASF_0018,true,false,false
UASF_0019,true,false,false
UASF_0020,true,false,false
UASF_0021,true,false,false
UASF_0022,true,false,false
UASF_0023,true,false,false
UASF_0024,true,false,false
UASF_0025,true,false,false
UASF_0026,true,false,false
UASF_0027,true,false,false
UASF_0028,true,false,false
UASF_0029,true,false,false
UASF_0030,true,false,false
UASF_0031,true,false,false
UASF_0032,true,false,false
UASF_0033,true,false,false
UASF_0034,true,false,false
UASF_0035,true,false,false
UASF_0036,true,false,false
UASF_0037,true,false,false
UASF_0038,true,false,false
UASF_0039,true,false,false
UASF_0040,true,false,false
UASF_0041,true,false,false
UASF_0042,true,false,false
UASF_0043,true,false,false
UASF_0044,true,false,false
UASF_0045,true,false,false
UASF_0046,true,false,false
UASF_0047,true,false,false
UASF_0048,true,false,false
UASF_0049,true,false,false
UASF_0050,true,false,false
UASF_0051,true,false,true
UASF_0052,true,false,false
UASF_0053,true,false,false
UASF_0054,true,false,true
UASF_0055,true,false,false
UASF_0056,true,false,false
UASF_0057,true,false,false
UASF_0058,true,false,false
UASF_0059,true,false,false
UASF_0060,true,false,false
UASF_0061,true,false,false
UASF_0062,true,false,false
UASF_0063,true,false,false
UASF_0064,true,false,false
UASF_0065,true,false,false
UASF_0066,true,false,false
UASF_0067,true,false,false
UASF_0068,true,false,false
UASF_0069,true,false,false
UASF_0070,true,false,false
UASF_0071,true,false,false
UASF_0072,true,false,false
UASF_0073,true,false,false
UASF_0074,true,false,false
UASF_0075,true,false,false
UASF_0076,true,false,false
UASF_0077,true,false,false
UASF_0078,true,false,false
UASF_0079,true,false,false
UASF_0080,true,false,false
UASF_0081,true,false,false
UASF_0082,true,false,false
UASF_0083,true,false,false
UASF_0084,true,false,false
UASF_0085,true,false,false
UASF_0086,true,false,false
UASF_0087,true,false,false
UASF_0088,true,false,false
UASF_0089,true,false,false
UASF_0090,true,false,false
UASF_0091,true,false,false
UASF_0092,true,false,false
UASF_0093,true,false,false
UASF_0094,true,false,false
UASF_0095,true,false,false
UASF_0096,true,false,false
UASF_0097,true,false,false
UASF_0098,true,false,false
UASF_0099,true,false,false
UASF_0100,true,false,false
UASF_0101,true,false,false
UASF_0102,true,false,false
UASF_0103,true,false,false
UASF_0104,true,false,false
UASF_0105,true,false,false
UASF_0106,true,false,false
UASF_0107,true,false,false
UASF_0108,true,false,false
UASF_0109,true,false,false
UASF_0110,true,false,false
UASF_0111,true,false,false
UASF_0112,true,false,false
UASF_0113,true,false,false
UASF_0114,true,false,false
UASF_0115,true,false,false
UASF_0116,true,false,false
UASF_0117,true,false,false
UASF_0118,true,false,false
UASF_0119,true,false,false
UASF_0120,true,false,false
UASF_0121,true,false,false
UASF_0122,true,false,false
UASF_0123,true,false,false
UASF_0124,true,false,false
UASF_0125,true,false,false
UASF_0126,true,false,false
UASF_0127,true,false,false
UASF_0128,true,false,false
UASF_0129,true,false,false
UASF_0130,true,false,false
UASF_0131,true,false,false
UASF_0132,true,false,false
UASF_0133,true,false,false
UASF_0134,true,false,false
UASF_0135,true,false,false
UASF_0136,true,false,false
UASF_0137,true,false,false
UASF_0138,true,false,false
UASF_0139,true,false,false
UASF_0140,true,false,false
UASF_0141,true,false,false
UASF_0142,true,false,false
UASF_0143,true,false,false
UASF_0144,true,false,false
UASF_0145,true,false,false
UASF_0146,true,false,false
UASF_0147,true,false,false
UASF_0148,true,false,false
UASF_0149,true,false,false
UASF_0150,true,false,false
UASF_0151,true,false,false
UASF_0152,true,false,false
UASF_0153,true,false,false
UASF_0154,true,false,false
UASF_0155,true,false,false
UASF_0156,true,false,false
UASF_0157,true,false,false
UASF_0158,true,false,false
UASF_0159,true,false,false
UASF_0160,true,false,false
UASF_0161,true,false,false
UASF_0162,true,false,false
UASF_0163,true,false,false
UASF_0164,true,false,false
UASF_0165,true,false,false
UASF_0166,true,false,false
UASF_0167,true,false,false
UASF_0168,true,false,false
UASF_0169,true,false,false
UASF_0170,true,false,false
UASF_0171,true,false,false
UASF_0172,true,false,false
UASF_0173,true,false,false
UASF_0174,true,false,false
UASF_0175,true,false,false
UASF_0176,true,false,false
UASF_0177,true,false,false
UASF_0178,true,false,false
UASF_0179,true,false,true
UASF_0180,true,false,true
UASF_0181,true,false,true
UASF_0182,true,false,true
UASF_0183,true,false,false
UASF_0184,true,false,false
UASF_0185,true,false,false
UASF_0186,true,false,false
UASF_0187,true,false,false
UASF_0188,true,false,false
UASF_0189,true,false,false
UASF_0190,true,false,false
UASF_0191,true,false,false
UASF_0192,true,false,false
UASF_0193,true,false,false
UASF_0194,true,false,false
UASF_0195,true,false,false
UASF_0196,true,false,false
UASF_0197,true,false,false
UASF_0198,true,false,false
UASF_0199,true,false,false
UASF_0200,true,false,false
UASF_0201,true,false,false
UASF_0202,true,false,false
UASF_0203,true,false,false
UASF_0204,true,false,false
UASF_0205,true,false,false
UASF_0206,true,false,false
UASF_0207,true,false,false
UASF_0208,true,false,false
UASF_0209,true,false,false
UASF_0210,true,false,false
UASF_0211,true,false,false
UASF_0212,true,false,false
UASF_0213,true,false,false
UASF_0214,true,false,false
UASF_0215,true,false,false
UASF_0216,true,false,false
UASF_0217,true,false,true
UASF_0218,true,false,false
UASF_0219,true,false,true
UASF_0220,true,false,true
UASF_0221,true,false,true
UASF_0222,true,false,false
UASF_0223,true,false,false
UASF_0224,true,false,true
UASF_0225,true,false,true
UASF_0226,true,false,false
UASF_0227,true,false,false
UASF_0228,true,false,false
UASF_0229,true,false,false
UASF_0230,true,false,false
UASF_0231,true,false,false
UASF_0232,true,false,false
UASF_0233,true,false,false
UASF_0234,true,false,false
UASF_0235,true,false,false
UASF_0236,true,false,true
UASF_0237,true,false,false
UASF_0238,true,false,false
UASF_0239,true,false,false
UASF_0240,true,false,false
UASF_0241,true,false,false
UASF_0242,true,false,false
UASF_0243,true,false,false
UASF_0244,true,false,false
UASF_0245,true,false,false
UASF_0246,true,false,false
UASF_0247,true,false,false
UASF_0248,true,false,false
UASF_0249,true,false,false
UASF_0250,true,false,false
UASF_0251,true,false,false
UASF_0252,true,false,false
UASF_0253,true,false,false
UASF_0254,true,false,false
UASF_0255,true,false,false
UASF_0256,true,false,false
UASF_0257,true,false,false
UASF_0258,true,false,false
UASF_0259,true,false,false
UASF_0260,true,false,false
UASF_0261,true,false,false
UASF_0262,true,false,false
UASF_0263,true,false,false
UASF_0264,true,false,false
UASF_0265,true,false,false
UASF_0266,true,false,false
UASF_0267,true,false,false
UASF_0268,true,false,false
UASF_0269,true,false,false
UASF_0270,true,false,false
UASF_0271,true,false,false
UASF_0272,true,false,false
UASF_0273,true,false,false
UASF_0274,true,false,false
UASF_0275,true,false,false
UASF_0276,true,false,false
UASF_0277,true,false,false
UASF_0278,true,false,false
UASF_0279,true,false,false
UASF_0280,true,false,false
UASF_0281,true,false,false
UASF_0282,true,false,false
UASF_0283,true,false,false
UASF_0284,true,false,false
UASF_0285,true,false,false
UASF_0286,true,false,false
UASF_0287,true,false,false
UASF_0288,true,false,false
UASF_0289,true,false,false
UASF_0290,true,false,false
UASF_0291,true,false,false
UASF_0292,true,false,false
UASF_0293,true,false,false
UASF_0294,true,false,false
UASF_0295,true,false,false
UASF_0296,true,false,false
UASF_0297,true,false,false
UASF_0298,true,false,false
UASF_0299,true,false,false
UASF_0300,true,false,false
UASF_0301,true,false,false
UASF_0302,true,false,false
UASF_0303,true,false,false
UASF_0304,true,false,true
UASF_0305,true,false,false
UASF_0306,true,false,false
UASF_0307,true,false,false
UASF_0308,true,false,false
UASF_0309,true,false,false
UASF_0310,true,false,false
UASF_0311,true,false,false
UASF_0312,true,false,false
UASF_0313,true,false,false
UASF_0314,true,false,false
UASF_0315,true,false,false
UASF_0316,true,false,false
UASF_0317,true,false,false
UASF_0318,true,false,false
UASF_0319,true,false,false
UASF_0320,true,false,false
UASF_0321,true,false,false
UASF_0322,true,false,false
UASF_0323,true,false,false
UASF_0324,true,false,false
UASF_0325,true,false,false
UASF_0326,true,false,false
UASF_0327,true,false,false
UASF_0328,true,false,false
UASF_0329,true,false,false
UASF_0330,true,false,false
UASF_0331,true,false,false
UASF_0332,true,false,false
UASF_0333,true,false,false
UASF_0334,true,false,false
