element_type,element_id,implemented
structure,ABIContract,false
structure,AddressOf,false
structure,AggregateExpr,false
structure,Annotation,false
structure,ArraySliceType,false
structure,AssignStmt,true
structure,AtomicOp,false
structure,AwaitExpr,false
structure,Binding,false
structure,BindingPattern,false
structure,BindingResolution,false
structure,BoolType,false
structure,BreakStmt,true
structure,CallExpr,true
structure,CaptureRelation,false
structure,ChannelType,false
structure,ChannelTypeOp,false
structure,CloseOp,false
structure,ClosureExpr,true
structure,CompileTimeEval,false
structure,ComprehensionExpr,false
structure,ConcurrencyOp,false
structure,ConstantDecl,false
structure,ContinueStmt,true
structure,ConvertExpr,false
structure,DeferCleanupStmt,false
structure,DeferStmt,false
structure,Deref,false
structure,DispatchResolution,false
structure,DispatchSemantics,false
structure,Effect,false
structure,EmbeddedField,false
structure,ExecutionModel,false
structure,FloatType,false
structure,ForEachStmt,true
structure,ForeignDeclCall,false
structure,FunctionDecl,false
structure,FunctionType,false
structure,GenericParam,false
structure,GenericParamDecl,false
structure,GotoLabelStmt,false
structure,IRFact,false
structure,IfStmt,true
structure,ImportDecl,false
structure,IndexExpr,true
structure,Instantiation,false
structure,IntegerType,false
structure,InterfaceType,false
structure,InterfaceTypeDecl,false
structure,LayoutContract,false
structure,LifetimeRegion,false
structure,LiteralExpr,true
structure,LoopStmt,true
structure,LoweringFact,false
structure,MacroCompileTime,false
structure,MapIndexExpr,false
structure,MapType,false
structure,MemberAccessExpr,false
structure,MemoryManagement,false
structure,MemoryModelContract,false
structure,MethodDecl,false
structure,MethodExpr,false
structure,MethodSet,false
structure,MethodValue,false
structure,ModuleDecl,false
structure,NilLiteral,true
structure,NominalTypeDecl,false
structure,OperationExpr,true
structure,OptimizationFact,false
structure,OptionalType,false
structure,OwnershipSemantics,false
structure,PanicRecover,false
structure,ParameterDecl,true
structure,PointerType,false
structure,RaisePanicStmt,false
structure,ReceiveExpr,false
structure,RecordTypeDecl,false
structure,ReferenceType,false
structure,ReflectionOp,false
structure,ReturnStmt,true
structure,SafetyRegion,false
structure,Scope,true
structure,SelectStmt,false
structure,SendStmt,false
structure,ShadowingRelation,false
structure,SliceExpr,false
structure,SliceType,false
structure,SpawnStmt,false
structure,StringType,false
structure,SwitchMatchStmt,false
structure,SymbolRef,true
structure,SynchronizationOp,false
structure,TryStmt,false
structure,TupleExpr,false
structure,TupleResult,false
structure,TupleType,false
structure,TypeAssertExpr,false
structure,TypeConstraint,false
structure,TypeInferenceFact,false
structure,TypeRelation,false
structure,TypeSet,false
structure,TypeSwitchStmt,false
structure,UnionVariantType,false
structure,UnsafeIntrinsic,false
structure,VariableDecl,false
structure,VariableDeclGroup,false
structure,VariantTypeDecl,false
structure,Visibility,false
structure,YieldExpr,false
relation,abi.calls,false
relation,annotation.applies,false
relation,binding.declares,true
relation,binding.refers,true
relation,binding.shadows,false
relation,call.calls,true
relation,capture.captures,false
relation,compiletime.depends,false
relation,concurrency.atomic_order,false
relation,concurrency.communicates,false
relation,concurrency.spawns,false
relation,concurrency.synchronizes,false
relation,contract.requires,false
relation,control.false,true
relation,control.loop_back,false
relation,control.next,true
relation,control.true,true
relation,conversion.converts,false
relation,coroutine.suspends,false
relation,data.def_use,true
relation,data.operand,true
relation,data.result,false
relation,dialect.requires,false
relation,dispatch.resolves,false
relation,effect.has,true
relation,evaluation.before,true
relation,exception.unwinds_to,false
relation,initialization.before,false
relation,language.contract,false
relation,layout.field,false
relation,lifetime.outlives,false
relation,linkage.links,false
relation,lowering.requires,false
relation,memory.aliases,false
relation,memory.borrows,false
relation,memory.owns,false
relation,module.exports,false
relation,module.imports,false
relation,name.resolves,true
relation,operation.kind,true
relation,overload.candidate,false
relation,pointer.provenance,false
relation,preprocessor.expands,false
relation,runtime.requires,false
relation,scope.parent,true
relation,storage.resides_in,false
relation,syntax.child,true
relation,template.instantiates,false
relation,type.constraint,false
relation,type.convert,false
relation,type.has,true
relation,type.origin,true
relation,type.parameter,false
relation,validation.proves,false
relation,value.category,false
facet,UASF_0001,false
facet,UASF_0002,false
facet,UASF_0003,false
facet,UASF_0004,false
facet,UASF_0005,false
facet,UASF_0006,false
facet,UASF_0007,false
facet,UASF_0008,false
facet,UASF_0009,false
facet,UASF_0010,false
facet,UASF_0011,false
facet,UASF_0012,false
facet,UASF_0013,false
facet,UASF_0014,false
facet,UASF_0015,false
facet,UASF_0016,false
facet,UASF_0017,false
facet,UASF_0018,false
facet,UASF_0019,false
facet,UASF_0020,false
facet,UASF_0021,false
facet,UASF_0022,false
facet,UASF_0023,false
facet,UASF_0024,false
facet,UASF_0025,false
facet,UASF_0026,false
facet,UASF_0027,false
facet,UASF_0028,false
facet,UASF_0029,false
facet,UASF_0030,false
facet,UASF_0031,false
facet,UASF_0032,false
facet,UASF_0033,false
facet,UASF_0034,false
facet,UASF_0035,false
facet,UASF_0036,false
facet,UASF_0037,false
facet,UASF_0038,false
facet,UASF_0039,false
facet,UASF_0040,false
facet,UASF_0041,false
facet,UASF_0042,false
facet,UASF_0043,false
facet,UASF_0044,false
