"source_feature_id","canonical_semantic_id"
"uast.evidence.UASF_0001","UASF_0001"
"uast.evidence.UASF_0002","UASF_0002"
"uast.evidence.UASF_0003","UASF_0003"
"uast.evidence.UASF_0004","UASF_0004"
"uast.evidence.UASF_0005","UASF_0005"
"uast.evidence.UASF_0006","UASF_0006"
"uast.evidence.UASF_0007","UASF_0007"
"uast.evidence.UASF_0008","UASF_0008"
"uast.evidence.UASF_0009","UASF_0009"
"uast.evidence.UASF_0010","UASF_0010"
"uast.evidence.UASF_0011","UASF_0011"
"uast.evidence.UASF_0012","UASF_0012"
"uast.evidence.UASF_0013","UASF_0013"
"uast.evidence.UASF_0014","UASF_0014"
"uast.evidence.UASF_0015","UASF_0015"
"uast.evidence.UASF_0016","UASF_0016"
"uast.evidence.UASF_0017","UASF_0017"
"uast.evidence.UASF_0018","UASF_0018"
"uast.evidence.UASF_0019","UASF_0019"
"uast.evidence.UASF_0020","UASF_0020"
"uast.evidence.UASF_0021","UASF_0021"
"uast.evidence.UASF_0022","UASF_0022"
"uast.evidence.UASF_0023","UASF_0023"
"uast.evidence.UASF_0024","UASF_0024"
"uast.evidence.UASF_0025","UASF_0025"
"uast.evidence.UASF_0026","UASF_0026"
"uast.evidence.UASF_0027","UASF_0027"
"uast.evidence.UASF_0028","UASF_0028"
"uast.evidence.UASF_0029","UASF_0029"
"uast.evidence.UASF_0030","UASF_0030"
"uast.evidence.UASF_0031","UASF_0031"
"uast.evidence.UASF_0032","UASF_0032"
"uast.evidence.UASF_0033","UASF_0033"
"uast.evidence.UASF_0034","UASF_0034"
"uast.evidence.UASF_0035","UASF_0035"
"uast.evidence.UASF_0036","UASF_0036"
"uast.evidence.UASF_0037","UASF_0037"
"uast.evidence.UASF_0038","UASF_0038"
"uast.evidence.UASF_0039","UASF_0039"
"uast.evidence.UASF_0040","UASF_0040"
"uast.evidence.UASF_0041","UASF_0041"
"uast.evidence.UASF_0042","UASF_0042"
"uast.evidence.UASF_0043","UASF_0043"
"uast.evidence.UASF_0044","UASF_0044"
"uast.evidence.UASF_0045","UASF_0045"
"uast.evidence.UASF_0046","UASF_0046"
"uast.evidence.UASF_0047","UASF_0047"
"uast.evidence.UASF_0048","UASF_0048"
"uast.evidence.UASF_0049","UASF_0049"
"uast.evidence.UASF_0050","UASF_0050"
"uast.evidence.UASF_0051","UASF_0051"
"uast.evidence.UASF_0052","UASF_0052"
"uast.evidence.UASF_0053","UASF_0053"
"uast.evidence.UASF_0054","UASF_0054"
"uast.evidence.UASF_0055","UASF_0055"
"uast.evidence.UASF_0056","UASF_0056"
"uast.evidence.UASF_0057","UASF_0057"
"uast.evidence.UASF_0058","UASF_0058"
"uast.evidence.UASF_0059","UASF_0059"
"uast.evidence.UASF_0060","UASF_0060"
"uast.evidence.UASF_0061","UASF_0061"
"uast.evidence.UASF_0062","UASF_0062"
"uast.evidence.UASF_0063","UASF_0063"
"uast.evidence.UASF_0064","UASF_0064"
"uast.evidence.UASF_0065","UASF_0065"
"uast.evidence.UASF_0066","UASF_0066"
"uast.evidence.UASF_0067","UASF_0067"
"uast.evidence.UASF_0068","UASF_0068"
"uast.evidence.UASF_0069","UASF_0069"
"uast.evidence.UASF_0070","UASF_0070"
"uast.evidence.UASF_0071","UASF_0071"
"uast.evidence.UASF_0072","UASF_0072"
"uast.evidence.UASF_0073","UASF_0073"
"uast.evidence.UASF_0074","UASF_0074"
"uast.evidence.UASF_0075","UASF_0075"
"uast.evidence.UASF_0076","UASF_0076"
"uast.evidence.UASF_0077","UASF_0077"
"uast.evidence.UASF_0078","UASF_0078"
"uast.evidence.UASF_0079","UASF_0079"
"uast.evidence.UASF_0080","UASF_0080"
"uast.evidence.UASF_0081","UASF_0081"
"uast.evidence.UASF_0082","UASF_0082"
"uast.evidence.UASF_0083","UASF_0083"
"uast.evidence.UASF_0084","UASF_0084"
"uast.evidence.UASF_0085","UASF_0085"
"uast.evidence.UASF_0086","UASF_0086"
"uast.evidence.UASF_0087","UASF_0087"
"uast.evidence.UASF_0088","UASF_0088"
"uast.evidence.UASF_0089","UASF_0089"
"uast.evidence.UASF_0090","UASF_0090"
"uast.evidence.UASF_0091","UASF_0091"
"uast.evidence.UASF_0092","UASF_0092"
"uast.evidence.UASF_0093","UASF_0093"
"uast.evidence.UASF_0094","UASF_0094"
"uast.evidence.UASF_0095","UASF_0095"
"uast.evidence.UASF_0096","UASF_0096"
"uast.evidence.UASF_0097","UASF_0097"
"uast.evidence.UASF_0098","UASF_0098"
"uast.evidence.UASF_0099","UASF_0099"
"uast.evidence.UASF_0100","UASF_0100"
"uast.evidence.UASF_0101","UASF_0101"
"uast.evidence.UASF_0102","UASF_0102"
"uast.evidence.UASF_0103","UASF_0103"
"uast.evidence.UASF_0104","UASF_0104"
"uast.evidence.UASF_0105","UASF_0105"
"uast.evidence.UASF_0106","UASF_0106"
"uast.evidence.UASF_0107","UASF_0107"
"uast.evidence.UASF_0108","UASF_0108"
"uast.evidence.UASF_0109","UASF_0109"
"uast.evidence.UASF_0110","UASF_0110"
"uast.evidence.UASF_0111","UASF_0111"
"uast.evidence.UASF_0112","UASF_0112"
"uast.evidence.UASF_0113","UASF_0113"
"uast.evidence.UASF_0114","UASF_0114"
"uast.evidence.UASF_0115","UASF_0115"
"uast.evidence.UASF_0116","UASF_0116"
"uast.evidence.UASF_0117","UASF_0117"
"uast.evidence.UASF_0118","UASF_0118"
"uast.evidence.UASF_0119","UASF_0119"
"uast.evidence.UASF_0120","UASF_0120"
"uast.evidence.UASF_0121","UASF_0121"
"uast.evidence.UASF_0122","UASF_0122"
"uast.evidence.UASF_0123","UASF_0123"
"uast.evidence.UASF_0124","UASF_0124"
"uast.evidence.UASF_0125","UASF_0125"
"uast.evidence.UASF_0126","UASF_0126"
"uast.evidence.UASF_0127","UASF_0127"
"uast.evidence.UASF_0128","UASF_0128"
"uast.evidence.UASF_0129","UASF_0129"
"uast.evidence.UASF_0130","UASF_0130"
"uast.evidence.UASF_0131","UASF_0131"
"uast.evidence.UASF_0132","UASF_0132"
"uast.evidence.UASF_0133","UASF_0133"
"uast.evidence.UASF_0134","UASF_0134"
"uast.evidence.UASF_0135","UASF_0135"
"uast.evidence.UASF_0136","UASF_0136"
"uast.evidence.UASF_0137","UASF_0137"
"uast.evidence.UASF_0138","UASF_0138"
"uast.evidence.UASF_0139","UASF_0139"
"uast.evidence.UASF_0140","UASF_0140"
"uast.evidence.UASF_0141","UASF_0141"
"uast.evidence.UASF_0142","UASF_0142"
"uast.evidence.UASF_0143","UASF_0143"
"uast.evidence.UASF_0144","UASF_0144"
"uast.evidence.UASF_0145","UASF_0145"
"uast.evidence.UASF_0146","UASF_0146"
"uast.evidence.UASF_0147","UASF_0147"
"uast.evidence.UASF_0148","UASF_0148"
"uast.evidence.UASF_0149","UASF_0149"
"uast.evidence.UASF_0150","UASF_0150"
"uast.evidence.UASF_0151","UASF_0151"
"uast.evidence.UASF_0152","UASF_0152"
"uast.evidence.UASF_0153","UASF_0153"
"uast.evidence.UASF_0154","UASF_0154"
"uast.evidence.UASF_0155","UASF_0155"
"uast.evidence.UASF_0156","UASF_0156"
"uast.evidence.UASF_0157","UASF_0157"
"uast.evidence.UASF_0158","UASF_0158"
"uast.evidence.UASF_0159","UASF_0159"
"uast.evidence.UASF_0160","UASF_0160"
"uast.evidence.UASF_0161","UASF_0161"
"uast.evidence.UASF_0162","UASF_0162"
"uast.evidence.UASF_0163","UASF_0163"
"uast.evidence.UASF_0164","UASF_0164"
"uast.evidence.UASF_0165","UASF_0165"
"uast.evidence.UASF_0166","UASF_0166"
"uast.evidence.UASF_0167","UASF_0167"
"uast.evidence.UASF_0168","UASF_0168"
"uast.evidence.UASF_0169","UASF_0169"
"uast.evidence.UASF_0170","UASF_0170"
"uast.evidence.UASF_0171","UASF_0171"
"uast.evidence.UASF_0172","UASF_0172"
"uast.evidence.UASF_0173","UASF_0173"
"uast.evidence.UASF_0174","UASF_0174"
"uast.evidence.UASF_0175","UASF_0175"
"uast.evidence.UASF_0176","UASF_0176"
"uast.evidence.UASF_0177","UASF_0177"
"uast.evidence.UASF_0178","UASF_0178"
"uast.evidence.UASF_0179","UASF_0179"
"uast.evidence.UASF_0180","UASF_0180"
"uast.evidence.UASF_0181","UASF_0181"
"uast.evidence.UASF_0182","UASF_0182"
"uast.evidence.UASF_0183","UASF_0183"
"uast.evidence.UASF_0184","UASF_0184"
"uast.evidence.UASF_0185","UASF_0185"
"uast.evidence.UASF_0186","UASF_0186"
"uast.evidence.UASF_0187","UASF_0187"
"uast.evidence.UASF_0188","UASF_0188"
"uast.evidence.UASF_0189","UASF_0189"
"uast.evidence.UASF_0190","UASF_0190"
"uast.evidence.UASF_0191","UASF_0191"
"uast.evidence.UASF_0192","UASF_0192"
"uast.evidence.UASF_0193","UASF_0193"
"uast.evidence.UASF_0194","UASF_0194"
"uast.evidence.UASF_0195","UASF_0195"
"uast.evidence.UASF_0196","UASF_0196"
"uast.evidence.UASF_0197","UASF_0197"
"uast.evidence.UASF_0198","UASF_0198"
"uast.evidence.UASF_0199","UASF_0199"
"uast.evidence.UASF_0200","UASF_0200"
"uast.evidence.UASF_0201","UASF_0201"
"uast.evidence.UASF_0202","UASF_0202"
"uast.evidence.UASF_0203","UASF_0203"
"uast.evidence.UASF_0204","UASF_0204"
"uast.evidence.UASF_0205","UASF_0205"
"uast.evidence.UASF_0206","UASF_0206"
"uast.evidence.UASF_0207","UASF_0207"
"uast.evidence.UASF_0208","UASF_0208"
"uast.evidence.UASF_0209","UASF_0209"
"uast.evidence.UASF_0210","UASF_0210"
"uast.evidence.UASF_0211","UASF_0211"
"uast.evidence.UASF_0212","UASF_0212"
"uast.evidence.UASF_0213","UASF_0213"
"uast.evidence.UASF_0214","UASF_0214"
"uast.evidence.UASF_0215","UASF_0215"
"uast.evidence.UASF_0216","UASF_0216"
"uast.evidence.UASF_0217","UASF_0217"
"uast.evidence.UASF_0218","UASF_0218"
"uast.evidence.UASF_0219","UASF_0219"
"uast.evidence.UASF_0220","UASF_0220"
"uast.evidence.UASF_0221","UASF_0221"
"uast.evidence.UASF_0222","UASF_0222"
"uast.evidence.UASF_0223","UASF_0223"
"uast.evidence.UASF_0224","UASF_0224"
"uast.evidence.UASF_0225","UASF_0225"
"uast.evidence.UASF_0226","UASF_0226"
"uast.evidence.UASF_0227","UASF_0227"
"uast.evidence.UASF_0228","UASF_0228"
"uast.evidence.UASF_0229","UASF_0229"
"uast.evidence.UASF_0230","UASF_0230"
"uast.evidence.UASF_0231","UASF_0231"
"uast.evidence.UASF_0232","UASF_0232"
"uast.evidence.UASF_0233","UASF_0233"
"uast.evidence.UASF_0234","UASF_0234"
"uast.evidence.UASF_0235","UASF_0235"
"uast.evidence.UASF_0236","UASF_0236"
"uast.evidence.UASF_0237","UASF_0237"
"uast.evidence.UASF_0238","UASF_0238"
"uast.evidence.UASF_0239","UASF_0239"
"uast.evidence.UASF_0240","UASF_0240"
"uast.evidence.UASF_0241","UASF_0241"
"uast.evidence.UASF_0242","UASF_0242"
"uast.evidence.UASF_0243","UASF_0243"
"uast.evidence.UASF_0244","UASF_0244"
"uast.evidence.UASF_0245","UASF_0245"
"uast.evidence.UASF_0246","UASF_0246"
"uast.evidence.UASF_0247","UASF_0247"
"uast.evidence.UASF_0248","UASF_0248"
"uast.evidence.UASF_0249","UASF_0249"
"uast.evidence.UASF_0250","UASF_0250"
"uast.evidence.UASF_0251","UASF_0251"
"uast.evidence.UASF_0252","UASF_0252"
"uast.evidence.UASF_0253","UASF_0253"
"uast.evidence.UASF_0254","UASF_0254"
"uast.evidence.UASF_0255","UASF_0255"
"uast.evidence.UASF_0256","UASF_0256"
"uast.evidence.UASF_0257","UASF_0257"
"uast.evidence.UASF_0258","UASF_0258"
"uast.evidence.UASF_0259","UASF_0259"
"uast.evidence.UASF_0260","UASF_0260"
"uast.evidence.UASF_0261","UASF_0261"
"uast.evidence.UASF_0262","UASF_0262"
"uast.evidence.UASF_0263","UASF_0263"
"uast.evidence.UASF_0264","UASF_0264"
"uast.evidence.UASF_0265","UASF_0265"
"uast.evidence.UASF_0266","UASF_0266"
"uast.evidence.UASF_0267","UASF_0267"
"uast.evidence.UASF_0268","UASF_0268"
"uast.evidence.UASF_0269","UASF_0269"
"uast.evidence.UASF_0270","UASF_0270"
