"language_id","source_feature_id"
"r","uast.evidence.UASF_0011"
"r","uast.evidence.UASF_0014"
"r","uast.evidence.UASF_0022"
"r","uast.evidence.UASF_0023"
"r","uast.evidence.UASF_0024"
"r","uast.evidence.UASF_0025"
"r","uast.evidence.UASF_0026"
"r","uast.evidence.UASF_0027"
"r","uast.evidence.UASF_0042"
"r","uast.evidence.UASF_0044"
"r","uast.evidence.UASF_0046"
"r","uast.evidence.UASF_0047"
"r","uast.evidence.UASF_0048"
"r","uast.evidence.UASF_0049"
"r","uast.evidence.UASF_0050"
"r","uast.evidence.UASF_0051"
"r","uast.evidence.UASF_0069"
"r","uast.evidence.UASF_0071"
"r","uast.evidence.UASF_0072"
"r","uast.evidence.UASF_0077"
"r","uast.evidence.UASF_0081"
"r","uast.evidence.UASF_0083"
"r","uast.evidence.UASF_0118"
"r","uast.evidence.UASF_0119"
"r","uast.evidence.UASF_0120"
"r","uast.evidence.UASF_0121"
"r","uast.evidence.UASF_0122"
"r","uast.evidence.UASF_0124"
"r","uast.evidence.UASF_0151"
"r","uast.evidence.UASF_0152"
"r","uast.evidence.UASF_0153"
"r","uast.evidence.UASF_0154"
"r","uast.evidence.UASF_0169"
"r","uast.evidence.UASF_0171"
"r","uast.evidence.UASF_0178"
"r","uast.evidence.UASF_0179"
"r","uast.evidence.UASF_0180"
"r","uast.evidence.UASF_0181"
"r","uast.evidence.UASF_0182"
"r","uast.evidence.UASF_0183"
"r","uast.evidence.UASF_0185"
"r","uast.evidence.UASF_0191"
"r","uast.evidence.UASF_0192"
"r","uast.evidence.UASF_0197"
"r","uast.evidence.UASF_0203"
"r","uast.evidence.UASF_0205"
"r","uast.evidence.UASF_0207"
"r","uast.evidence.UASF_0208"
"r","uast.evidence.UASF_0211"
"r","uast.evidence.UASF_0213"
"r","uast.evidence.UASF_0216"
"r","uast.evidence.UASF_0217"
"r","uast.evidence.UASF_0218"
"r","uast.evidence.UASF_0219"
"r","uast.evidence.UASF_0220"
"r","uast.evidence.UASF_0221"
"r","uast.evidence.UASF_0223"
"r","uast.evidence.UASF_0224"
"r","uast.evidence.UASF_0225"
"r","uast.evidence.UASF_0226"
"r","uast.evidence.UASF_0227"
"r","uast.evidence.UASF_0228"
"r","uast.evidence.UASF_0229"
"r","uast.evidence.UASF_0232"
"r","uast.evidence.UASF_0233"
"r","uast.evidence.UASF_0234"
"r","uast.evidence.UASF_0237"
"r","uast.evidence.UASF_0239"
"r","uast.evidence.UASF_0240"
"r","uast.evidence.UASF_0241"
"r","uast.evidence.UASF_0243"
"r","uast.evidence.UASF_0251"
"r","uast.evidence.UASF_0254"
"r","uast.evidence.UASF_0255"
"r","uast.evidence.UASF_0256"
"r","uast.evidence.UASF_0257"
"r","uast.evidence.UASF_0258"
"r","uast.evidence.UASF_0259"
"r","uast.evidence.UASF_0301"
"r","uast.evidence.UASF_0302"
"r","uast.evidence.UASF_0303"
"r","uast.evidence.UASF_0304"
"r","uast.evidence.UASF_0305"
"r","uast.evidence.UASF_0306"
"r","uast.evidence.UASF_0307"
"r","uast.evidence.UASF_0308"
"r","uast.evidence.UASF_0309"
"r","uast.evidence.UASF_0310"
"r","uast.evidence.UASF_0311"
"r","uast.evidence.UASF_0314"
"r","uast.evidence.UASF_0315"
"r","uast.evidence.UASF_0324"
"r","uast.evidence.UASF_0325"
"go","uast.evidence.UASF_0010"
"go","uast.evidence.UASF_0022"
"go","uast.evidence.UASF_0023"
"go","uast.evidence.UASF_0024"
"go","uast.evidence.UASF_0025"
"go","uast.evidence.UASF_0026"
"go","uast.evidence.UASF_0033"
"go","uast.evidence.UASF_0047"
"go","uast.evidence.UASF_0048"
"go","uast.evidence.UASF_0049"
"go","uast.evidence.UASF_0050"
"go","uast.evidence.UASF_0051"
"go","uast.evidence.UASF_0054"
"go","uast.evidence.UASF_0064"
"go","uast.evidence.UASF_0075"
"go","uast.evidence.UASF_0076"
"go","uast.evidence.UASF_0086"
"go","uast.evidence.UASF_0118"
"go","uast.evidence.UASF_0119"
"go","uast.evidence.UASF_0120"
"go","uast.evidence.UASF_0121"
"go","uast.evidence.UASF_0122"
"go","uast.evidence.UASF_0142"
"go","uast.evidence.UASF_0144"
"go","uast.evidence.UASF_0147"
"go","uast.evidence.UASF_0151"
"go","uast.evidence.UASF_0152"
"go","uast.evidence.UASF_0153"
"go","uast.evidence.UASF_0154"
"go","uast.evidence.UASF_0155"
"go","uast.evidence.UASF_0168"
"go","uast.evidence.UASF_0177"
"go","uast.evidence.UASF_0178"
"go","uast.evidence.UASF_0179"
"go","uast.evidence.UASF_0180"
"go","uast.evidence.UASF_0181"
"go","uast.evidence.UASF_0182"
"go","uast.evidence.UASF_0183"
"go","uast.evidence.UASF_0203"
"go","uast.evidence.UASF_0204"
"go","uast.evidence.UASF_0205"
"go","uast.evidence.UASF_0206"
"go","uast.evidence.UASF_0207"
"go","uast.evidence.UASF_0208"
"go","uast.evidence.UASF_0214"
"go","uast.evidence.UASF_0217"
"go","uast.evidence.UASF_0219"
"go","uast.evidence.UASF_0220"
"go","uast.evidence.UASF_0221"
"go","uast.evidence.UASF_0222"
"go","uast.evidence.UASF_0223"
"go","uast.evidence.UASF_0224"
"go","uast.evidence.UASF_0225"
"go","uast.evidence.UASF_0226"
"go","uast.evidence.UASF_0231"
"go","uast.evidence.UASF_0236"
"go","uast.evidence.UASF_0254"
"go","uast.evidence.UASF_0255"
"go","uast.evidence.UASF_0256"
"go","uast.evidence.UASF_0257"
"go","uast.evidence.UASF_0258"
"go","uast.evidence.UASF_0259"
"go","uast.evidence.UASF_0291"
"go","uast.evidence.UASF_0301"
"go","uast.evidence.UASF_0302"
"go","uast.evidence.UASF_0303"
"go","uast.evidence.UASF_0304"
"go","uast.evidence.UASF_0305"
"go","uast.evidence.UASF_0306"
"go","uast.evidence.UASF_0307"
"go","uast.evidence.UASF_0308"
"go","uast.evidence.UASF_0309"
"go","uast.evidence.UASF_0310"
"go","uast.evidence.UASF_0311"
"go","uast.evidence.UASF_0334"
"python","uast.evidence.UASF_0022"
"python","uast.evidence.UASF_0023"
"python","uast.evidence.UASF_0024"
"python","uast.evidence.UASF_0025"
"python","uast.evidence.UASF_0026"
"python","uast.evidence.UASF_0047"
"python","uast.evidence.UASF_0048"
"python","uast.evidence.UASF_0049"
"python","uast.evidence.UASF_0050"
"python","uast.evidence.UASF_0051"
"python","uast.evidence.UASF_0118"
"python","uast.evidence.UASF_0119"
"python","uast.evidence.UASF_0120"
"python","uast.evidence.UASF_0121"
"python","uast.evidence.UASF_0122"
"python","uast.evidence.UASF_0151"
"python","uast.evidence.UASF_0152"
"python","uast.evidence.UASF_0153"
"python","uast.evidence.UASF_0154"
"python","uast.evidence.UASF_0155"
"python","uast.evidence.UASF_0178"
"python","uast.evidence.UASF_0179"
