category,capability_count
async_iterators,7
binding,4
bindings_flow,1
bindings_modules,1
bytecode_jvm,1
call_resolution,5
calls_abi,2
calls_resolution_dispatch,1
closures,2
compiler_ir,4
compiletime,2
compiletime_metadata,1
concurrency,8
concurrency_memory,4
concurrency_memory_model,1
control,4
control_patterns,1
coroutines,3
declaration,12
declarations,5
declarations_object_model,1
effect,7
evaluation_operations,1
evaluation_ub,1
exceptions,3
exceptions_resources,2
expression,6
ffi_abi,1
gc_memory_runtime,1
initialization,4
jit_vm_optimization,1
jvm_runtime_object_model,1
layout_abi,4
memory,6
meta,5
metadata_runtime,3
metaprogramming,2
modules_linkage,4
null_control,1
numeric_types,4
object_lifetime,3
object_members,4
object_model,11
overload_templates,10
ownership_lifetime,4
patterns_bindings,2
patterns_control,6
pointer_memory,6
preprocessor,3
reflection_dynamic,1
refs_memory,6
type,11
types_conversions,5
types_conversions_generics,1
types_dynamic,1
types_generics,3
types_inference,1
types_nullability,4
types_numeric,1
types_tuples,1
uncategorized,118
undefined_behavior,4
unsafe_memory,3
value_categories,1
