semantic_axis,capability_count
abi.ffi,32
abi.layout,9
binding.graph,58
capture.shadowing,17
compiletime.evaluation,2
compiletime.semantics,38
concurrency.model,18
control.flow,53
conversion.semantics,30
coroutine.state_machine,3
data.flow,58
dialect.extension,30
effect.graph,53
effects.control,14
evaluation.order,46
exception.unwind,3
initialization.order,4
language.implementation_defined,2
language.undefined_behavior,4
language.unspecified_behavior,1
linkage.odr,4
lowering.pipeline,27
memory.model,46
memory.ordering,11
module.semantics,2
name.resolution,6
nodes.declaration,45
nodes.expression,28
object.lifetime,13
operations,83
overload.resolution,7
ownership.lifetime,45
pointer.provenance,4
preprocessor.semantics,2
purity,8
runtime.contract,100
scope.binding,58
storage.duration,3
synchronization,12
template.instantiation,6
types.origin,27
types.structure,113
validation.contract,8
value.category,3
