canonical_semantic_id,source_proven,canonical,conflict,already_uast,canonical_ready,canonical_new,evidence_languages
UASF_0001,true,true,false,false,true,true,c;cpp
UASF_0002,true,true,false,false,true,true,kotlin
UASF_0003,true,true,false,false,true,true,kotlin
UASF_0004,true,true,false,false,true,true,rust
UASF_0005,true,true,false,false,true,true,rust
UASF_0006,true,true,false,false,true,true,c;cpp
UASF_0007,true,true,false,false,true,true,java
UASF_0008,true,true,false,false,true,true,kotlin
UASF_0009,true,true,false,false,true,true,rust
UASF_0010,true,true,false,false,true,true,go
UASF_0011,true,true,false,false,true,true,r
UASF_0012,true,true,false,false,true,true,rust
UASF_0013,true,true,false,false,true,true,rust
UASF_0014,true,true,false,false,true,true,java;r
UASF_0015,true,true,false,false,true,true,java
UASF_0016,true,true,false,false,true,true,c;cpp
UASF_0017,true,true,false,false,true,true,rust
UASF_0018,true,true,false,false,true,true,csharp
UASF_0019,true,true,false,false,true,true,rust
UASF_0020,true,true,false,false,true,true,csharp
UASF_0021,true,true,false,false,true,true,rust
UASF_0022,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0023,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0024,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0025,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0026,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0027,true,true,false,false,true,true,r
UASF_0028,true,true,false,false,true,true,rust
UASF_0029,true,true,false,false,true,true,rust
UASF_0030,true,true,false,false,true,true,rust
UASF_0031,true,true,false,false,true,true,c;cpp
UASF_0032,true,true,false,false,true,true,c;cpp
UASF_0033,true,true,false,false,true,true,go
UASF_0034,true,true,false,false,true,true,c;cpp
UASF_0035,true,true,false,false,true,true,c;cpp
UASF_0036,true,true,false,false,true,true,c;cpp
UASF_0037,true,true,false,false,true,true,c;cpp
UASF_0038,true,true,false,false,true,true,c;cpp
UASF_0039,true,true,false,false,true,true,c;cpp
UASF_0040,true,true,false,false,true,true,c;cpp
UASF_0041,true,true,false,false,true,true,java
UASF_0042,true,true,false,false,true,true,r
UASF_0043,true,true,false,false,true,true,rust
UASF_0044,true,true,false,false,true,true,r
UASF_0045,true,true,false,false,true,true,csharp
UASF_0046,true,true,false,false,true,true,r
UASF_0047,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0048,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0049,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0050,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0051,true,true,false,true,true,false,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0052,true,true,false,false,true,true,csharp
UASF_0053,true,true,false,false,true,true,kotlin
UASF_0054,true,true,false,true,true,false,go
UASF_0055,true,true,false,false,true,true,rust
UASF_0056,true,true,false,false,true,true,rust
UASF_0057,true,true,false,false,true,true,rust
UASF_0058,true,true,false,false,true,true,rust
UASF_0059,true,true,false,false,true,true,rust
UASF_0060,true,true,false,false,true,true,csharp
UASF_0061,true,true,false,false,true,true,rust
UASF_0062,true,true,false,false,true,true,csharp
UASF_0063,true,true,false,false,true,true,csharp
UASF_0064,true,true,false,false,true,true,go
UASF_0065,true,true,false,false,true,true,kotlin
UASF_0066,true,true,false,false,true,true,java
UASF_0067,true,true,false,false,true,true,csharp
UASF_0068,true,true,false,false,true,true,csharp
UASF_0069,true,true,false,false,true,true,r
UASF_0070,true,true,false,false,true,true,rust
UASF_0071,true,true,false,false,true,true,r
UASF_0072,true,true,false,false,true,true,r
UASF_0073,true,true,false,false,true,true,rust
UASF_0074,true,true,false,false,true,true,rust
UASF_0075,true,true,false,false,true,true,go
UASF_0076,true,true,false,false,true,true,go
UASF_0077,true,true,false,false,true,true,r
UASF_0078,true,true,false,false,true,true,java
UASF_0079,true,true,false,false,true,true,csharp
UASF_0080,true,true,false,false,true,true,csharp
UASF_0081,true,true,false,false,true,true,r
UASF_0082,true,true,false,false,true,true,csharp
UASF_0083,true,true,false,false,true,true,r
UASF_0084,true,true,false,false,true,true,c;cpp
UASF_0085,true,true,false,false,true,true,kotlin
UASF_0086,true,true,false,false,true,true,go
UASF_0087,true,true,false,false,true,true,c;cpp
UASF_0088,true,true,false,false,true,true,csharp
UASF_0089,true,true,false,false,true,true,csharp
UASF_0090,true,true,false,false,true,true,java
UASF_0091,true,true,false,false,true,true,c;cpp
UASF_0092,true,true,false,false,true,true,rust
UASF_0093,true,true,false,false,true,true,csharp
UASF_0094,true,true,false,false,true,true,csharp
UASF_0095,true,true,false,false,true,true,csharp
UASF_0096,true,true,false,false,true,true,rust
UASF_0097,true,true,false,false,true,true,csharp
UASF_0098,true,true,false,false,true,true,csharp
UASF_0099,true,true,false,false,true,true,csharp
UASF_0100,true,true,false,false,true,true,csharp
UASF_0101,true,true,false,false,true,true,kotlin
UASF_0102,true,true,false,false,true,true,rust
UASF_0103,true,true,false,false,true,true,rust
UASF_0104,true,true,false,false,true,true,csharp
UASF_0105,true,true,false,false,true,true,rust
UASF_0106,true,true,false,false,true,true,c;cpp
UASF_0107,true,true,false,false,true,true,c;cpp
UASF_0108,true,true,false,false,true,true,c;cpp
UASF_0109,true,true,false,false,true,true,csharp
UASF_0110,true,true,false,false,true,true,kotlin
UASF_0111,true,true,false,false,true,true,java
UASF_0112,true,true,false,false,true,true,java
UASF_0113,true,true,false,false,true,true,rust
UASF_0114,true,true,false,false,true,true,csharp
UASF_0115,true,true,false,false,true,true,csharp
UASF_0116,true,true,false,false,true,true,csharp
UASF_0117,true,true,false,false,true,true,rust
UASF_0118,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0119,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0120,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0121,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0122,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0123,true,true,false,false,true,true,java
UASF_0124,true,true,false,false,true,true,r
UASF_0125,true,true,false,false,true,true,rust
UASF_0126,true,true,false,false,true,true,rust
UASF_0127,true,true,false,false,true,true,rust
UASF_0128,true,true,false,false,true,true,csharp
UASF_0129,true,true,false,false,true,true,csharp
UASF_0130,true,true,false,false,true,true,rust
UASF_0131,true,true,false,false,true,true,rust
UASF_0132,true,true,false,false,true,true,rust
UASF_0133,true,true,false,false,true,true,c;cpp
UASF_0134,true,true,false,false,true,true,c;cpp
UASF_0135,true,true,false,false,true,true,c;cpp
UASF_0136,true,true,false,false,true,true,rust
UASF_0137,true,true,false,false,true,true,c;cpp
UASF_0138,true,true,false,false,true,true,csharp
UASF_0139,true,true,false,false,true,true,kotlin
UASF_0140,true,true,false,false,true,true,rust
UASF_0141,true,true,false,false,true,true,rust
UASF_0142,true,true,false,false,true,true,go
UASF_0143,true,true,false,false,true,true,rust
UASF_0144,true,true,false,false,true,true,go
UASF_0145,true,true,false,false,true,true,java
UASF_0146,true,true,false,false,true,true,rust
UASF_0147,true,true,false,false,true,true,go
UASF_0148,true,true,false,false,true,true,rust
UASF_0149,true,true,false,false,true,true,rust
UASF_0150,true,true,false,false,true,true,c;cpp
UASF_0151,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0152,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0153,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0154,true,true,false,false,true,true,c;cpp;csharp;go;java;kotlin;python;r;rust
UASF_0155,true,true,false,false,true,true,c;cpp;go;java;kotlin;python;rust
UASF_0156,true,true,false,false,true,true,c;cpp
UASF_0157,true,true,false,false,true,true,kotlin
UASF_0158,true,true,false,false,true,true,c;cpp
UASF_0159,true,true,false,false,true,true,c;cpp
UASF_0160,true,true,false,false,true,true,c;cpp
UASF_0161,true,true,false,false,true,true,rust
UASF_0162,true,true,false,false,true,true,rust
