language_id,status,count
julia,COMPILER_PROVEN,1
julia,OFFICIAL_DOC_PROVEN,11
julia,CORROBORATED_ONLY,0
julia,INSUFFICIENT_EVIDENCE,1
julia,CONFLICT,0
nim,COMPILER_PROVEN,12
nim,OFFICIAL_DOC_PROVEN,0
nim,CORROBORATED_ONLY,0
nim,INSUFFICIENT_EVIDENCE,1
nim,CONFLICT,0
swift,COMPILER_PROVEN,16
swift,OFFICIAL_DOC_PROVEN,0
swift,CORROBORATED_ONLY,0
swift,INSUFFICIENT_EVIDENCE,0
swift,CONFLICT,0
zig,COMPILER_PROVEN,11
zig,OFFICIAL_DOC_PROVEN,0
zig,CORROBORATED_ONLY,0
zig,INSUFFICIENT_EVIDENCE,3
zig,CONFLICT,0
TOTAL,COMPILER_PROVEN,40
TOTAL,OFFICIAL_DOC_PROVEN,11
TOTAL,CORROBORATED_ONLY,0
TOTAL,INSUFFICIENT_EVIDENCE,5
TOTAL,CONFLICT,0
